"","reference_period_qq","metcode","dweltype","mkttycd","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","avgpermit_to_start_time","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price","ref_yy","ref_qq","population","comp_per_10kpop"
"89","1989-4","0140",1,2,"December 31, 1989","CALGARY",15,NA,NA,15,1,0,3.46153846153846,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"747414.603",0.200691824053109
"90","1989-4","0340",1,1,"December 31, 1989","EDMONTON",1114,NA,NA,1114,1,0,4.58096280087527,0.191202872531418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"839681.228",13.2669394390701
"91","1989-4","0340",4,1,"December 31, 1989","EDMONTON",37,NA,NA,9,4.11111111111111,0,5.44444444444444,0.222222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"839681.228",0.440643410453854
"92","1989-4","0580",2,4,"December 31, 1989",NA,10,NA,NA,5,2,0,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"332122.421",0.301093794567998
"93","1989-4","0580",5,2,"December 31, 1989",NA,176,NA,NA,5,35.2,0,10.75,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"332122.421",5.29925078439676
"94","1989-4","0610",5,2,"December 31, 1989",NA,54,NA,NA,1,54,0,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"615293.795",0.877629523307642
"95","1989-4","1060",4,2,"December 31, 1989",NA,4,NA,NA,1,4,0,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"3384308.91",0.0118192520433958
"96","1989-4","1060",5,4,"December 31, 1989",NA,40,NA,NA,3,13.3333333333333,0,5.66666666666667,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"3384308.91",0.118192520433958
"97","1989-4","1265",2,1,"December 31, 1989",NA,38,NA,NA,20,1.9,0,4.1875,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"712715.6858770581",0.533171933114363
"98","1989-4","1265",5,2,"December 31, 1989",NA,452,NA,NA,7,64.5714285714286,2.71428571428571,8.28571428571429,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"712715.6858770581",6.34193983599189
"99","1989-4","1400",2,1,"December 31, 1989",NA,70,NA,NA,35,2,0,5.18181818181818,0.514285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"657101.771",1.06528399540716
"100","1989-4","2270",1,1,"December 31, 1989","TORONTO",4152,NA,NA,4152,1,0,7.68407378539881,0.550351856345547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"3983955.1799999997",10.4218039922829
"101","1989-4","2270",5,1,"December 31, 1989",NA,3,NA,NA,1,3,3,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"3983955.1799999997",0.00753020519673617
"102","1989-4","2270",5,3,"December 31, 1989",NA,1414,NA,NA,9,157.111111111111,8,18,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"3983955.1799999997",3.54923671606165
"103","1989-4","2410",5,3,"December 31, 1989","VANCOUVER",1364,NA,NA,38,35.8947368421053,4.23684210526316,10.1842105263158,0.552631578947368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"1602542.22",8.5114762218246
"104","1989-4","2440",1,1,"December 31, 1989",NA,357,NA,NA,357,1,0,4.57723577235772,0.257703081232493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"289992.005",12.310684220415
"105","1989-4","2680",5,2,"December 31, 1989","WINNIPEG",117,NA,NA,1,117,3,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"670512.153",1.74493481552153
"106","1990-1","0140",1,2,"March 31, 1990","CALGARY",8,NA,NA,8,1,0,3.85714285714286,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,1,"752304.777",0.106339880386005
"107","1990-1","0340",1,1,"March 31, 1990","EDMONTON",890,NA,NA,890,1,0,4.62094763092269,0.208988764044944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,1,"843822.059",10.5472473788458
"108","1990-1","0580",2,1,"March 31, 1990","HALIFAX",74,NA,NA,37,2,0,4.03125,0.027027027027027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,1,"333331.143",2.22001458771586
"109","1990-1","0580",4,1,"March 31, 1990",NA,8,NA,NA,2,4,0,4.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,1,"333331.143",0.240001577050363
"110","1990-1","0580",5,2,"March 31, 1990",NA,318,NA,NA,5,63.6,0,10.8,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,1,"333331.143",9.54006268775192
