"reference_period_qq","metcode","dweltype","mkttycd","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price","ref_qq","ref_yy","population","starts_per_10kpop"
"1998-3","1490",1,1,"September 30, 1998","REGINA",154,NA,NA,154,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",199961.381,7.70148711865518
"1998-3","2440",5,2,"September 30, 1998","VICTORIA",1,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",320093.69,0.0312408532639303
"1998-3","0140",1,1,"September 30, 1998","CALGARY",2436,NA,NA,2436,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998-3","0580",4,1,"September 30, 1998",NA,29,NA,NA,7,4.14285714285714,0.285714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998-3","1490",4,3,"September 30, 1998","REGINA",16,NA,NA,2,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",199961.381,0.800154505834304
"1998-3","0610",5,3,"September 30, 1998","HAMILTON",48,NA,NA,1,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998-3","2270",4,1,"September 30, 1998","TORONTO",702,NA,NA,117,6,0.0854700854700855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",4621142.46,1.51910486654852
"1998-3","0340",5,2,"September 30, 1998","EDMONTON",334,NA,NA,2,167,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998-3","1490",1,3,"September 30, 1998","REGINA",5,NA,NA,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",199961.381,0.25004828307322
"1998-3","1490",2,2,"September 30, 1998","REGINA",2,NA,NA,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",199961.381,0.100019313229288
"1998-3","2410",5,2,"September 30, 1998","VANCOUVER",102,NA,NA,3,34,3.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",2003029.82,0.50922856455527
"1998-3","2410",5,1,"September 30, 1998","VANCOUVER",14,NA,NA,7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",2003029.82,0.0698941167036645
"1998-3","1700",1,1,"September 30, 1998","SASKATOON",214,NA,NA,214,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",232086.328,9.22070687421105
"1998-3","1060",4,3,"September 30, 1998","MONTRÉAL",81,NA,NA,19,4.26315789473684,0.157894736842105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",3551212.73,0.22809109495392
"1998-3","1060",5,2,"September 30, 1998","MONTRÉAL",94,NA,NA,25,3.76,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","1998",3551212.73,0.264698307724302
"1998-4","1700",1,1,"December 31, 1998","SASKATOON",130,NA,NA,130,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1998",232227.483,5.59795930785677
"1998-4","2440",4,3,"December 31, 1998","VICTORIA",25,NA,NA,4,6.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1998",320423.967,0.780216293870427
"1998-4","0610",1,2,"December 31, 1998",NA,5,NA,NA,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998-4","0340",2,1,"December 31, 1998","EDMONTON",60,NA,NA,30,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998-4","2270",2,3,"December 31, 1998","TORONTO",22,NA,NA,11,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1998",4642956.2,0.0473836044371903
"1998-4","0610",4,3,"December 31, 1998",NA,250,NA,NA,45,5.55555555555556,0.755555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998-4","2680",1,3,"December 31, 1998","WINNIPEG",6,NA,NA,6,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1998",687770.691,0.087238378699682
"1998-4","0580",2,1,"December 31, 1998",NA,22,NA,NA,11,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998-4","2410",2,1,"December 31, 1998","VANCOUVER",74,NA,NA,37,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1998",2009927.38,0.368172505814613
"1998-4","2270",4,1,"December 31, 1998","TORONTO",802,NA,NA,134,5.98507462686567,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1998",4642956.2,1.72734776175575
"1998-4","2270",4,2,"December 31, 1998","TORONTO",6,NA,NA,1,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1998",4642956.2,0.0129228012101428
"1998-4","1060",2,1,"December 31, 1998","MONTRÉAL",184,NA,NA,92,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1998",3558502.17,0.517071484601624
"1998-4","2410",5,3,"December 31, 1998","VANCOUVER",1092,NA,NA,15,72.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1998",2009927.38,5.43303211283186
"1998-4","1265",5,2,"December 31, 1998",NA,85,NA,NA,1,85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1998",788559.594,1.07791472764708
"1998-4","1400",1,1,"December 31, 1998","QUÉBEC",202,NA,NA,202,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1998",697579.086,2.8957290155915
