"reference_period_qq","metcode","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","ref_qq","ref_yy","population","comp_per_10kpop"
"1990-1","0580","March 31, 1990",NA,791,NA,NA,290,2.72758620689655,0,4.14137931034483,NA,NA,NA,NA
"1990-1","2410","March 31, 1990","VANCOUVER",4747,NA,NA,2445,1.94151329243354,0.0899795501022495,5.44662576687117,"1","1990",1612349.69,29.4415040945615
"1990-2","1490","June 30, 1990","REGINA",77,NA,NA,74,1.04054054054054,0,3.66216216216216,"2","1990",195472.159,3.93917990131781
"1990-2","0580","June 30, 1990",NA,460,NA,NA,212,2.16981132075472,0,3.64150943396226,NA,NA,NA,NA
"1990-2","0340","June 30, 1990","EDMONTON",1306,NA,NA,1082,1.20702402957486,0,3.92051756007394,NA,NA,NA,NA
"1990-2","1265","June 30, 1990",NA,1070,NA,NA,742,1.44204851752022,0,5.10916442048518,"2","1990",708973.5566,15.0922413119519
"1990-2","0140","June 30, 1990","CALGARY",2510,NA,NA,2076,1.20905587668593,0,3.92726396917148,NA,NA,NA,NA
"1990-2","1700","June 30, 1990","SASKATOON",120,NA,NA,100,1.2,0.01,3.98,"2","1990",216219.988,5.54990318471389
"1990-2","2680","June 30, 1990","WINNIPEG",839,NA,NA,476,1.76260504201681,0.0651260504201681,5.29831932773109,"2","1990",673099.279,12.4647288472285
"1990-2","1400","June 30, 1990",NA,2442,NA,NA,1221,2,0,2.89189189189189,"2","1990",662134.02,36.8807511204454
"1990-2","2270","June 30, 1990","TORONTO",7708,NA,NA,3080,2.5025974025974,0.0746753246753247,8.48896103896104,"2","1990",4008790.01,19.2277469779466
"1990-2","1060","June 30, 1990",NA,6740,NA,NA,3547,1.90019734987313,0.114180998026501,3.08204116154497,"2","1990",3397346.2,19.8390143459622
"1990-2","2410","June 30, 1990","VANCOUVER",5281,NA,NA,2919,1.80918122644741,0.104830421377184,4.88900308324769,"2","1990",1622070.14,32.5571618006605
"1990-2","0610","June 30, 1990","HAMILTON",980,NA,NA,654,1.49847094801223,0,4.73853211009174,NA,NA,NA,NA
"1990-2","2440","June 30, 1990","VICTORIA",606,NA,NA,461,1.31453362255965,0.10412147505423,3.76789587852495,"2","1990",292879.31,20.6911167606889
"1990-3","0140","September 30, 1990","CALGARY",2102,NA,NA,1945,1.08071979434447,0,3.973264781491,NA,NA,NA,NA
"1990-3","2440","September 30, 1990","VICTORIA",813,NA,NA,435,1.86896551724138,0.0620689655172414,3.88735632183908,"3","1990",294054.696,27.6479175833329
"1990-3","2680","September 30, 1990","WINNIPEG",650,NA,NA,594,1.09427609427609,0.0134680134680135,5.40740740740741,"3","1990",675163.447,9.62729843992872
"1990-3","1700","September 30, 1990","SASKATOON",86,NA,NA,84,1.02380952380952,0.0119047619047619,3.53571428571429,"3","1990",216685.034,3.96889431690054
"1990-3","0610","September 30, 1990","HAMILTON",666,NA,NA,483,1.37888198757764,0,4.60248447204969,NA,NA,NA,NA
"1990-3","0580","September 30, 1990",NA,869,NA,NA,368,2.36141304347826,0,3.54891304347826,NA,NA,NA,NA
"1990-3","1060","September 30, 1990",NA,8206,NA,NA,5005,1.63956043956044,0.0611388611388611,2.60899100899101,"3","1990",3403122.3,24.1131504442259
"1990-3","1265","September 30, 1990",NA,1522,NA,NA,1021,1.49069539666993,0.0019588638589618,4.7179236043095,"3","1990",712792.413,21.3526402952889
"1990-3","1400","September 30, 1990",NA,2460,NA,NA,1483,1.65879973027647,0,2.36075522589346,"3","1990",665108.82,36.9864287771736
"1990-3","2410","September 30, 1990","VANCOUVER",4926,NA,NA,2351,2.095278604849,0.145895363675032,5.41429179072735,"3","1990",1630773.34,30.2065276588346
