"reference_period_qq","CSDuid","date_pbi","metcode","metro","municipality","inventory","num_structures","unitsperstructure","avgstorycount","ref_qq","ref_yy","population","inventory_per_10kpop"
"1993-4","4806019","December 31, 1993","0140","CALGARY","COCHRANE T",16,23,0.695652173913043,0,NA,NA,NA,NA
"1993-4","4806014","December 31, 1993","0140","CALGARY","ROCKY VIEW COUNTY MD",2,27,0.0740740740740741,0,NA,NA,NA,NA
"1993-4","4806016","December 31, 1993","0140","CALGARY","CALGARY CY",586,897,0.653288740245262,0,NA,NA,NA,NA
"1994-1","4806022","March 31, 1994","0140","CALGARY","IRRICANA T",1,1,1,0,NA,NA,NA,NA
"1994-1","4806017","March 31, 1994","0140","CALGARY","CHESTERMERE CY",9,13,0.692307692307692,0,NA,NA,NA,NA
"1994-1","4806014","March 31, 1994","0140","CALGARY","ROCKY VIEW COUNTY MD",2,34,0.0588235294117647,0,NA,NA,NA,NA
"1994-1","4806026","March 31, 1994","0140","CALGARY","CROSSFIELD T",2,2,1,0,NA,NA,NA,NA
"1994-1","4806016","March 31, 1994","0140","CALGARY","CALGARY CY",665,851,0.781433607520564,0,NA,NA,NA,NA
"1994-1","4806024","March 31, 1994","0140","CALGARY","BEISEKER VL",2,2,1,0,NA,NA,NA,NA
"1994-1","4806019","March 31, 1994","0140","CALGARY","COCHRANE T",16,18,0.888888888888889,0,NA,NA,NA,NA
"1994-1","4806021","March 31, 1994","0140","CALGARY","AIRDRIE CY",42,44,0.954545454545455,0,NA,NA,NA,NA
"1994-2","4806021","June 30, 1994","0140","CALGARY","AIRDRIE CY",35,82,0.426829268292683,0,NA,NA,NA,NA
"1994-2","4806024","June 30, 1994","0140","CALGARY","BEISEKER VL",1,1,1,0,NA,NA,NA,NA
"1994-2","4806022","June 30, 1994","0140","CALGARY","IRRICANA T",0,1,0,0,NA,NA,NA,NA
"1994-2","4806014","June 30, 1994","0140","CALGARY","ROCKY VIEW COUNTY MD",4,39,0.102564102564103,0,NA,NA,NA,NA
"1994-2","4806026","June 30, 1994","0140","CALGARY","CROSSFIELD T",1,2,0.5,0,NA,NA,NA,NA
"1994-2","4806016","June 30, 1994","0140","CALGARY","CALGARY CY",602,1013,0.594274432379072,0,NA,NA,NA,NA
