"","ref_yy","metcode","gcd_ct_centroid_fsa","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount"
"2931","2006","1060","J7Y","December 31, 2006","MONTRÉAL",126,45,2.8,0.6
"2932","2006","1060","J7Z","December 31, 2006","MONTRÉAL",28,9,3.11111111111111,1
"2933","2006","1060","nan","December 31, 2006","MONTRÉAL",4501,1449,3.10628019323672,0.262939958592132
"2934","2007","1060",NA,"December 31, 2007","MONTRÉAL",39,4,9.75,1.25
"2935","2007","1060","H1A","December 31, 2007","MONTRÉAL",45,12,3.75,0
"2936","2007","1060","H1B","December 31, 2007","MONTRÉAL",183,6,30.5,0
"2937","2007","1060","H1C","December 31, 2007","MONTRÉAL",99,30,3.3,0
"2938","2007","1060","H1E","December 31, 2007","MONTRÉAL",37,26,1.42307692307692,0
"2939","2007","1060","H1H","December 31, 2007","MONTRÉAL",43,5,8.6,0
"2940","2007","1060","H1L","December 31, 2007","MONTRÉAL",563,13,43.3076923076923,0
"2941","2007","1060","H1N","December 31, 2007","MONTRÉAL",75,8,9.375,0
"2942","2007","1060","H1P","December 31, 2007","MONTRÉAL",1,1,1,0
"2943","2007","1060","H1R","December 31, 2007","MONTRÉAL",57,9,6.33333333333333,0.444444444444444
"2944","2007","1060","H1S","December 31, 2007","MONTRÉAL",222,4,55.5,0
"2945","2007","1060","H1T","December 31, 2007","MONTRÉAL",12,4,3,0
"2946","2007","1060","H1V","December 31, 2007","MONTRÉAL",235,22,10.6818181818182,0
"2947","2007","1060","H1W","December 31, 2007","MONTRÉAL",74,8,9.25,0
"2948","2007","1060","H1X","December 31, 2007","MONTRÉAL",56,2,28,0
"2949","2007","1060","H1Y","December 31, 2007","MONTRÉAL",76,3,25.3333333333333,0
"2950","2007","1060","H1Z","December 31, 2007","MONTRÉAL",12,2,6,0
"2951","2007","1060","H2A","December 31, 2007","MONTRÉAL",36,5,7.2,0
"2952","2007","1060","H2B","December 31, 2007","MONTRÉAL",1,1,1,0
"2953","2007","1060","H2C","December 31, 2007","MONTRÉAL",1,1,1,0
"2954","2007","1060","H2H","December 31, 2007","MONTRÉAL",8,1,8,0
"2955","2007","1060","H2J","December 31, 2007","MONTRÉAL",35,1,35,0
"2956","2007","1060","H2K","December 31, 2007","MONTRÉAL",14,1,14,0
"2957","2007","1060","H2L","December 31, 2007","MONTRÉAL",50,2,25,0
"2958","2007","1060","H2M","December 31, 2007","MONTRÉAL",70,2,35,0
"2959","2007","1060","H2N","December 31, 2007","MONTRÉAL",33,2,16.5,0
"2960","2007","1060","H2R","December 31, 2007","MONTRÉAL",167,9,18.5555555555556,0
"2961","2007","1060","H2S","December 31, 2007","MONTRÉAL",110,7,15.7142857142857,0
"2962","2007","1060","H2T","December 31, 2007","MONTRÉAL",181,1,181,0
"2963","2007","1060","H2V","December 31, 2007","MONTRÉAL",179,1,179,0
"2964","2007","1060","H2W","December 31, 2007","MONTRÉAL",8,2,4,0
"2965","2007","1060","H2X","December 31, 2007","MONTRÉAL",146,2,73,0
"2966","2007","1060","H3B","December 31, 2007","MONTRÉAL",214,1,214,0
"2967","2007","1060","H3E","December 31, 2007","MONTRÉAL",180,1,180,0
"2968","2007","1060","H3G","December 31, 2007","MONTRÉAL",76,2,38,4.5
"2969","2007","1060","H3H","December 31, 2007","MONTRÉAL",188,3,62.6666666666667,5.33333333333333
"2970","2007","1060","H3K","December 31, 2007","MONTRÉAL",16,2,8,0
"2971","2007","1060","H3L","December 31, 2007","MONTRÉAL",83,8,10.375,0
"2972","2007","1060","H3M","December 31, 2007","MONTRÉAL",29,1,29,0
"2973","2007","1060","H3N","December 31, 2007","MONTRÉAL",4,1,4,2
"2974","2007","1060","H3P","December 31, 2007","MONTRÉAL",41,3,13.6666666666667,0
"2975","2007","1060","H3R","December 31, 2007","MONTRÉAL",3,3,1,0
"2976","2007","1060","H3S","December 31, 2007","MONTRÉAL",116,2,58,0
"2977","2007","1060","H3W","December 31, 2007","MONTRÉAL",13,2,6.5,0
"2978","2007","1060","H3X","December 31, 2007","MONTRÉAL",52,8,6.5,1.25
"2979","2007","1060","H3Y","December 31, 2007","MONTRÉAL",5,5,1,0
"2980","2007","1060","H4A","December 31, 2007","MONTRÉAL",35,2,17.5,0
"2981","2007","1060","H4B","December 31, 2007","MONTRÉAL",132,5,26.4,0.8
"2982","2007","1060","H4C","December 31, 2007","MONTRÉAL",65,3,21.6666666666667,0
"2983","2007","1060","H4E","December 31, 2007","MONTRÉAL",232,12,19.3333333333333,2
"2984","2007","1060","H4H","December 31, 2007","MONTRÉAL",2,2,1,0
"2985","2007","1060","H4J","December 31, 2007","MONTRÉAL",41,8,5.125,0
"2986","2007","1060","H4K","December 31, 2007","MONTRÉAL",1,1,1,0
"2987","2007","1060","H4M","December 31, 2007","MONTRÉAL",120,2,60,4
"2988","2007","1060","H4N","December 31, 2007","MONTRÉAL",2,2,1,0
"2989","2007","1060","H4R","December 31, 2007","MONTRÉAL",19,4,4.75,0
"2990","2007","1060","H4V","December 31, 2007","MONTRÉAL",4,4,1,0
"2991","2007","1060","H4W","December 31, 2007","MONTRÉAL",7,1,7,0
"2992","2007","1060","H7A","December 31, 2007","MONTRÉAL",71,51,1.3921568627451,0.0784313725490196
"2993","2007","1060","H7B","December 31, 2007","MONTRÉAL",20,20,1,0
"2994","2007","1060","H7E","December 31, 2007","MONTRÉAL",90,56,1.60714285714286,0.0535714285714286
"2995","2007","1060","H7G","December 31, 2007","MONTRÉAL",34,4,8.5,1
"2996","2007","1060","H7H","December 31, 2007","MONTRÉAL",12,8,1.5,0
"2997","2007","1060","H7K","December 31, 2007","MONTRÉAL",8,8,1,0
"2998","2007","1060","H7L","December 31, 2007","MONTRÉAL",286,50,5.72,0.28
"2999","2007","1060","H7M","December 31, 2007","MONTRÉAL",261,13,20.0769230769231,0.923076923076923
"3000","2007","1060","H7N","December 31, 2007","MONTRÉAL",6,1,6,0
"3001","2007","1060","H7P","December 31, 2007","MONTRÉAL",24,20,1.2,0.1
"3002","2007","1060","H7R","December 31, 2007","MONTRÉAL",81,19,4.26315789473684,0.315789473684211
"3003","2007","1060","H7T","December 31, 2007","MONTRÉAL",42,21,2,0.666666666666667
"3004","2007","1060","H7V","December 31, 2007","MONTRÉAL",281,5,56.2,5.4
"3005","2007","1060","H7W","December 31, 2007","MONTRÉAL",6,1,6,2
"3006","2007","1060","H7X","December 31, 2007","MONTRÉAL",114,64,1.78125,0.21875
"3007","2007","1060","H7Y","December 31, 2007","MONTRÉAL",6,1,6,2
"3008","2007","1060","H8P","December 31, 2007","MONTRÉAL",12,2,6,0
"3009","2007","1060","H8R","December 31, 2007","MONTRÉAL",2,1,2,0
"3010","2007","1060","H8S","December 31, 2007","MONTRÉAL",17,2,8.5,0
"3011","2007","1060","H8T","December 31, 2007","MONTRÉAL",32,3,10.6666666666667,0
"3012","2007","1060","H8Y","December 31, 2007","MONTRÉAL",6,4,1.5,0
"3013","2007","1060","H8Z","December 31, 2007","MONTRÉAL",6,5,1.2,0
"3014","2007","1060","H9A","December 31, 2007","MONTRÉAL",26,4,6.5,0
"3015","2007","1060","H9B","December 31, 2007","MONTRÉAL",37,4,9.25,0
"3016","2007","1060","H9C","December 31, 2007","MONTRÉAL",11,11,1,0
"3017","2007","1060","H9G","December 31, 2007","MONTRÉAL",29,3,9.66666666666667,0
"3018","2007","1060","H9H","December 31, 2007","MONTRÉAL",57,24,2.375,0
"3019","2007","1060","H9K","December 31, 2007","MONTRÉAL",35,27,1.2962962962963,0
"3020","2007","1060","H9R","December 31, 2007","MONTRÉAL",152,7,21.7142857142857,0
"3021","2007","1060","H9S","December 31, 2007","MONTRÉAL",3,3,1,0
"3022","2007","1060","H9W","December 31, 2007","MONTRÉAL",93,12,7.75,0
"3023","2007","1060","H9X","December 31, 2007","MONTRÉAL",5,5,1,0
"3024","2007","1060","J0L","December 31, 2007","MONTRÉAL",56,45,1.24444444444444,0
"3025","2007","1060","J0N","December 31, 2007","MONTRÉAL",227,122,1.86065573770492,0.262295081967213
"3026","2007","1060","J0P","December 31, 2007","MONTRÉAL",10,10,1,0
"3027","2007","1060","J3G","December 31, 2007","MONTRÉAL",127,58,2.18965517241379,0.172413793103448
"3028","2007","1060","J3H","December 31, 2007","MONTRÉAL",347,69,5.02898550724638,0.115942028985507
"3029","2007","1060","J3L","December 31, 2007","MONTRÉAL",118,93,1.26881720430108,0.0645161290322581
"3030","2007","1060","J3N","December 31, 2007","MONTRÉAL",17,14,1.21428571428571,0
"3031","2007","1060","J3V","December 31, 2007","MONTRÉAL",156,4,39,0.75
"3032","2007","1060","J3X","December 31, 2007","MONTRÉAL",1,1,1,0
"3033","2007","1060","J3Y","December 31, 2007","MONTRÉAL",152,57,2.66666666666667,0.087719298245614
"3034","2007","1060","J4B","December 31, 2007","MONTRÉAL",27,10,2.7,0.4
"3035","2007","1060","J4G","December 31, 2007","MONTRÉAL",2,2,1,0
"3036","2007","1060","J4H","December 31, 2007","MONTRÉAL",68,2,34,0
"3037","2007","1060","J4J","December 31, 2007","MONTRÉAL",5,3,1.66666666666667,0
"3038","2007","1060","J4K","December 31, 2007","MONTRÉAL",10,4,2.5,0.5
"3039","2007","1060","J4M","December 31, 2007","MONTRÉAL",44,31,1.41935483870968,0.129032258064516
"3040","2007","1060","J4N","December 31, 2007","MONTRÉAL",4,4,1,0
"3041","2007","1060","J4R","December 31, 2007","MONTRÉAL",4,1,4,0
"3042","2007","1060","J4T","December 31, 2007","MONTRÉAL",7,3,2.33333333333333,0
"3043","2007","1060","J4V","December 31, 2007","MONTRÉAL",14,8,1.75,0
"3044","2007","1060","J4W","December 31, 2007","MONTRÉAL",1,1,1,0
"3045","2007","1060","J4X","December 31, 2007","MONTRÉAL",4,4,1,0
"3046","2007","1060","J4Z","December 31, 2007","MONTRÉAL",3,2,1.5,0
"3047","2007","1060","J5B","December 31, 2007","MONTRÉAL",9,8,1.125,0
"3048","2007","1060","J5C","December 31, 2007","MONTRÉAL",1,1,1,0
"3049","2007","1060","J5L","December 31, 2007","MONTRÉAL",89,82,1.08536585365854,0.024390243902439
"3050","2007","1060","J5R","December 31, 2007","MONTRÉAL",96,82,1.17073170731707,0
"3051","2007","1060","J5T","December 31, 2007","MONTRÉAL",40,33,1.21212121212121,0
"3052","2007","1060","J5W","December 31, 2007","MONTRÉAL",117,70,1.67142857142857,0.0285714285714286
"3053","2007","1060","J5Y","December 31, 2007","MONTRÉAL",137,49,2.79591836734694,0.326530612244898
"3054","2007","1060","J5Z","December 31, 2007","MONTRÉAL",214,48,4.45833333333333,0.625
"3055","2007","1060","J6A","December 31, 2007","MONTRÉAL",2,2,1,0
"3056","2007","1060","J6J","December 31, 2007","MONTRÉAL",248,61,4.0655737704918,0
"3057","2007","1060","J6K","December 31, 2007","MONTRÉAL",11,2,5.5,0
"3058","2007","1060","J6N","December 31, 2007","MONTRÉAL",7,5,1.4,0
"3059","2007","1060","J6R","December 31, 2007","MONTRÉAL",19,19,1,0
"3060","2007","1060","J6W","December 31, 2007","MONTRÉAL",3,1,3,0
"3061","2007","1060","J6X","December 31, 2007","MONTRÉAL",55,54,1.01851851851852,0
"3062","2007","1060","J6Y","December 31, 2007","MONTRÉAL",52,25,2.08,0.24
"3063","2007","1060","J6Z","December 31, 2007","MONTRÉAL",8,8,1,0
"3064","2007","1060","J7A","December 31, 2007","MONTRÉAL",15,15,1,0
"3065","2007","1060","J7C","December 31, 2007","MONTRÉAL",54,37,1.45945945945946,0.108108108108108
"3066","2007","1060","J7E","December 31, 2007","MONTRÉAL",406,8,50.75,1.125
"3067","2007","1060","J7G","December 31, 2007","MONTRÉAL",6,6,1,0
"3068","2007","1060","J7H","December 31, 2007","MONTRÉAL",1,1,1,0
"3069","2007","1060","J7J","December 31, 2007","MONTRÉAL",52,35,1.48571428571429,0
"3070","2007","1060","J7K","December 31, 2007","MONTRÉAL",68,61,1.11475409836066,0
"3071","2007","1060","J7L","December 31, 2007","MONTRÉAL",16,14,1.14285714285714,0
"3072","2007","1060","J7M","December 31, 2007","MONTRÉAL",116,75,1.54666666666667,0.0666666666666667
"3073","2007","1060","J7P","December 31, 2007","MONTRÉAL",3,3,1,0
"3074","2007","1060","J7R","December 31, 2007","MONTRÉAL",62,44,1.40909090909091,0.0909090909090909
"3075","2007","1060","J7V","December 31, 2007","MONTRÉAL",260,131,1.98473282442748,0.0458015267175573
"3076","2007","1060","J7Y","December 31, 2007","MONTRÉAL",156,46,3.39130434782609,0.304347826086957
"3077","2007","1060","J7Z","December 31, 2007","MONTRÉAL",44,8,5.5,0.375
"3078","2007","1060","nan","December 31, 2007","MONTRÉAL",4831,1532,3.15339425587467,0.139686684073107
"3079","2008","1060",NA,"December 31, 2008","MONTRÉAL",38,3,12.6666666666667,1.66666666666667
"3080","2008","1060","H1A","December 31, 2008","MONTRÉAL",110,14,7.85714285714286,0
"3081","2008","1060","H1B","December 31, 2008","MONTRÉAL",32,4,8,0
"3082","2008","1060","H1C","December 31, 2008","MONTRÉAL",38,21,1.80952380952381,0
"3083","2008","1060","H1E","December 31, 2008","MONTRÉAL",56,24,2.33333333333333,0
"3084","2008","1060","H1H","December 31, 2008","MONTRÉAL",1,1,1,0
"3085","2008","1060","H1K","December 31, 2008","MONTRÉAL",11,4,2.75,0
"3086","2008","1060","H1L","December 31, 2008","MONTRÉAL",447,16,27.9375,0
"3087","2008","1060","H1N","December 31, 2008","MONTRÉAL",151,17,8.88235294117647,0
"3088","2008","1060","H1R","December 31, 2008","MONTRÉAL",27,9,3,0
"3089","2008","1060","H1S","December 31, 2008","MONTRÉAL",230,5,46,0
"3090","2008","1060","H1V","December 31, 2008","MONTRÉAL",16,2,8,0
"3091","2008","1060","H1W","December 31, 2008","MONTRÉAL",38,7,5.42857142857143,0
"3092","2008","1060","H1X","December 31, 2008","MONTRÉAL",35,5,7,0
"3093","2008","1060","H1Y","December 31, 2008","MONTRÉAL",13,3,4.33333333333333,0
"3094","2008","1060","H1Z","December 31, 2008","MONTRÉAL",11,3,3.66666666666667,0
"3095","2008","1060","H2C","December 31, 2008","MONTRÉAL",2,2,1,0
"3096","2008","1060","H2E","December 31, 2008","MONTRÉAL",46,1,46,0
"3097","2008","1060","H2G","December 31, 2008","MONTRÉAL",22,2,11,0
"3098","2008","1060","H2H","December 31, 2008","MONTRÉAL",16,2,8,0
"3099","2008","1060","H2J","December 31, 2008","MONTRÉAL",54,2,27,0
"3100","2008","1060","H2K","December 31, 2008","MONTRÉAL",32,5,6.4,0
"3101","2008","1060","H2L","December 31, 2008","MONTRÉAL",118,5,23.6,0
"3102","2008","1060","H2M","December 31, 2008","MONTRÉAL",82,1,82,0
"3103","2008","1060","H2P","December 31, 2008","MONTRÉAL",32,4,8,0
"3104","2008","1060","H2R","December 31, 2008","MONTRÉAL",59,3,19.6666666666667,0
"3105","2008","1060","H2S","December 31, 2008","MONTRÉAL",88,4,22,0
"3106","2008","1060","H2V","December 31, 2008","MONTRÉAL",31,2,15.5,0
"3107","2008","1060","H2X","December 31, 2008","MONTRÉAL",378,6,63,0
"3108","2008","1060","H3C","December 31, 2008","MONTRÉAL",7,1,7,0
"3109","2008","1060","H3H","December 31, 2008","MONTRÉAL",180,2,90,8
"3110","2008","1060","H3K","December 31, 2008","MONTRÉAL",78,11,7.09090909090909,0
"3111","2008","1060","H3L","December 31, 2008","MONTRÉAL",18,2,9,0
"3112","2008","1060","H3M","December 31, 2008","MONTRÉAL",4,2,2,0
"3113","2008","1060","H3N","December 31, 2008","MONTRÉAL",22,4,5.5,0.5
"3114","2008","1060","H3R","December 31, 2008","MONTRÉAL",9,4,2.25,0
"3115","2008","1060","H3T","December 31, 2008","MONTRÉAL",1,1,1,0
"3116","2008","1060","H3W","December 31, 2008","MONTRÉAL",77,4,19.25,1.25
"3117","2008","1060","H3X","December 31, 2008","MONTRÉAL",228,3,76,1.33333333333333
"3118","2008","1060","H3Y","December 31, 2008","MONTRÉAL",4,4,1,0
"3119","2008","1060","H3Z","December 31, 2008","MONTRÉAL",1,1,1,0
"3120","2008","1060","H4A","December 31, 2008","MONTRÉAL",2,1,2,0
"3121","2008","1060","H4B","December 31, 2008","MONTRÉAL",148,3,49.3333333333333,0
"3122","2008","1060","H4C","December 31, 2008","MONTRÉAL",43,7,6.14285714285714,0
"3123","2008","1060","H4E","December 31, 2008","MONTRÉAL",172,10,17.2,0
"3124","2008","1060","H4G","December 31, 2008","MONTRÉAL",56,1,56,0
"3125","2008","1060","H4J","December 31, 2008","MONTRÉAL",36,2,18,0
"3126","2008","1060","H4L","December 31, 2008","MONTRÉAL",301,2,150.5,0
"3127","2008","1060","H4M","December 31, 2008","MONTRÉAL",124,3,41.3333333333333,0
"3128","2008","1060","H4N","December 31, 2008","MONTRÉAL",12,3,4,0
"3129","2008","1060","H4R","December 31, 2008","MONTRÉAL",1,1,1,0
"3130","2008","1060","H4V","December 31, 2008","MONTRÉAL",1,1,1,0
"3131","2008","1060","H4W","December 31, 2008","MONTRÉAL",8,2,4,0
"3132","2008","1060","H7A","December 31, 2008","MONTRÉAL",113,33,3.42424242424242,0.454545454545455
"3133","2008","1060","H7B","December 31, 2008","MONTRÉAL",15,10,1.5,0
"3134","2008","1060","H7E","December 31, 2008","MONTRÉAL",33,27,1.22222222222222,0
"3135","2008","1060","H7H","December 31, 2008","MONTRÉAL",12,9,1.33333333333333,0
"3136","2008","1060","H7K","December 31, 2008","MONTRÉAL",3,3,1,0
"3137","2008","1060","H7L","December 31, 2008","MONTRÉAL",93,56,1.66071428571429,0.267857142857143
"3138","2008","1060","H7M","December 31, 2008","MONTRÉAL",2,2,1,0
"3139","2008","1060","H7N","December 31, 2008","MONTRÉAL",114,2,57,0
"3140","2008","1060","H7P","December 31, 2008","MONTRÉAL",36,4,9,1.25
"3141","2008","1060","H7R","December 31, 2008","MONTRÉAL",53,23,2.30434782608696,0.260869565217391
"3142","2008","1060","H7T","December 31, 2008","MONTRÉAL",155,48,3.22916666666667,0.0833333333333333
"3143","2008","1060","H7V","December 31, 2008","MONTRÉAL",397,8,49.625,3.625
"3144","2008","1060","H7W","December 31, 2008","MONTRÉAL",619,3,206.333333333333,0
"3145","2008","1060","H7X","December 31, 2008","MONTRÉAL",134,56,2.39285714285714,0.107142857142857
"3146","2008","1060","H8P","December 31, 2008","MONTRÉAL",36,2,18,0
"3147","2008","1060","H8R","December 31, 2008","MONTRÉAL",6,1,6,0
"3148","2008","1060","H8S","December 31, 2008","MONTRÉAL",17,5,3.4,0
"3149","2008","1060","H8T","December 31, 2008","MONTRÉAL",8,1,8,0
"3150","2008","1060","H8Y","December 31, 2008","MONTRÉAL",45,5,9,0
"3151","2008","1060","H8Z","December 31, 2008","MONTRÉAL",8,5,1.6,0
"3152","2008","1060","H9A","December 31, 2008","MONTRÉAL",46,2,23,0
"3153","2008","1060","H9B","December 31, 2008","MONTRÉAL",16,3,5.33333333333333,0
"3154","2008","1060","H9C","December 31, 2008","MONTRÉAL",3,3,1,0
"3155","2008","1060","H9E","December 31, 2008","MONTRÉAL",1,1,1,0
"3156","2008","1060","H9H","December 31, 2008","MONTRÉAL",69,27,2.55555555555556,0
"3157","2008","1060","H9J","December 31, 2008","MONTRÉAL",3,3,1,0
"3158","2008","1060","H9K","December 31, 2008","MONTRÉAL",27,22,1.22727272727273,0
"3159","2008","1060","H9S","December 31, 2008","MONTRÉAL",14,8,1.75,0
"3160","2008","1060","H9W","December 31, 2008","MONTRÉAL",19,14,1.35714285714286,0
"3161","2008","1060","H9X","December 31, 2008","MONTRÉAL",9,9,1,0
"3162","2008","1060","J0L","December 31, 2008","MONTRÉAL",68,40,1.7,0.15
"3163","2008","1060","J0N","December 31, 2008","MONTRÉAL",226,131,1.72519083969466,0.0610687022900763
"3164","2008","1060","J0P","December 31, 2008","MONTRÉAL",14,14,1,0
"3165","2008","1060","J3E","December 31, 2008","MONTRÉAL",506,3,168.666666666667,1
"3166","2008","1060","J3G","December 31, 2008","MONTRÉAL",117,45,2.6,0.111111111111111
"3167","2008","1060","J3H","December 31, 2008","MONTRÉAL",102,53,1.92452830188679,0
"3168","2008","1060","J3L","December 31, 2008","MONTRÉAL",98,83,1.18072289156627,0
"3169","2008","1060","J3N","December 31, 2008","MONTRÉAL",33,18,1.83333333333333,0.555555555555556
"3170","2008","1060","J3V","December 31, 2008","MONTRÉAL",4,4,1,0
"3171","2008","1060","J3X","December 31, 2008","MONTRÉAL",1,1,1,0
"3172","2008","1060","J3Y","December 31, 2008","MONTRÉAL",130,41,3.17073170731707,0.365853658536585
"3173","2008","1060","J4B","December 31, 2008","MONTRÉAL",18,8,2.25,0
"3174","2008","1060","J4G","December 31, 2008","MONTRÉAL",7,3,2.33333333333333,0
"3175","2008","1060","J4H","December 31, 2008","MONTRÉAL",77,3,25.6666666666667,0
"3176","2008","1060","J4J","December 31, 2008","MONTRÉAL",15,8,1.875,0
"3177","2008","1060","J4K","December 31, 2008","MONTRÉAL",15,5,3,0
"3178","2008","1060","J4L","December 31, 2008","MONTRÉAL",28,10,2.8,0
"3179","2008","1060","J4M","December 31, 2008","MONTRÉAL",62,32,1.9375,0.25
"3180","2008","1060","J4N","December 31, 2008","MONTRÉAL",242,18,13.4444444444444,0.5
"3181","2008","1060","J4R","December 31, 2008","MONTRÉAL",4,1,4,0
"3182","2008","1060","J4T","December 31, 2008","MONTRÉAL",17,3,5.66666666666667,0
"3183","2008","1060","J4V","December 31, 2008","MONTRÉAL",6,2,3,0
"3184","2008","1060","J4W","December 31, 2008","MONTRÉAL",9,2,4.5,0
"3185","2008","1060","J4X","December 31, 2008","MONTRÉAL",187,5,37.4,0
"3186","2008","1060","J4Z","December 31, 2008","MONTRÉAL",7,3,2.33333333333333,0.666666666666667
"3187","2008","1060","J5B","December 31, 2008","MONTRÉAL",1,1,1,0
"3188","2008","1060","J5C","December 31, 2008","MONTRÉAL",32,17,1.88235294117647,0
"3189","2008","1060","J5L","December 31, 2008","MONTRÉAL",74,52,1.42307692307692,0
"3190","2008","1060","J5R","December 31, 2008","MONTRÉAL",151,67,2.25373134328358,0.149253731343284
"3191","2008","1060","J5T","December 31, 2008","MONTRÉAL",29,19,1.52631578947368,0
"3192","2008","1060","J5W","December 31, 2008","MONTRÉAL",183,53,3.45283018867925,0.0377358490566038
"3193","2008","1060","J5Y","December 31, 2008","MONTRÉAL",94,54,1.74074074074074,0.111111111111111
"3194","2008","1060","J5Z","December 31, 2008","MONTRÉAL",128,41,3.1219512195122,0.219512195121951
"3195","2008","1060","J6A","December 31, 2008","MONTRÉAL",20,4,5,0
"3196","2008","1060","J6J","December 31, 2008","MONTRÉAL",48,20,2.4,0.1
"3197","2008","1060","J6K","December 31, 2008","MONTRÉAL",9,5,1.8,0
"3198","2008","1060","J6N","December 31, 2008","MONTRÉAL",21,10,2.1,0
"3199","2008","1060","J6R","December 31, 2008","MONTRÉAL",76,55,1.38181818181818,0.0363636363636364
"3200","2008","1060","J6X","December 31, 2008","MONTRÉAL",45,44,1.02272727272727,0
"3201","2008","1060","J6Y","December 31, 2008","MONTRÉAL",6,5,1.2,0
"3202","2008","1060","J6Z","December 31, 2008","MONTRÉAL",11,4,2.75,0
"3203","2008","1060","J7A","December 31, 2008","MONTRÉAL",12,12,1,0
"3204","2008","1060","J7C","December 31, 2008","MONTRÉAL",126,40,3.15,0.225
"3205","2008","1060","J7E","December 31, 2008","MONTRÉAL",98,6,16.3333333333333,2
"3206","2008","1060","J7G","December 31, 2008","MONTRÉAL",3,3,1,0
"3207","2008","1060","J7H","December 31, 2008","MONTRÉAL",193,30,6.43333333333333,1.86666666666667
"3208","2008","1060","J7J","December 31, 2008","MONTRÉAL",49,31,1.58064516129032,0.032258064516129
"3209","2008","1060","J7K","December 31, 2008","MONTRÉAL",19,18,1.05555555555556,0.111111111111111
"3210","2008","1060","J7L","December 31, 2008","MONTRÉAL",24,19,1.26315789473684,0
"3211","2008","1060","J7M","December 31, 2008","MONTRÉAL",47,20,2.35,0.35
"3212","2008","1060","J7P","December 31, 2008","MONTRÉAL",6,3,2,0.666666666666667
"3213","2008","1060","J7R","December 31, 2008","MONTRÉAL",75,40,1.875,0.15
"3214","2008","1060","J7T","December 31, 2008","MONTRÉAL",1,1,1,0
"3215","2008","1060","J7V","December 31, 2008","MONTRÉAL",95,60,1.58333333333333,0.1
"3216","2008","1060","J7Y","December 31, 2008","MONTRÉAL",192,53,3.62264150943396,0.509433962264151
"3217","2008","1060","J7Z","December 31, 2008","MONTRÉAL",21,10,2.1,0.5
"3218","2008","1060","nan","December 31, 2008","MONTRÉAL",3407,1168,2.91695205479452,0.136986301369863
"3219","2009","1060","H1A","December 31, 2009","MONTRÉAL",58,13,4.46153846153846,0
"3220","2009","1060","H1B","December 31, 2009","MONTRÉAL",6,4,1.5,0
"3221","2009","1060","H1C","December 31, 2009","MONTRÉAL",81,12,6.75,0.333333333333333
"3222","2009","1060","H1E","December 31, 2009","MONTRÉAL",71,38,1.86842105263158,0.131578947368421
"3223","2009","1060","H1G","December 31, 2009","MONTRÉAL",33,2,16.5,0
"3224","2009","1060","H1H","December 31, 2009","MONTRÉAL",26,3,8.66666666666667,0
"3225","2009","1060","H1K","December 31, 2009","MONTRÉAL",140,11,12.7272727272727,0
"3226","2009","1060","H1L","December 31, 2009","MONTRÉAL",136,20,6.8,0.2
"3227","2009","1060","H1N","December 31, 2009","MONTRÉAL",128,6,21.3333333333333,0
"3228","2009","1060","H1P","December 31, 2009","MONTRÉAL",3,3,1,0
"3229","2009","1060","H1R","December 31, 2009","MONTRÉAL",9,3,3,0.666666666666667
"3230","2009","1060","H1S","December 31, 2009","MONTRÉAL",116,4,29,0
"3231","2009","1060","H1T","December 31, 2009","MONTRÉAL",13,3,4.33333333333333,0
"3232","2009","1060","H1V","December 31, 2009","MONTRÉAL",32,4,8,0
"3233","2009","1060","H1W","December 31, 2009","MONTRÉAL",57,8,7.125,1.5
"3234","2009","1060","H1X","December 31, 2009","MONTRÉAL",12,1,12,3
"3235","2009","1060","H1Y","December 31, 2009","MONTRÉAL",34,4,8.5,0.5
"3236","2009","1060","H2C","December 31, 2009","MONTRÉAL",43,5,8.6,0
"3237","2009","1060","H2E","December 31, 2009","MONTRÉAL",1,1,1,0
"3238","2009","1060","H2G","December 31, 2009","MONTRÉAL",8,3,2.66666666666667,0
"3239","2009","1060","H2H","December 31, 2009","MONTRÉAL",8,1,8,0
"3240","2009","1060","H2J","December 31, 2009","MONTRÉAL",201,16,12.5625,0.5625
"3241","2009","1060","H2K","December 31, 2009","MONTRÉAL",32,4,8,1.5
"3242","2009","1060","H2L","December 31, 2009","MONTRÉAL",138,1,138,0
"3243","2009","1060","H2M","December 31, 2009","MONTRÉAL",7,2,3.5,0
"3244","2009","1060","H2N","December 31, 2009","MONTRÉAL",6,2,3,0
"3245","2009","1060","H2P","December 31, 2009","MONTRÉAL",28,4,7,0
"3246","2009","1060","H2R","December 31, 2009","MONTRÉAL",53,4,13.25,1
"3247","2009","1060","H2S","December 31, 2009","MONTRÉAL",345,24,14.375,0.375
"3248","2009","1060","H2T","December 31, 2009","MONTRÉAL",46,1,46,0
"3249","2009","1060","H2V","December 31, 2009","MONTRÉAL",1,1,1,0
"3250","2009","1060","H2X","December 31, 2009","MONTRÉAL",282,1,282,27
"3251","2009","1060","H2Y","December 31, 2009","MONTRÉAL",59,1,59,0
"3252","2009","1060","H3H","December 31, 2009","MONTRÉAL",1,1,1,0
"3253","2009","1060","H3K","December 31, 2009","MONTRÉAL",43,4,10.75,0
"3254","2009","1060","H3L","December 31, 2009","MONTRÉAL",84,9,9.33333333333333,1.33333333333333
"3255","2009","1060","H3N","December 31, 2009","MONTRÉAL",30,4,7.5,0.75
