"","ref_yy","metcode","dweltype","mkttycd","date_pbi","metro","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","avgpermit_to_start_time","bachelor_units","one_bedrooms","two_bedrooms","three_bedrooms","four_bedrooms","tot_units","total_avg_unitsize_sqm","total_avg_unitsize_sqft","total_avg_price","total_min_price","total_max_price","ref_qq","population","comp_per_10kpop"
"51","1989","0580",1,1,"March 31, 1989",NA,1119,NA,NA,1119,1,0,5.37209302325581,0.278820375335121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"332122.421",33.6923956121589
"52","1989","0580",2,1,"March 31, 1989",NA,382,NA,NA,191,2,0,4.79310344827586,0.49738219895288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"332122.421",11.5017829524975
"53","1989","0580",2,4,"December 31, 1989",NA,46,NA,NA,23,2,0,8.21052631578947,1.56521739130435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"332122.421",1.38503145501279
"54","1989","0580",4,2,"June 30, 1989",NA,16,NA,NA,2,8,0,5.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"332122.421",0.481750071308796
"55","1989","0580",5,3,"June 30, 1989",NA,110,NA,NA,5,22,0,6.8,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"332122.421",3.31203174024797
"56","1989","0610",4,1,"March 31, 1989","HAMILTON",70,NA,NA,12,5.83333333333333,0,6,0.166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"615293.795",1.13766790058398
"57","1989","0610",4,3,"March 31, 1989",NA,670,NA,NA,87,7.70114942528736,0.218390804597701,6.40506329113924,0.471264367816092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"615293.795",10.8891070484467
"58","1989","0610",4,4,"September 30, 1989",NA,86,NA,NA,9,9.55555555555556,0,5.22222222222222,0.444444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"615293.795",1.39770627786032
"59","1989","0610",5,2,"December 31, 1989",NA,108,NA,NA,2,54,0,8.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"615293.795",1.75525904661528
"60","1989","1060",2,1,"September 30, 1989",NA,690,NA,NA,347,1.98847262247839,0,8.21359223300971,0.906432748538012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3384308.91",2.03882097748577
"61","1989","1060",2,2,"December 31, 1989",NA,10,NA,NA,5,2,0,5,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3384308.91",0.0295481301084894
"62","1989","1060",4,2,"December 31, 1989",NA,15,NA,NA,4,3.75,0,5.25,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3384308.91",0.0443221951627341
"63","1989","1060",4,4,"March 31, 1989",NA,40,NA,NA,5,8,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3384308.91",0.118192520433958
"64","1989","1060",5,1,"September 30, 1989",NA,51,NA,NA,17,3,1.11764705882353,3.66666666666667,0.823529411764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3384308.91",0.150695463553296
"65","1989","1060",5,3,"September 30, 1989",NA,3805,NA,NA,195,19.5128205128205,1.45128205128205,7.95394736842105,1.28333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3384308.91",11.2430635062802
"66","1989","1060",5,4,"June 30, 1989",NA,342,NA,NA,15,22.8,0.733333333333333,6.21428571428571,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3384308.91",1.01054604971034
"67","1989","1265",1,2,"December 31, 1989",NA,4,NA,NA,4,1,0,4.33333333333333,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"712715.6858770581",0.0561233613804592
"68","1989","1265",2,2,"March 31, 1989",NA,22,NA,NA,11,2,0,5.22222222222222,0.545454545454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"712715.6858770581",0.308678487592526
"69","1989","1265",4,2,"March 31, 1989",NA,283,NA,NA,48,5.89583333333333,0.0833333333333333,8.04255319148936,0.0208333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"712715.6858770581",3.97072781766749
"70","1989","1265",5,4,"September 30, 1989",NA,222,NA,NA,3,74,6,8.66666666666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"712715.6858770581",3.11484655661549
"71","1989","1400",1,1,"June 30, 1989",NA,2718,NA,NA,2718,1,0,4.79009433962264,0.277409860191317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"657101.771",41.3634557073808
"72","1989","1400",4,2,"December 31, 1989",NA,53,NA,NA,11,4.81818181818182,0,4.71428571428571,0.272727272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"657101.771",0.806572167951135
"73","1989","1400",4,3,"September 30, 1989",NA,42,NA,NA,5,8.4,0,5.5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"657101.771",0.639170397244295
"74","1989","1400",5,2,"June 30, 1989",NA,1771,NA,NA,225,7.87111111111111,0,4.65740740740741,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"657101.771",26.9516850838011
"75","1989","1490",1,1,"March 31, 1989","REGINA",497,NA,NA,497,1,0,5.25754060324826,-0.202083333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"195307.253",25.4470836267407
"76","1989","1490",2,1,"December 31, 1989","REGINA",15,NA,NA,8,1.875,0,7.85714285714286,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"195307.253",0.768020632597807
"77","1989","1490",2,2,"March 31, 1989","REGINA",2,NA,NA,1,2,0,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"195307.253",0.102402751013041
"78","1989","1490",5,2,"March 31, 1989","REGINA",50,NA,NA,3,16.6666666666667,0.666666666666667,7.33333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"195307.253",2.56006877532602
"79","1989","1490",5,3,"September 30, 1989","REGINA",147,NA,NA,4,36.75,1.75,10.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"195307.253",7.52660219945851
"80","1989","1700",1,1,"June 30, 1989","SASKATOON",435,NA,NA,435,1,0,4.47404844290657,0.190804597701149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"215816.647",20.1559984388044
"81","1989","1700",2,1,"March 31, 1989","SASKATOON",10,NA,NA,5,2,0,5.6,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"215816.647",0.463356285949526
"82","1989","1700",5,2,"March 31, 1989","SASKATOON",324,NA,NA,9,36,1.55555555555556,7.625,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"215816.647",15.0127436647647
"83","1989","2270",1,1,"December 31, 1989","TORONTO",17851,NA,NA,17851,1,0,7.05405405405405,0.607634789452971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3983955.1799999997",44.8072309889791
"84","1989","2270",2,1,"June 30, 1989","TORONTO",204,NA,NA,102,2,0,7.43877551020408,0.552083333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3983955.1799999997",0.51205395337806
"85","1989","2270",2,2,"December 31, 1989","TORONTO",6,NA,NA,3,2,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3983955.1799999997",0.0150604103934723
"86","1989","2270",4,1,"March 31, 1989","TORONTO",1330,NA,NA,180,7.38888888888889,0.35,6.56896551724138,0.167597765363128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3983955.1799999997",3.33839097055304
"87","1989","2270",5,4,"September 30, 1989",NA,778,NA,NA,7,111.142857142857,2.85714285714286,14.1428571428571,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"3983955.1799999997",1.95283321435358
"88","1989","2410",1,3,"June 30, 1989","VANCOUVER",97,NA,NA,97,1,0,5.57407407407407,0.195876288659794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"1602542.22",0.605288265041778
"89","1989","2410",2,3,"March 31, 1989","VANCOUVER",389,NA,NA,195,1.99487179487179,0,6.22340425531915,0.876923076923077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"1602542.22",2.42739314537373
"90","1989","2410",4,4,"June 30, 1989","VANCOUVER",436,NA,NA,79,5.51898734177215,0.0379746835443038,6.05063291139241,0.556962025316456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"1602542.22",2.7206771500847
"91","1989","2410",5,2,"March 31, 1989","VANCOUVER",1552,NA,NA,52,29.8461538461538,2.40384615384615,7.6734693877551,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"1602542.22",9.68461224066846
"92","1989","2440",2,1,"March 31, 1989",NA,60,NA,NA,31,1.93548387096774,0,5.4,0.258064516129032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"289992.005",2.06902255805294
"93","1989","2440",2,3,"March 31, 1989","VICTORIA",4,NA,NA,2,2,0,5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"289992.005",0.137934837203529
