"","ref_yy","CSDuid","dweltype","mkttycd","date_pbi","metcode","metro","municipality","inventory","num_structures","unitsperstructure","avgstorycount","ref_qq","population","inventory_per_10kpop"
"122","1988","2456400",2,1,"December 31, 1988","1060",NA,NA,4,3,1.33333333333333,0,4,"3351700.63",0.0119342400815791
"123","1988","2456400",5,1,"December 31, 1988","1060",NA,NA,4,2,2,2,4,"3351700.63",0.0119342400815791
"124","1988","2456400",5,3,"December 31, 1988","1060",NA,NA,50,6,8.33333333333333,2.33333333333333,4,"3351700.63",0.149178001019739
"125","1988","2456450",1,1,"December 31, 1988","1060",NA,NA,0,1,0,0,4,"3351700.63",0
"126","1988","2456450",5,3,"December 31, 1988","1060",NA,NA,7,1,7,3,4,"3351700.63",0.0208849201427635
"127","1988","2456580",5,3,"December 31, 1988","1060",NA,NA,139,12,11.5833333333333,3.16666666666667,4,"3351700.63",0.414714842834875
"128","1988","2456650",1,1,"December 31, 1988","1060",NA,NA,57,121,0.471074380165289,0,4,"3351700.63",0.170062921162503
"129","1988","2456650",2,1,"December 31, 1988","1060",NA,NA,10,8,1.25,0,4,"3351700.63",0.0298356002039478
"130","1988","2456650",4,1,"December 31, 1988","1060",NA,NA,6,5,1.2,0.8,4,"3351700.63",0.0179013601223687
"131","1988","2456650",4,3,"December 31, 1988","1060",NA,NA,7,2,3.5,1,4,"3351700.63",0.0208849201427635
"132","1988","2456650",5,1,"December 31, 1988","1060",NA,NA,1,1,1,2,4,"3351700.63",0.00298356002039478
"133","1988","2456650",5,3,"December 31, 1988","1060",NA,NA,130,11,11.8181818181818,3.27272727272727,4,"3351700.63",0.387862802651322
"134","1988","2456750",1,1,"December 31, 1988","1060",NA,NA,44,95,0.463157894736842,0,4,"3351700.63",0.13127664089737
"135","1988","2456750",4,1,"December 31, 1988","1060",NA,NA,4,1,4,0,4,"3351700.63",0.0119342400815791
"136","1988","2456750",5,3,"December 31, 1988","1060",NA,NA,3,3,1,1.33333333333333,4,"3351700.63",0.00895068006118434
"137","1988","2457110",1,1,"December 31, 1988","1060",NA,NA,2,3,0.666666666666667,0,4,"3351700.63",0.00596712004078956
"138","1988","2457150",1,1,"December 31, 1988","1060",NA,NA,10,30,0.333333333333333,0,4,"3351700.63",0.0298356002039478
"139","1988","2457200",1,1,"December 31, 1988","1060",NA,NA,0,3,0,0,4,"3351700.63",0
"140","1988","2457280",1,1,"December 31, 1988","1060",NA,NA,33,104,0.317307692307692,0,4,"3351700.63",0.0984574806730278
"141","1988","2457320",1,1,"December 31, 1988","1060",NA,NA,37,44,0.840909090909091,0,4,"3351700.63",0.110391720754607
"142","1988","2457320",4,1,"December 31, 1988","1060",NA,NA,1,1,1,2,4,"3351700.63",0.00298356002039478
"143","1988","2457400",1,1,"December 31, 1988","1060",NA,NA,2,9,0.222222222222222,0,4,"3351700.63",0.00596712004078956
"144","1988","2462110",1,1,"December 31, 1988","1060",NA,NA,1,3,0.333333333333333,0,4,"3351700.63",0.00298356002039478
"145","1988","2462200",1,1,"December 31, 1988","1060",NA,NA,27,50,0.54,0,4,"3351700.63",0.0805561205506591
"146","1988","2462200",5,1,"December 31, 1988","1060",NA,NA,2,1,2,0,4,"3351700.63",0.00596712004078956
"147","1988","2462200",5,3,"December 31, 1988","1060",NA,NA,24,4,6,3,4,"3351700.63",0.0716054404894747
"148","1988","2462240",1,1,"December 31, 1988","1060",NA,NA,3,40,0.075,0,4,"3351700.63",0.00895068006118434
"149","1988","2462240",5,3,"December 31, 1988","1060",NA,NA,13,2,6.5,2,4,"3351700.63",0.0387862802651322
"150","1988","2462260",1,1,"December 31, 1988","1060",NA,NA,0,1,0,0,4,"3351700.63",0
"151","1988","2462280",1,1,"December 31, 1988","1060",NA,NA,39,54,0.722222222222222,0,4,"3351700.63",0.116358840795396
