"ref_yy","CSDuid","date_pbi","metcode","metro","municipality","inventory","num_structures","unitsperstructure","avgstorycount","X_c0","ref_qq","met_name","population","stcan_cmacode","inventory_per_10kpop"
"1988","3524002","December 31, 1988","0610","HAMILTON","BURLINGTON CY",101,195,0.517948717948718,0.0153846153846154,535,4,"Hamilton",607581.042,537,1.6623296814452
"1988","3524009","December 31, 1988","2270","TORONTO","MILTON T",1,13,0.0769230769230769,0,1405,4,"Toronto",3917164.25,535,0.0025528671665989
"1988","3524015","December 31, 1988","2270","TORONTO","HALTON HILLS T",0,3,0,0,1405,4,"Toronto",3917164.25,535,0
"1988","3525003","December 31, 1988","0610",NA,NA,46,96,0.479166666666667,0,535,4,"Hamilton",607581.042,537,0.757100646994841
"1988","3525009","December 31, 1988","0610",NA,NA,3,4,0.75,0,535,4,"Hamilton",607581.042,537,0.0493761291518375
"1988","3525014","December 31, 1988","0610",NA,NA,29,33,0.878787878787879,0,535,4,"Hamilton",607581.042,537,0.477302581801096
"1988","3525018","December 31, 1988","0610",NA,NA,81,144,0.5625,0,535,4,"Hamilton",607581.042,537,1.33315548709961
"1988","3525026","December 31, 1988","0610",NA,NA,5,16,0.3125,0,535,4,"Hamilton",607581.042,537,0.0822935485863958
"1988","3525030","December 31, 1988","0610",NA,NA,1,38,0.0263157894736842,0,535,4,"Hamilton",607581.042,537,0.0164587097172792
"1988","3526065","December 31, 1988","0610","HAMILTON","GRIMSBY T",24,33,0.727272727272727,0,535,4,"Hamilton",607581.042,537,0.3950090332147
"1988","3543004","December 31, 1988","2270",NA,NA,0,6,0,0,1405,4,"Toronto",3917164.25,535,0
"1988","3543006","December 31, 1988","2270",NA,NA,4,24,0.166666666666667,0,1405,4,"Toronto",3917164.25,535,0.0102114686663956
"1988","3543011","December 31, 1988","2270",NA,NA,0,2,0,0,1405,4,"Toronto",3917164.25,535,0
"1988","3543012","December 31, 1988","2270","TORONTO","MONO T",31,50,0.62,0,1405,4,"Toronto",3917164.25,535,0.0791388821645659
"1988","4602069","December 31, 1988","2680","WINNIPEG","TACHÉ RM",0,8,0,0,2101,4,"Winnipeg",665928.947,602,0
