"ref_yy","metcode","censustr","dweltype","mkttycd","date_pbi","metro","stcan_cmacode","inventory","num_structures","unitsperstructure","avgstorycount","full_ct"
"2006","0340","%07.2f34.0",4,3,"December 31, 2006","EDMONTON","835",8,2,4,0,"835%07.2f34.0"
"2006","0340","%07.2f48.0",2,1,"December 31, 2006","EDMONTON","835",2,1,2,0,"835%07.2f48.0"
"2006","0340","%07.2f56.0",1,1,"December 31, 2006","EDMONTON","835",0,1,0,0,"835%07.2f56.0"
"2006","0340","%07.2f73.0",2,3,"December 31, 2006","EDMONTON","835",1,1,1,0,"835%07.2f73.0"
"2006","0340","%07.2f75.02999999999999",2,3,"December 31, 2006","EDMONTON","835",1,1,1,0,"835%07.2f75.02999999999999"
"2006","0340","%07.2f75.05999999999999",1,1,"December 31, 2006","EDMONTON","835",2,3,0.666666666666667,0,"835%07.2f75.05999999999999"
"2006","0340","%07.2f75.08",1,1,"December 31, 2006","EDMONTON","835",1,1,1,0,"835%07.2f75.08"
"2006","0340","%07.2f75.1",1,1,"December 31, 2006","EDMONTON","835",3,3,1,0,"835%07.2f75.1"
"2006","0340","%07.2f78.00999999999999",1,1,"December 31, 2006","EDMONTON","835",5,9,0.555555555555556,0,"835%07.2f78.00999999999999"
"2006","0340","%07.2f78.00999999999999",2,1,"December 31, 2006","EDMONTON","835",1,1,1,0,"835%07.2f78.00999999999999"
"2006","0340","%07.2f78.1",1,1,"December 31, 2006","EDMONTON","835",7,21,0.333333333333333,0,"835%07.2f78.1"
"2006","0340","%07.2f78.1",2,1,"December 31, 2006","EDMONTON","835",0,1,0,0,"835%07.2f78.1"
"2006","0340","%07.2f78.1",2,3,"December 31, 2006","EDMONTON","835",4,3,1.33333333333333,0,"835%07.2f78.1"
"2006","0340","%07.2f78.11",1,1,"December 31, 2006","EDMONTON","835",7,26,0.269230769230769,0,"835%07.2f78.11"
"2006","0340","%07.2f79.0",1,1,"December 31, 2006","EDMONTON","835",34,66,0.515151515151515,0,"835%07.2f79.0"
"2006","0340","%07.2f79.0",2,1,"December 31, 2006","EDMONTON","835",4,6,0.666666666666667,0,"835%07.2f79.0"
"2006","0340","%07.2f90.19999999999999",2,1,"December 31, 2006","EDMONTON","835",1,1,1,0,"835%07.2f90.19999999999999"
"2006","0340","%07.2f100.0",2,3,"December 31, 2006","EDMONTON","835",2,2,1,0,"835%07.2f100.0"
"2006","0340","%07.2f101.02",2,1,"December 31, 2006","EDMONTON","835",1,1,1,0,"835%07.2f101.02"
"2006","0340","%07.2f103.0",1,1,"December 31, 2006","EDMONTON","835",4,4,1,0,"835%07.2f103.0"
"2006","0340","%07.2f104.02",1,1,"December 31, 2006","EDMONTON","835",2,4,0.5,0,"835%07.2f104.02"
"2006","0340","%07.2f104.03999999999999",1,1,"December 31, 2006","EDMONTON","835",11,31,0.354838709677419,0,"835%07.2f104.03999999999999"
"2006","0340","%07.2f104.05",1,1,"December 31, 2006","EDMONTON","835",25,63,0.396825396825397,0,"835%07.2f104.05"
"2006","0340","%07.2f104.05",2,1,"December 31, 2006","EDMONTON","835",3,3,1,0,"835%07.2f104.05"
"2006","0340","%07.2f104.05",2,3,"December 31, 2006","EDMONTON","835",2,1,2,0,"835%07.2f104.05"
"2006","0340","%07.2f104.05999999999999",1,1,"December 31, 2006","EDMONTON","835",55,125,0.44,0,"835%07.2f104.05999999999999"
"2006","0340","%07.2f104.05999999999999",2,1,"December 31, 2006","EDMONTON","835",24,21,1.14285714285714,0,"835%07.2f104.05999999999999"
"2006","0340","%07.2f104.05999999999999",2,3,"December 31, 2006","EDMONTON","835",2,6,0.333333333333333,0,"835%07.2f104.05999999999999"
"2006","0340","%07.2f104.05999999999999",4,3,"December 31, 2006","EDMONTON","835",2,1,2,0,"835%07.2f104.05999999999999"
"2006","0340","%07.2f104.05999999999999",5,3,"December 31, 2006","EDMONTON","835",5,1,5,0,"835%07.2f104.05999999999999"
"2006","0340","%07.2f104.07",1,1,"December 31, 2006","EDMONTON","835",73,135,0.540740740740741,0,"835%07.2f104.07"
"2006","0340","%07.2f104.07",2,1,"December 31, 2006","EDMONTON","835",19,21,0.904761904761905,0,"835%07.2f104.07"
"2006","0340","%07.2f104.07",2,3,"December 31, 2006","EDMONTON","835",1,7,0.142857142857143,0,"835%07.2f104.07"
"2006","0340","%07.2f104.07",4,3,"December 31, 2006","EDMONTON","835",3,2,1.5,1,"835%07.2f104.07"
"2006","0340","%07.2f105.00999999999999",1,1,"December 31, 2006","EDMONTON","835",1,5,0.2,0,"835%07.2f105.00999999999999"
"2006","0340","%07.2f105.02999999999999",1,1,"December 31, 2006","EDMONTON","835",0,1,0,0,"835%07.2f105.02999999999999"
"2006","0340","%07.2f105.03999999999999",1,1,"December 31, 2006","EDMONTON","835",0,4,0,0,"835%07.2f105.03999999999999"
"2006","0340","%07.2f106.0",1,1,"December 31, 2006","EDMONTON","835",24,48,0.5,0,"835%07.2f106.0"
"2006","0340","%07.2f106.0",2,1,"December 31, 2006","EDMONTON","835",4,3,1.33333333333333,0,"835%07.2f106.0"
"2006","0340","%07.2f106.0",4,3,"December 31, 2006","EDMONTON","835",2,1,2,0,"835%07.2f106.0"
