"","ref_yy","metcode","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","ref_qq","population","starts_per_10kpop"
"164","2006","1060","June 30, 2006","MONTRÉAL",22813,NA,NA,9656,2.36257249378625,0.0917564208782104,0.0084577633914587,4,"3815961.34",59.7831004231295
"165","2006","1490","September 30, 2006","REGINA",986,NA,NA,814,1.21130221130221,0,0.197788697788698,4,"202804.938",48.6181455798675
"166","2007","0580","December 31, 2007","HALIFAX",2489,NA,NA,1333,1.86721680420105,0.00225056264066016,0.213213213213213,4,"389455.75",63.9096996256956
"167","2007","1060","December 31, 2007","MONTRÉAL",23233,NA,NA,10023,2.31796867205428,0.0555721839768532,0.00884227842895332,4,"3853599.75",60.2890842516792
"168","2007","1490","December 31, 2007","REGINA",1398,NA,NA,945,1.47936507936508,0.00317460317460317,0.299428571428571,4,"205574.063",68.004687926025
"169","2008","0580","June 30, 2008","HALIFAX",2096,NA,NA,1282,1.63494539781591,0,0.8265625,4,"393132.594",53.3153453056095
"170","2008","1060","September 30, 2008","MONTRÉAL",21927,NA,NA,8700,2.52034482758621,0.01,0.030972328002031,4,"3901759.78",56.1977190712648
"171","2008","1490","September 30, 2008","REGINA",1375,NA,NA,1021,1.34671890303624,0,0.280641466208477,4,"209950.406",65.4916571106798
"172","2009","0580","December 31, 2009","HALIFAX",1733,NA,NA,970,1.78659793814433,0.00412371134020619,0.752577319587629,4,"397861.56299999997",43.5578643720354
"173","2009","1060","December 31, 2009","MONTRÉAL",19251,NA,NA,7388,2.60571196534922,0.0495397942609637,0.0232656514382403,4,"3948512.59",48.7550680444962
"174","2009","1490","December 31, 2009","REGINA",930,NA,NA,604,1.53973509933775,0,0.465665236051502,4,"213962.90600000002",43.4654780768401
"175","2010","0580","December 31, 2010","HALIFAX",2390,NA,NA,1164,2.053264604811,0.00687285223367698,0.994845360824742,4,"401742",59.4909170562202
"176","2010","1060","December 31, 2010","MONTRÉAL",22001,NA,NA,8166,2.69421993632133,0.196301738917463,0.031013094417643,4,"3989735.5",55.1440064134577
"177","2010","1490","December 31, 2010","REGINA",1347,NA,NA,807,1.66914498141264,0.0359355638166047,0.302180685358255,4,"217910.062",61.8144929902319
"178","2011","0580","December 31, 2011","HALIFAX",2954,NA,NA,1040,2.84038461538462,0.0461538461538462,0.971042471042471,4,"404189.5",73.0845308945433
"179","2011","1060","December 31, 2011","MONTRÉAL",22719,NA,NA,6771,3.35533894550288,0.224929847880668,0.0412989763501588,4,"4027242.69",56.4132875736873
"180","2011","1490","December 31, 2011","REGINA",1694,NA,NA,1059,1.59962228517469,0.0339943342776204,0.385826771653543,4,"224481.656",75.4627362513755
"181","2012","0580","December 31, 2012","HALIFAX",2754,NA,NA,1133,2.43071491615181,0.028243601059135,0.950573698146514,4,"405422.656",67.9291095167607
"182","2012","1060","December 31, 2012","MONTRÉAL",20591,NA,NA,5875,3.50485106382979,0.377531914893617,0.0639138240574506,4,"4062701.25",50.68302770232
"183","2012","1490","December 31, 2012","REGINA",3093,NA,NA,1592,1.9428391959799,0.074748743718593,0.4,4,"230409.375",134.239329454368
"184","2013","0580","December 31, 2013","HALIFAX",2439,NA,NA,790,3.0873417721519,0.00632911392405063,1.51518987341772,4,"406925.656",59.9372382654585
"185","2013","1060","December 31, 2013","MONTRÉAL",15632,NA,NA,4515,3.46223698781838,0.464451827242525,0.189106753812636,4,"4091132.19",38.209471789275
