"","ref_yy","metcode","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount","ref_qq","population","underconstr_per_10kpop"
"84","2008","1265","December 31, 2008","OTTAWA",5565,2282,2.43865030674847,0.00876424189307625,4,"921850",60.3677387861366
"85","2009","0140","December 31, 2009","CALGARY",9190,3411,2.69422456757549,0.0958663148636763,4,"1237706.53",74.2502344235026
"86","2009","0610","December 31, 2009","HAMILTON",2241,758,2.95646437994723,0,4,"736194.875",30.4403097073991
"87","2009","1060","December 31, 2009","MONTRÉAL",12705,3435,3.69868995633188,0.17117903930131,4,"3948512.59",32.1766733938665
"88","2009","1265","December 31, 2009","OTTAWA",5488,2099,2.61457837065269,0.00476417341591234,4,"936513",58.600361126861
"89","2010","0140","December 31, 2010","CALGARY",7199,2932,2.45532060027285,0.0818553888130969,4,"1259794.84",57.1442251660596
"90","2010","0610","December 31, 2010","HAMILTON",2613,1095,2.38630136986301,0.0264840182648402,4,"741260.781",35.2507520561782
"91","2010","1060","December 31, 2010","MONTRÉAL",14779,3411,4.33274699501612,0.299032541776605,4,"3989735.5",37.0425558285756
"92","2010","1265","December 31, 2010","OTTAWA",5173,1620,3.19320987654321,0.0240740740740741,4,"952773",54.2941498132294
"93","2011","0140","December 31, 2011","CALGARY",8691,3240,2.68240740740741,0.0731481481481481,4,"1294993.91",67.1122847210919
"94","2011","0610","December 31, 2011","HAMILTON",2354,943,2.49628844114528,0.0424178154825027,4,"747051.8130000001",31.5105319207625
"95","2011","1060","December 31, 2011","MONTRÉAL",17606,3094,5.69036845507434,0.394957983193277,4,"4027242.69",43.7172560861983
"96","2011","1265","December 31, 2011","OTTAWA",4918,1620,3.0358024691358,0.0407407407407407,4,"966571",50.8808975233066
"97","2012","0140","December 31, 2012","CALGARY",10916,4011,2.72151583146348,0.0755422587883321,4,"1339347.8800000001",81.5023502333091
"98","2012","0610","December 31, 2012","HAMILTON",2176,795,2.73710691823899,0.0415094339622641,4,"751881.0630000001",28.9407475075616
"99","2012","1060","December 31, 2012","MONTRÉAL",19022,2853,6.66736768314055,0.841570276901507,4,"4062701.25",46.8210651718484
"100","2012","1265","December 31, 2012","OTTAWA",5411,1349,4.01111934766494,0.269088213491475,4,"978709",55.2871180299762
"101","2013","0140","December 31, 2013","CALGARY",11866,4440,2.67252252252252,0.0810810810810811,4,"1382962.75",85.8012986973077
"102","2013","0610","December 31, 2013","HAMILTON",2527,801,3.15480649188514,0.048689138576779,4,"756380.1560000001",33.4091260850053
"103","2013","1060","December 31, 2013","MONTRÉAL",16929,2348,7.20996592844974,0.896933560477002,4,"4091132.19",41.3797433419036
"104","2013","1265","December 31, 2013","OTTAWA",6921,1515,4.56831683168317,0.288448844884488,4,"988064",70.0460698902095
"105","2014","0140","December 31, 2014","CALGARY",15335,4736,3.23796452702703,0.174408783783784,4,"1410896.5",108.689758603838
"106","2014","0610","December 31, 2014","HAMILTON",2731,887,3.07891770011274,0.118376550169109,4,"760420.875",35.9143217892328
"107","2014","1060","December 31, 2014","MONTRÉAL",16695,2035,8.2039312039312,1.24226044226044,4,"4106326.0600000005",40.6567811616986
"108","2014","1265","December 31, 2014","OTTAWA",5887,1407,4.18407960199005,0.305614783226724,4,"997494",59.0178988545295
"109","2015","0140","December 31, 2015","CALGARY",13773,3159,4.35992402659069,0.266856600189934,4,"1435513.8099999998",95.9447405107165
"110","2015","0610","December 31, 2015","HAMILTON",2042,699,2.92131616595136,0.137339055793991,4,"767935.969",26.5907586365446
"111","2015","1060","December 31, 2015","MONTRÉAL",20234,1720,11.7639534883721,1.43895348837209,4,"4134516.91",48.9392121025332
"112","2015","1265","December 31, 2015","OTTAWA",4926,1669,2.95146794487717,0.202516476932295,4,"1006491",48.9423154305404
"113","2016","0140","December 31, 2016","CALGARY",9761,2806,3.47861724875267,0.214896650035638,4,"1455343.75",67.0700650619484
"114","2016","0610","December 31, 2016","HAMILTON",3227,776,4.15850515463918,0.182989690721649,4,"776587.125",41.5536119015622
"115","2016","1060","December 31, 2016","MONTRÉAL",19022,1874,10.1504802561366,1.30896478121665,4,"4184841.41",45.4545301395304
"116","2016","1265","December 31, 2016","OTTAWA",5192,1664,3.12019230769231,0.194711538461538,4,"1023678",50.7190737712445
"117","2017","0140","December 31, 2017","CALGARY",10298,3302,3.11871592973955,0.162023016353725,4,"1479844.0599999998",69.5884132548398
"118","2017","0610","December 31, 2017","HAMILTON",3603,700,5.14714285714286,0.28,4,"784019.313",45.9555005885423
"119","2017","1060","December 31, 2017","MONTRÉAL",23440,2204,10.6352087114338,1.34845735027223,4,"4256095.22",55.0739557936864
"120","2017","1265","December 31, 2017","OTTAWA",7351,2056,3.57538910505837,0.22908560311284,4,"1047446.9999999999",70.1801618602182
"121","2018","0140","December 31, 2018","CALGARY",11452,2933,3.90453460620525,0.206273440163655,4,"1510785.75",75.8016151529097
"122","2018","0610","December 31, 2018","HAMILTON",4654,718,6.48189415041783,0.396935933147632,4,"794049.625",58.6109463876392
"123","2018","1060","December 31, 2018","MONTRÉAL",26607,2236,11.899373881932,1.46109123434705,4,"4329120.53",61.4605202502874
