"ref_yy","metcode","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time","reference_period_qq","ref_qq","population","starts_per_10kpop"
"1994","0610","December 31, 1994","HAMILTON",2833,NA,NA,1857,1.5255788906839,0,2.20516962843296,"1994-4","4",636110.572,44.5362822864702
"1994","1265","March 31, 1994",NA,3929,NA,NA,2169,1.81143384047948,0.00829875518672199,0.79253112033195,"1994-4","4",762992.3301,51.4946198670838
"1994","0580","December 31, 1994",NA,2460,NA,NA,1609,1.5288999378496,0.00248601615910503,0.116842759477937,"1994-4","4",347835.397,70.7231069987969
"1995","1700","December 31, 1995","SASKATOON",697,NA,NA,521,1.33781190019194,0.0230326295585413,0.203219315895372,"1995-4","4",228510.699,30.5018540948054
"1995","1265","June 30, 1995",NA,2190,NA,NA,1010,2.16831683168317,0.0178217821782178,0.637623762376238,"1995-4","4",769300.5402,28.4674179408564
"1995","0140","June 30, 1995","CALGARY",5685,NA,NA,4619,1.23078588439056,0,0.271920329075557,"1995-4","4",839716.198,67.7014450065426
"1995","1490","March 31, 1995","REGINA",371,NA,NA,331,1.12084592145015,0,0.271604938271605,"1995-4","4",200658.281,18.4891447365683
"1995","2270","March 31, 1995","TORONTO",16325,NA,NA,7905,2.0651486401012,0.0590765338393422,1.62630373950649,"1995-4","4",4382926.91,37.2467995365225
"1995","2410","March 31, 1995","VANCOUVER",14992,NA,NA,5375,2.78920930232558,0.182511627906977,0.594790697674419,"1995-4","4",1898778.65,78.95601733251
"1995","2440","June 30, 1995","VICTORIA",1299,NA,NA,549,2.36612021857924,0,1.18214936247723,"1995-4","4",316577.318,41.0326301393456
"1995","2680","June 30, 1995","WINNIPEG",1104,NA,NA,850,1.29882352941176,0,0.158823529411765,"1995-4","4",684295.371,16.1333840149563
"1995","0580","June 30, 1995",NA,2080,NA,NA,1333,1.56039009752438,0,0.136192626034612,"1995-4","4",351381.4,59.1949374668096
"1995","1060","June 30, 1995","MONTRÉAL",7468,NA,NA,4696,1.59028960817717,0.0577086882453152,0.395318595578674,"1995-4","4",3499470.29,21.3403726310818
"1995","1400","March 31, 1995","QUÉBEC",2405,NA,NA,1322,1.81921331316188,0,0.26928895612708,"1995-4","4",691391.677,34.784913964187
"1995","0610","December 31, 1995",NA,2001,NA,NA,1196,1.67307692307692,0,1.03595317725753,"1995-4","4",642266.482,31.1552923292672
"1995","0340","March 31, 1995","EDMONTON",3082,NA,NA,2267,1.35950595500662,0,0.439134355275023,"1995-4","4",884326.841,34.8513678100606
"1996","2440","December 31, 1996","VICTORIA",1142,NA,NA,698,1.63610315186246,0,1.10744985673352,"1996-4","4",318620.251,35.8420406868614
"1996","2410","March 31, 1996","VANCOUVER",15453,NA,NA,5949,2.59757942511346,0.157673558581274,0.735922003698101,"1996-4","4",1953821.83,79.0911421027576
"1996","1265","March 31, 1996",NA,3066,NA,NA,1772,1.73024830699774,0.0107223476297968,0.774830699774266,"1996-4","4",772422.8697,39.693283566174
