"","ref_yy","CSDuid","date_pbi","metcode","metro","municipality","inventory","num_structures","unitsperstructure","avgstorycount","ref_qq","population","inventory_per_10kpop"
"105","1988","2466380","December 31, 1988","1060",NA,NA,411,136,3.02205882352941,0.544117647058823,4,"3351700.63",1.22624316838225
"106","1988","2466420","December 31, 1988","1060",NA,NA,69,50,1.38,0.14,4,"3351700.63",0.20586564140724
"107","1988","2466500","December 31, 1988","1060",NA,NA,15,18,0.833333333333333,0,4,"3351700.63",0.0447534003059217
"108","1988","2466600","December 31, 1988","1060",NA,NA,3,3,1,0,4,"3351700.63",0.00895068006118434
"109","1988","2466700","December 31, 1988","1060",NA,NA,74,91,0.813186813186813,0,4,"3351700.63",0.220783441509214
"110","1988","2466780","December 31, 1988","1060",NA,NA,1,1,1,0,4,"3351700.63",0.00298356002039478
"111","1988","2469480","December 31, 1988","1060",NA,NA,8,20,0.4,0,4,"3351700.63",0.0238684801631582
"112","1988","2469540","December 31, 1988","1060",NA,NA,5,4,1.25,0,4,"3351700.63",0.0149178001019739
"113","1988","2469600","December 31, 1988","1060",NA,NA,43,48,0.895833333333333,0.104166666666667,4,"3351700.63",0.128293080876976
"114","1988","2470110","December 31, 1988","1060",NA,NA,1,1,1,0,4,"3351700.63",0.00298356002039478
"115","1988","2470180","December 31, 1988","1060",NA,NA,5,4,1.25,0.75,4,"3351700.63",0.0149178001019739
"116","1988","2470460","December 31, 1988","1060",NA,NA,3,3,1,0,4,"3351700.63",0.00895068006118434
"117","1988","2472150","December 31, 1988","1060",NA,NA,4,4,1,0,4,"3351700.63",0.0119342400815791
"118","1988","2472180","December 31, 1988","1060",NA,NA,4,5,0.8,0,4,"3351700.63",0.0119342400815791
"119","1988","2472230","December 31, 1988","1060",NA,NA,7,5,1.4,0.8,4,"3351700.63",0.0208849201427635
"120","1988","2472260","December 31, 1988","1060",NA,NA,11,22,0.5,0,4,"3351700.63",0.0328191602243426
"121","1988","2472360","December 31, 1988","1060",NA,NA,3,6,0.5,0,4,"3351700.63",0.00895068006118434
"122","1988","2472400","December 31, 1988","1060",NA,NA,17,39,0.435897435897436,0,4,"3351700.63",0.0507205203467113
"123","1988","2473120","December 31, 1988","1060",NA,NA,37,61,0.60655737704918,0,4,"3351700.63",0.110391720754607
"124","1988","2473180","December 31, 1988","1060",NA,NA,15,15,1,0,4,"3351700.63",0.0447534003059217
"125","1988","2473200","December 31, 1988","1060",NA,NA,5,13,0.384615384615385,0,4,"3351700.63",0.0149178001019739
"126","1988","2473240","December 31, 1988","1060",NA,NA,3,7,0.428571428571429,0,4,"3351700.63",0.00895068006118434
"127","1988","2473300","December 31, 1988","1060",NA,NA,5,13,0.384615384615385,0,4,"3351700.63",0.0149178001019739
"128","1988","2473380","December 31, 1988","1060",NA,NA,4,4,1,0,4,"3351700.63",0.0119342400815791
"129","1988","2473580","December 31, 1988","1060",NA,NA,1,1,1,0,4,"3351700.63",0.00298356002039478
"130","1988","2473650","December 31, 1988","1060",NA,NA,13,30,0.433333333333333,0,4,"3351700.63",0.0387862802651322
"131","1988","3503016","December 31, 1988","1265",NA,NA,1,7,0.142857142857143,0,4,"694702.2267506439",0.0143946566096
"132","1988","3503021","December 31, 1988","1265",NA,NA,11,12,0.916666666666667,0,4,"694702.2267506439",0.1583412227056
"133","1988","3506001","December 31, 1988","1265",NA,NA,10,25,0.4,0,4,"694702.2267506439",0.143946566096
"134","1988","3506004","December 31, 1988","1265",NA,NA,30,102,0.294117647058824,0,4,"694702.2267506439",0.431839698288
"135","1988","3506006","December 31, 1988","1265",NA,NA,54,63,0.857142857142857,0,4,"694702.2267506439",0.7773114569184
"136","1988","3506009","December 31, 1988","1265",NA,NA,14,9,1.55555555555556,0.888888888888889,4,"694702.2267506439",0.2015251925344
"137","1988","3506012","December 31, 1988","1265",NA,NA,90,113,0.79646017699115,0.0176991150442478,4,"694702.2267506439",1.295519094864
"138","1988","3506014","December 31, 1988","1265",NA,NA,164,77,2.12987012987013,0.519480519480519,4,"694702.2267506439",2.3607236839744
"139","1988","3506018","December 31, 1988","1265",NA,NA,6,15,0.4,0,4,"694702.2267506439",0.0863679396576
"140","1988","3506027","December 31, 1988","1265",NA,NA,21,51,0.411764705882353,0,4,"694702.2267506439",0.3022877888016
"141","1988","3506030","December 31, 1988","1265","OTTAWA","MISSISSIPPI MILLS T",39,70,0.557142857142857,0,4,"694702.2267506439",0.5613916077744
"142","1988","3506042","December 31, 1988","1265",NA,NA,4,31,0.129032258064516,0,4,"694702.2267506439",0.0575786264384
"143","1988","3518001","December 31, 1988","2270","TORONTO","PICKERING CY",3,165,0.0181818181818182,0,4,"3917164.25",0.0076586014997967
"144","1988","3518005","December 31, 1988","2270","TORONTO","TORONTO C",0,132,0,0,4,"3917164.25",0
"145","1988","3518029","December 31, 1988","2270","TORONTO","UXBRIDGE TP",10,9,1.11111111111111,0,4,"3917164.25",0.025528671665989
"146","1988","3519028","December 31, 1988","2270","TORONTO","VAUGHAN CY",95,303,0.313531353135314,0.0594059405940594,4,"3917164.25",0.242522380826895
"147","1988","3519036","December 31, 1988","2270","TORONTO","MARKHAM CY",81,47,1.72340425531915,0,4,"3917164.25",0.206782240494511
"148","1988","3519038","December 31, 1988","2270","TORONTO","RICHMOND HILL T",79,272,0.290441176470588,0,4,"3917164.25",0.201676506161313
"149","1988","3519044","December 31, 1988","2270","TORONTO","WHITCHURCH-STOUFFVILLE T",1,2,0.5,0,4,"3917164.25",0.0025528671665989
"150","1988","3519046","December 31, 1988","2270","TORONTO","AURORA T",14,30,0.466666666666667,0,4,"3917164.25",0.0357401403323846
"151","1988","3519048","December 31, 1988","2270","TORONTO","NEWMARKET T",1,13,0.0769230769230769,0,4,"3917164.25",0.0025528671665989
"152","1988","3519049","December 31, 1988","2270","TORONTO","KING TP",2,4,0.5,0,4,"3917164.25",0.0051057343331978
"153","1988","3519054","December 31, 1988","2270","TORONTO","EAST GWILLIMBURY T",2,13,0.153846153846154,0,4,"3917164.25",0.0051057343331978
"154","1988","3519070","December 31, 1988","2270","TORONTO","GEORGINA T",5,130,0.0384615384615385,0,4,"3917164.25",0.0127643358329945
