"ref_yy","CSDuid","date_pbi","metcode","metro","municipality","total_completions","completions_no_accsuite","completions_accsuite","num_structures","unitsperstructure","avgstorycount","avglengthofconstr","reference_period_qq","ref_qq","population","comp_per_10kpop"
"1988","4613032","September 30, 1988","2680","WINNIPEG","EAST ST. PAUL RM",81,NA,NA,81,1,0,5.77027027027027,"1988-4","4",665928.947,1.21634598353028
"1988","2473580","December 31, 1988","1060",NA,NA,8,NA,NA,8,1,0,10.25,"1988-4","4",3351700.63,0.0238684801631582
"1988","2472260","September 30, 1988","1060",NA,NA,168,NA,NA,152,1.10526315789474,0,4.36111111111111,"1988-4","4",3351700.63,0.501238083426323
"1988","3519036","September 30, 1988","2270","TORONTO","MARKHAM CY",1385,NA,NA,1103,1.25566636446056,0.0108794197642792,9.20695970695971,"1988-4","4",3917164.25,3.53572102573947
"1988","4612047","December 31, 1988","2680","WINNIPEG","SPRINGFIELD RM",69,NA,NA,69,1,0,5.51785714285714,"1988-4","4",665928.947,1.03614657856283
"1988","5911025","September 30, 1988","2410","VANCOUVER","BURNABY CY",309,NA,NA,114,2.71052631578947,0.105263157894737,4.28571428571429,"1988-4","4",1562206,1.97797217524449
"1988","2466600","September 30, 1988","1060",NA,NA,72,NA,NA,26,2.76923076923077,0.115384615384615,6.21428571428571,"1988-4","4",3351700.63,0.214816321468424
"1988","3519054","September 30, 1988","2270","TORONTO","EAST GWILLIMBURY T",151,NA,NA,151,1,0,6.05405405405405,"1988-4","4",3917164.25,0.385482942156434
"1988","4811046","June 30, 1988","0340","EDMONTON","SPRING LAKE VL",1,NA,NA,1,1,0,4,"1988-4","4",821466.779,0.0121733468177171
"1988","5915051","September 30, 1988","2410","VANCOUVER","NORTH VANCOUVER CY",110,NA,NA,63,1.74603174603175,0,5.36666666666667,"1988-4","4",1562206,0.704132489569237
"1988","2456280","December 31, 1988","1060",NA,NA,59,NA,NA,44,1.34090909090909,0.0681818181818182,10.6666666666667,"1988-4","4",3351700.63,0.176030041203292
"1988","2473500","December 31, 1988","1060",NA,NA,7,NA,NA,2,3.5,0,6,"1988-4","4",3351700.63,0.0208849201427635
"1988","2420230","September 30, 1988","1400",NA,NA,1583,NA,NA,437,3.62242562929062,0,5.99180327868852,"1988-4","4",646773.443,24.4753401230792
"1988","2421220","June 30, 1988","1400",NA,NA,88,NA,NA,74,1.18918918918919,0,5.61538461538461,"1988-4","4",646773.443,1.36060008264749
"1988","2421600","June 30, 1988","1400",NA,NA,82,NA,NA,29,2.82758620689655,0,5.46666666666667,"1988-4","4",646773.443,1.26783189519425
"1988","2452440","December 31, 1988","1060",NA,NA,15,NA,NA,11,1.36363636363636,0.181818181818182,3.33333333333333,"1988-4","4",3351700.63,0.0447534003059217
