"","ref_yy","metcode","gcd_ct_centroid_fsa","dweltype","mkttycd","date_pbi","metro","inventory","num_structures","unitsperstructure","avgstorycount"
"405","2006","1400","G2E",5,3,"December 31, 2006","QUÉBEC",2,2,1,3
"406","2006","1400","G2G",1,1,"December 31, 2006","QUÉBEC",4,8,0.5,0
"407","2006","1400","G2J",1,1,"December 31, 2006","QUÉBEC",1,2,0.5,0
"408","2006","1400","G2J",5,3,"December 31, 2006","QUÉBEC",13,3,4.33333333333333,3.33333333333333
"409","2006","1400","G2K",1,1,"December 31, 2006","QUÉBEC",0,11,0,0
"410","2006","1400","G2K",2,1,"December 31, 2006","QUÉBEC",0,1,0,0
"411","2006","1400","G2L",5,3,"December 31, 2006","QUÉBEC",3,1,3,3
"412","2006","1400","G2N",1,1,"December 31, 2006","QUÉBEC",0,1,0,0
"413","2006","1400","G3A",1,1,"December 31, 2006","QUÉBEC",1,20,0.05,0
"414","2006","1400","G3A",5,3,"December 31, 2006","QUÉBEC",1,1,1,3
"415","2006","1400","G3B",1,1,"December 31, 2006","QUÉBEC",0,6,0,0
"416","2006","1400","G3E",1,1,"December 31, 2006","QUÉBEC",4,16,0.25,0
"417","2006","1400","G3G",1,1,"December 31, 2006","QUÉBEC",0,2,0,0
"418","2006","1400","G3J",1,1,"December 31, 2006","QUÉBEC",1,3,0.333333333333333,0
"419","2006","1400","G3K",1,1,"December 31, 2006","QUÉBEC",2,11,0.181818181818182,0
"420","2006","1400","G3K",2,1,"December 31, 2006","QUÉBEC",2,1,2,0
"421","2006","1400","G3K",5,3,"December 31, 2006","QUÉBEC",4,1,4,0
"422","2006","1400","G6C",1,1,"December 31, 2006","QUÉBEC",0,2,0,0
"423","2006","1400","G6K",1,1,"December 31, 2006","QUÉBEC",2,8,0.25,0
"424","2006","1400","G6K",2,1,"December 31, 2006","QUÉBEC",1,1,1,0
"425","2006","1400","G6K",4,1,"December 31, 2006","QUÉBEC",2,1,2,2
"426","2006","1400","G6V",1,1,"December 31, 2006","QUÉBEC",2,3,0.666666666666667,0
"427","2006","1400","G6V",2,1,"December 31, 2006","QUÉBEC",2,1,2,0
"428","2006","1400","G6V",4,1,"December 31, 2006","QUÉBEC",2,1,2,1
"429","2006","1400","G6V",5,3,"December 31, 2006","QUÉBEC",3,1,3,0
"430","2006","1400","G6W",1,1,"December 31, 2006","QUÉBEC",1,1,1,0
"431","2006","1400","G6W",2,1,"December 31, 2006","QUÉBEC",2,2,1,0
"432","2006","1400","G6W",4,1,"December 31, 2006","QUÉBEC",2,1,2,2
"433","2006","1400","G6W",5,1,"December 31, 2006","QUÉBEC",1,1,1,1
"434","2006","1400","G6W",5,3,"December 31, 2006","QUÉBEC",24,6,4,3
