"","ref_yy","CSDuid","date_pbi","metcode","metro","municipality","underconstr","num_structures","unitsperstructure","avgstorycount","ref_qq","population","underconstr_per_10kpop"
"149","1988","3506014","December 31, 1988","1265",NA,NA,1697,169,10.0414201183432,0,4,"694702.2267506439",24.4277322664912
"150","1988","3506018","December 31, 1988","1265",NA,NA,45,45,1,0,4,"694702.2267506439",0.647759547432
"151","1988","3506027","December 31, 1988","1265",NA,NA,109,67,1.62686567164179,0,4,"694702.2267506439",1.5690175704464
"152","1988","3506030","December 31, 1988","1265","OTTAWA","MISSISSIPPI MILLS T",288,237,1.21518987341772,0,4,"694702.2267506439",4.1456611035648
"153","1988","3506042","December 31, 1988","1265",NA,NA,81,81,1,0,4,"694702.2267506439",1.1659671853776
"154","1988","3518001","December 31, 1988","2270","TORONTO","PICKERING CY",1779,940,1.89255319148936,0,4,"3917164.25",4.54155068937944
"155","1988","3518005","December 31, 1988","2270","TORONTO","AJAX T",567,351,1.61538461538462,0,4,"3917164.25",1.44747568346158
"156","1988","3518029","December 31, 1988","2270","TORONTO","UXBRIDGE TP",161,81,1.98765432098765,0,4,"3917164.25",0.411011613822423
"157","1988","3519028","December 31, 1988","2270","TORONTO","VAUGHAN CY",1460,1158,1.26079447322971,0,4,"3917164.25",3.72718606323439
"158","1988","3519036","December 31, 1988","2270","TORONTO","MARKHAM CY",1343,1243,1.0804505229284,0,4,"3917164.25",3.42850060474232
"159","1988","3519038","December 31, 1988","2270","TORONTO","RICHMOND HILL T",2542,988,2.57287449392713,0,4,"3917164.25",6.4893883374944
"160","1988","3519044","December 31, 1988","2270","TORONTO","WHITCHURCH-STOUFFVILLE T",54,54,1,0,4,"3917164.25",0.137854826996341
"161","1988","3519046","December 31, 1988","2270","TORONTO","AURORA T",400,153,2.61437908496732,0,4,"3917164.25",1.02114686663956
"162","1988","3519048","December 31, 1988","2270","TORONTO","NEWMARKET T",333,208,1.60096153846154,0,4,"3917164.25",0.850104766477433
"163","1988","3519049","December 31, 1988","2270","TORONTO","KING TP",132,132,1,0,4,"3917164.25",0.336978465991055
"164","1988","3519054","December 31, 1988","2270","TORONTO","EAST GWILLIMBURY T",106,106,1,0,4,"3917164.25",0.270603919659483
"165","1988","3519070","December 31, 1988","2270","TORONTO","GEORGINA T",496,339,1.46312684365782,0,4,"3917164.25",1.26622211463305
"166","1988","3520001","December 31, 1988","2270","TORONTO","PICKERING CY",4276,757,5.64861294583884,0,4,"3917164.25",10.9160600043769
"167","1988","3520004","December 31, 1988","2270",NA,NA,6374,153,41.6601307189542,0,4,"3917164.25",16.2719753199014
"168","1988","3520006","December 31, 1988","2270",NA,NA,60,25,2.4,0,4,"3917164.25",0.153172029995934
"169","1988","3520008","December 31, 1988","2270",NA,NA,3846,401,9.59102244389027,0.0349127182044888,4,"3917164.25",9.81832712273936
"170","1988","3520014","December 31, 1988","2270","TORONTO","BRADFORD WEST GWILLIMBURY T",368,27,13.6296296296296,0,4,"3917164.25",0.939455117308395
"171","1988","3520019","December 31, 1988","2270",NA,NA,2462,245,10.0489795918367,0,4,"3917164.25",6.28515896416649
"172","1988","3521005","December 31, 1988","2270","TORONTO","AJAX T",6990,2071,3.37518107194592,0.0458715596330275,4,"3917164.25",17.8445414945263
"173","1988","3521010","December 31, 1988","2270","TORONTO","BRAMPTON CY",2788,1434,1.9442119944212,0,4,"3917164.25",7.11739366047773
"174","1988","3521024","December 31, 1988","2270","TORONTO","CALEDON T",203,203,1,0,4,"3917164.25",0.518232034819576
"175","1988","3522014","December 31, 1988","2270","TORONTO","BRADFORD WEST GWILLIMBURY T",246,178,1.38202247191011,0,4,"3917164.25",0.628005322983329
"176","1988","3524001","December 31, 1988","2270","TORONTO","PICKERING CY",1234,671,1.83904619970194,0,4,"3917164.25",3.15023808358304
"177","1988","3524002","December 31, 1988","0610","HAMILTON","BURLINGTON CY",1067,355,3.0056338028169,0,4,"607581.042",17.5614432683369
"178","1988","3524009","December 31, 1988","2270","TORONTO","MILTON T",77,70,1.1,0,4,"3917164.25",0.196570771828115
"179","1988","3524015","December 31, 1988","2270","TORONTO","HALTON HILLS T",211,54,3.90740740740741,0,4,"3917164.25",0.538654972152368
"180","1988","3525003","December 31, 1988","0610",NA,NA,492,215,2.28837209302326,0,4,"607581.042",8.09768518090135
"181","1988","3525009","December 31, 1988","0610",NA,NA,10,10,1,0,4,"607581.042",0.164587097172792
"182","1988","3525014","December 31, 1988","0610",NA,NA,91,91,1,0,4,"607581.042",1.4977425842724
"183","1988","3525018","December 31, 1988","0610",NA,NA,452,180,2.51111111111111,0,4,"607581.042",7.43933679221018
"184","1988","3525026","December 31, 1988","0610",NA,NA,52,52,1,0,4,"607581.042",0.855852905298517
"185","1988","3525030","December 31, 1988","0610",NA,NA,149,149,1,0,4,"607581.042",2.4523477478746
"186","1988","3526065","December 31, 1988","0610","HAMILTON","GRIMSBY T",103,68,1.51470588235294,0,4,"607581.042",1.69524710087975
"187","1988","3543004","December 31, 1988","2270",NA,NA,35,35,1,0,4,"3917164.25",0.0893503508309614
"188","1988","3543006","December 31, 1988","2270",NA,NA,40,40,1,0,4,"3917164.25",0.102114686663956
"189","1988","3543011","December 31, 1988","2270",NA,NA,21,21,1,0,4,"3917164.25",0.0536102104985769
"190","1988","3543012","December 31, 1988","2270","TORONTO","MONO T",62,61,1.01639344262295,0,4,"3917164.25",0.158277764329132
"191","1988","4602069","December 31, 1988","2680","WINNIPEG","TACHÉ RM",26,25,1.04,0,4,"665928.947",0.39043204409614
"192","1988","4602075","December 31, 1988","2680","WINNIPEG","RITCHOT RM",21,18,1.16666666666667,0,4,"665928.947",0.315348958693036
"193","1988","4610052","December 31, 1988","2680","WINNIPEG","ST. FRANÇOIS XAVIER RM",2,2,1,0,4,"665928.947",0.0300332341612415
"194","1988","4611040","December 31, 1988","2680","WINNIPEG","WINNIPEG CY",3560,1003,3.5493519441675,0.0817547357926221,4,"665928.947",53.4591568070099
"195","1988","4612047","December 31, 1988","2680","WINNIPEG","SPRINGFIELD RM",40,40,1,0,4,"665928.947",0.60066468322483
"196","1988","4613032","December 31, 1988","2680","WINNIPEG","EAST ST. PAUL RM",25,25,1,0,4,"665928.947",0.375415427015519
"197","1988","4613037","December 31, 1988","2680","WINNIPEG","WEST ST. PAUL RM",21,21,1,0,4,"665928.947",0.315348958693036
"198","1988","4614015","December 31, 1988","2680","WINNIPEG","ROSSER RM",2,2,1,0,4,"665928.947",0.0300332341612415
