year,Alberta,British Columbia,Canada,Manitoba,New Brunswick,Newfoundland,Nova Scotia,Ontario,PEI,Quebec,Saskatchewan
2013,1527624.53881,1867701.199951,14054195.461878,488661.20102599997,320360.75886500004,215787.312157,403017.444509,5171374.6049150005,58669.758114000004,3516189.7829340002,437483.263442
2014,1570209.3078110002,1907404.573979,14246985.249628,495108.888049,322452.75848200003,217305.07761,404247.919032,5234561.123794001,59027.871953,3543192.0560740004,443418.16401400004
2015,1595378.930527,1943786.52417,14402662.425206,500834.382214,324016.34401400003,218396.68274000002,405062.975058,5291030.648518,59376.634599000005,3564224.1002450003,447178.43543300004
2016,1575693.043656,1963793.101984,14458199.363789001,499602.035877,327026.165171,222259.691753,410152.908742,5322340.514638,61087.316229000004,3581432.272696,446622.802993
2017,1597724.151998,1995943.062626,14663440.654296001,507861.12271900004,329369.66604000004,222616.277649,414276.298298,5407169.375708,62467.27503900001,3621283.519431,452702.404462
2018,1624247.066715,2031310.078598,14893749.034804001,515096.102404,331860.68719100003,222578.598172,418907.096518,5503493.022587,63675.911120000004,3668409.382073,457607.68203200004
2019,1654505.4073690001,2070721.2156220002,15143641.802792,522697.904278,335379.61210800003,222720.806928,424795.792754,5607756.254558001,65217.44857100001,3716306.051958,462607.32437
2020,1683125.9794669999,2106024.442551,15368692.26858,528491.920383,338846.714339,222923.697291,431014.76731100003,5705568.095023001,66791.903581,3753830.506353,466386.151184
2021,1700477.423548,2142190.321365,15539028.382865,532204.9110900001,342680.486004,223777.439749,437583.810906,5773717.123289,68271.95457500001,3780437.652667,468251.519593
2022,1749489.413941178,2156552.88215788,15741884.64787775,540580.99116775,341629.19583727705,223998.663231495,435439.02923067304,5870025.79701496,68302.925885584,3806758.305326948,476270.285369675
2023,1789817.831978696,2190484.855979315,15975389.582265485,549089.771424033,344049.472356624,224442.071958535,438817.32753867604,5971827.311656986,69595.291464659,3836589.606903478,483763.36141616
2024,1831160.0973166241,2224542.188309653,16209820.106033789,557826.588092875,346413.47911565803,224831.39765498,442126.540343842,6074162.452941531,70895.281112643,3865309.927634877,491501.74455031
2025,1872904.752017298,2258409.725897253,16444548.588186244,566602.4554239961,348697.696921713,225149.609566581,445343.29979145003,6177360.0506256195,72173.409868324,3893645.814051412,499269.55882722803
2026,1914855.1182665199,2291766.262608209,16675425.412739942,575240.46783439,350820.652451576,225357.315148828,448367.262161594,6278808.019193917,73407.976224954,3921047.569319595,507036.145963356
2027,1956857.764993857,2324279.498599978,16900465.02905301,583694.038530359,352852.231768562,225439.086282771,451186.91184537805,6377388.83819555,74606.019276013,3947158.885010955,514755.094952016
2028,1999359.464584137,2356778.526219353,17124071.9065219,592130.900558855,354846.632422794,225462.329336701,453948.63278910704,6475285.440269206,75784.533846371,3972260.654878634,522620.42422522005
2029,2042263.868271492,2388960.68671199,17346584.778511897,600633.002644022,356738.014950694,225420.207032363,456624.45642677404,6572911.218288504,76961.93629907901,3996725.947899097,530587.570744889
2030,2085134.30886556,2420495.309371607,17566081.73144617,609055.927780812,358502.9665276,225288.521751216,459197.349993331,6669827.377844019,78126.656289007,4020190.25353493,538504.8138531101
2031,2127791.882412821,2451126.208379589,17780614.85826021,617323.394004115,360132.296592217,225017.040986788,461515.25829945004,6764557.145611649,79245.245598384,4042914.177027209,546381.7344309951
2032,2170522.374410016,2481020.686302866,17990722.906222332,625475.410370218,361659.13779559603,224608.14270570298,463665.592927282,6857180.9617046155,80346.377389306,4064577.267236481,554179.909074196
2033,2213495.414051852,2510593.043113177,18198562.67901802,633619.18044919,363092.34848196903,224122.892497498,465681.02151009504,6948779.12956661,81404.66590586901,4085519.39556312,562053.2735361491
2034,2256514.807699993,2539444.551760596,18402951.721757635,641713.974256313,364419.486297742,223581.386920679,467523.238052838,7038945.15548364,82451.300991579,4105756.005362662,569910.047832379
2035,2299357.791681279,2567389.4144713487,18602649.58209834,649643.244801688,365616.99225081503,222932.198460746,469271.59378038405,7127547.247685572,83468.80184677601,4124804.436013426,577642.346458259
2036,2341813.09416429,2594160.6815187368,18795904.400759276,657330.7905203,366620.03960290103,222181.65621459798,470833.35593379,7213653.250571413,84442.57137734501,4142483.231365362,585257.375950009
2037,2383751.081265157,2620004.018036852,18983266.32450699,664847.7124532891,367463.577889512,221303.47917294598,472176.290837478,7297644.908330812,85392.11774113702,4158754.342878029,592684.462788983
2038,2425187.880986407,2644964.733635854,19165230.53600432,672295.242546364,368136.295174943,220303.246805456,473304.619168841,7379698.198945335,86278.58888572901,4173748.066565389,599982.219029143
2039,2466182.863391208,2668860.132092754,19341307.70487633,679513.3241359771,368679.877020262,219247.128123948,474224.332809311,7459367.465913259,87156.24988074001,4187642.6101691113,607057.282435252
2040,2506830.4436842813,2691804.618395442,19512698.612320155,686545.6086108551,369114.062938919,218103.371046916,475047.54002593603,7537216.72599654,88005.53127066801,4200584.062302094,613934.866096663
2041,2547473.012720023,2713932.325291471,19680551.827669222,693372.2718661911,369487.233702075,216900.145131733,475770.93089167605,7613161.6612893585,88837.221641148,4213236.948457739,620706.870037789
2042,2587268.59137024,2734995.7282285993,19842091.210176103,699973.008732163,369741.74178193003,215609.831206576,476285.89019276603,7686829.536336888,89641.548624988,4224522.237242005,627226.922835715
2043,2626314.48715164,2755041.544620917,19997855.272193454,706429.829379317,369870.409782446,214223.554435962,476631.811880943,7758344.019978694,90400.82185507001,4234732.093364955,633551.821608848
