"ref_yy","CSDuid","metcode","metro","municipality","total_structures","share_three_or_fewer_stories","share_four_to_six_stories","share_seven_to_twenty_stories","share_twentyone_to_thirty_stories","share_greater_than_thirty_stories","avg_number_of_stories"
"1996","2459005","1060","MONTRÉAL","LAVAL V",9,100,0,0,0,0,0.222222222222222
"1996","2474005","1060","MONTRÉAL","LAVAL V",NA,NA,NA,NA,NA,NA,NA
"2003","3524001","2270","TORONTO","PICKERING CY",3,100,0,0,0,0,0
"2007","2465005","1060","MONTRÉAL","LAVAL V",45,97.777777777778,0,2.222222222222,0,0,1.46666666666667
"2008","2467045","1060","MONTRÉAL","SAINT-MATHIEU-DE-BELOEIL MÉ",1,100,0,0,0,0,0
"2010","5915001","2410","VANCOUVER","LANGLEY DM",NA,NA,NA,NA,NA,NA,NA
"2012","5915004","2410","VANCOUVER","SURREY CY",1,0,100,0,0,0,5
"2014","2473010","1060","MONTRÉAL","SAINTE-JULIE V",2,100,0,0,0,0,0
"2016","4811048","0340","EDMONTON","STONY PLAIN T",NA,NA,NA,NA,NA,NA,NA
"2017","2472032","1060","MONTRÉAL","WESTMOUNT V",NA,NA,NA,NA,NA,NA,NA
"2017","5915034","2410","VANCOUVER","COQUITLAM CY",6,0,33.333333333333,0,50,16.666666666667,21.5
"2018","2459010","1060","MONTRÉAL","SAINTE-JULIE V",1,0,100,0,0,0,6
"2021","4811016","0340","EDMONTON","LEDUC CY",NA,NA,NA,NA,NA,NA,NA
"1990","2465580","1060",NA,NA,2,100,0,0,0,0,0
"1991","2452440","1060",NA,NA,2,100,0,0,0,0,1
"1991","2456450","1060",NA,NA,2,100,0,0,0,0,3
"1998","3520005","2270","TORONTO","TORONTO C",20,85,0,15,0,0,2
"1999","2466150","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2008","3524001","2270","TORONTO","PICKERING CY",1,100,0,0,0,0,0
"2011","2470022","1060","MONTRÉAL","BEAUHARNOIS V",3,100,0,0,0,0,0
"2015","2452007","1060","MONTRÉAL","BROSSARD V",NA,NA,NA,NA,NA,NA,NA
"2018","2467040","1060","MONTRÉAL","BELOEIL V",1,100,0,0,0,0,2
"2020","2457045","1060","MONTRÉAL","SAINT-MATHIEU-DE-BELOEIL MÉ",NA,NA,NA,NA,NA,NA,NA
"2020","4811049","0340","EDMONTON","SPRUCE GROVE CY",NA,NA,NA,NA,NA,NA,NA
"2021","5915004","2410","VANCOUVER","SURREY CY",14,7.142857142857,35.714285714286,28.571428571429,7.142857142857,21.428571428571,15.6428571428571
"1990","2456120","1060",NA,NA,10,100,0,0,0,0,1.7
"1991","2463150","1060",NA,NA,7,100,0,0,0,0,0
"1991","2472150","1060",NA,NA,2,100,0,0,0,0,0
"2001","2467030","1060","MONTRÉAL","BOIS-DES-FILION V",2,100,0,0,0,0,0
"2006","5915043","2410","VANCOUVER","PORT MOODY CY",4,0,100,0,0,0,4
"2015","2467030","1060","MONTRÉAL","BOIS-DES-FILION V",1,100,0,0,0,0,2
"2017","2459020","1060","MONTRÉAL","POINTE-CALUMET MÉ",NA,NA,NA,NA,NA,NA,NA
"2018","2460035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",NA,NA,NA,NA,NA,NA,NA
"2019","2471065","1060","MONTRÉAL","NOTRE-DAME-DE-L'ÎLE-PERROT V",NA,NA,NA,NA,NA,NA,NA
"1989","2465740","1060",NA,NA,1,100,0,0,0,0,0
"1990","2456450","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990","2473120","1060",NA,NA,8,100,0,0,0,0,0
"1990","5915004","2410","VANCOUVER","SURREY CY",11,90.909090909091,0,9.090909090909,0,0,2.18181818181818
"1990","5915055","2410","VANCOUVER","WEST VANCOUVER DM",1,0,0,100,0,0,11
"1994","2455065","1060","MONTRÉAL","NOTRE-DAME-DE-L'ÎLE-PERROT V",1,100,0,0,0,0,2
"2001","2458020","1060","MONTRÉAL","POINTE-CALUMET MÉ",9,100,0,0,0,0,0
"2006","2472005","1060","MONTRÉAL","LAVAL V",6,100,0,0,0,0,1.33333333333333
"2007","2457040","1060","MONTRÉAL","BELOEIL V",NA,NA,NA,NA,NA,NA,NA
"2007","2459015","1060","MONTRÉAL","BLAINVILLE V",NA,NA,NA,NA,NA,NA,NA
"2008","5915025","2410","VANCOUVER","BURNABY CY",5,0,40,20,40,0,14.6
"2009","2464008","1060","MONTRÉAL","TERREBONNE V",10,100,0,0,0,0,0
"2011","2466072","1060","MONTRÉAL","MONT-ROYAL V",1,100,0,0,0,0,0
"2011","4806016","0140","CALGARY","CALGARY CY",13,92.307692307692,7.692307692308,0,0,0,0.692307692307692
"2014","2471040","1060","MONTRÉAL","BELOEIL V",1,100,0,0,0,0,3
"2021","2475017","1060","MONTRÉAL","SAINT-JÉRÔME V",5,80,0,20,0,0,3.6
"1989","2462240","1060",NA,NA,7,100,0,0,0,0,0
"1989","3521010","2270","TORONTO","BRAMPTON CY",3,100,0,0,0,0,0
"1991","3520014","2270","TORONTO","BRADFORD WEST GWILLIMBURY T",1,100,0,0,0,0,0
"1992","2462510","1060",NA,NA,3,100,0,0,0,0,0
"1999","2458020","1060","MONTRÉAL","POINTE-CALUMET MÉ",10,100,0,0,0,0,0
"2001","2475035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,100,0,0,0,0,0
"2007","5915022","2410","VANCOUVER","VANCOUVER CY",17,23.529411764706,17.647058823529,47.058823529412,5.882352941176,5.882352941176,9.88235294117647
"2009","2475017","1060","MONTRÉAL","SAINT-JÉRÔME V",15,100,0,0,0,0,0
"2010","2466142","1060","MONTRÉAL","DOLLARD-DES ORMEAUX V",4,100,0,0,0,0,1.5
"2010","5915004","2410","VANCOUVER","SURREY CY",2,0,100,0,0,0,4
"2011","2466097","1060","MONTRÉAL","POINTE-CLAIRE V",1,100,0,0,0,0,0
"2013","2460020","1060","MONTRÉAL","POINTE-CALUMET MÉ",1,100,0,0,0,0,3
"2013","3519036","2270","TORONTO","MARKHAM CY",1,0,0,100,0,0,11
"2014","5915055","2410","VANCOUVER","WEST VANCOUVER DM",1,0,100,0,0,0,6
"2015","2457045","1060","MONTRÉAL","SAINT-MATHIEU-DE-BELOEIL MÉ",1,100,0,0,0,0,3
"2016","2472010","1060","MONTRÉAL","SAINTE-JULIE V",2,0,0,100,0,0,8
"2017","2466097","1060","MONTRÉAL","POINTE-CLAIRE V",1,0,100,0,0,0,6
"2022","2466097","1060","MONTRÉAL","POINTE-CLAIRE V",1,0,0,100,0,0,8
"2022","5915004","2410","VANCOUVER","SURREY CY",6,0,83.333333333333,16.666666666667,0,0,7.66666666666667
"1988","3520001","2270","TORONTO","PICKERING CY",1,100,0,0,0,0,0
"1989","2465540","1060",NA,NA,1,100,0,0,0,0,0
"1990","2465700","1060",NA,NA,17,100,0,0,0,0,0
"1999","5915034","2410","VANCOUVER","COQUITLAM CY",1,0,100,0,0,0,4
"2002","5915007","2410","VANCOUVER","WHITE ROCK CY",NA,NA,NA,NA,NA,NA,NA
"2004","2458227","1060","MONTRÉAL","LONGUEUIL V",44,100,0,0,0,0,0
"2008","2473005","1060","MONTRÉAL","LAVAL V",9,100,0,0,0,0,0
"2010","2467045","1060","MONTRÉAL","SAINT-MATHIEU-DE-BELOEIL MÉ",7,100,0,0,0,0,1.71428571428571
"2010","3520005","2270","TORONTO","TORONTO C",37,62.162162162162,5.405405405405,21.621621621622,2.702702702703,8.108108108108,7.24324324324324
"2011","5915022","2410","VANCOUVER","VANCOUVER CY",12,33.333333333333,0,58.333333333333,0,8.333333333333,9.83333333333333
"2012","2466142","1060","MONTRÉAL","DOLLARD-DES ORMEAUX V",2,100,0,0,0,0,0
"2019","5915002","2410","VANCOUVER","LANGLEY CY",3,0,100,0,0,0,4.66666666666667
"2021","2471070","1060","MONTRÉAL","PINCOURT V",NA,NA,NA,NA,NA,NA,NA
"1995","2467020","1060","MONTRÉAL","POINTE-CALUMET MÉ",4,100,0,0,0,0,3
"1998","2466085","1060",NA,NA,1,100,0,0,0,0,0
"1998","2473005","1060","MONTRÉAL","LAVAL V",1,100,0,0,0,0,0
"1998","3506014","1265",NA,NA,1,100,0,0,0,0,0
"2001","5915025","2410","VANCOUVER","BURNABY CY",4,25,0,0,75,0,16.75
"2002","2465005","1060","MONTRÉAL","LAVAL V",57,100,0,0,0,0,0
"2003","2473030","1060","MONTRÉAL","BOIS-DES-FILION V",1,100,0,0,0,0,0
"2005","3521010","2270","TORONTO","BRAMPTON CY",1,100,0,0,0,0,0
"2008","2466058","1060","MONTRÉAL","CÔTE-SAINT-LUC V",3,100,0,0,0,0,0
"2009","2471060","1060","MONTRÉAL","L'ÎLE-PERROT V",NA,NA,NA,NA,NA,NA,NA
"2010","2467020","1060","MONTRÉAL","POINTE-CALUMET MÉ",NA,NA,NA,NA,NA,NA,NA
"2011","3521010","2270","TORONTO","BRAMPTON CY",1,100,0,0,0,0,0
"2014","2465005","1060","MONTRÉAL","LAVAL V",15,73.333333333333,26.666666666667,0,0,0,2.06666666666667
"2016","2473020","1060","MONTRÉAL","POINTE-CALUMET MÉ",2,100,0,0,0,0,2
"2016","5915001","2410","VANCOUVER","LANGLEY DM",1,0,100,0,0,0,4
"2020","2466023","1060","MONTRÉAL","MONTRÉAL V",55,45.454545454545,21.818181818182,23.636363636364,3.636363636364,5.454545454545,8.10909090909091
"2022","2457040","1060","MONTRÉAL","BELOEIL V",NA,NA,NA,NA,NA,NA,NA
"1990","3506027","1265",NA,NA,2,100,0,0,0,0,0
"1990","3521005","2270","TORONTO","TORONTO C",4,25,0,50,25,0,12.25
"1994","5915015","2410","VANCOUVER","RICHMOND CY",4,50,0,50,0,0,7
"1995","2458030","1060","MONTRÉAL","BOIS-DES-FILION V",NA,NA,NA,NA,NA,NA,NA
"1995","2466035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",9,100,0,0,0,0,2.11111111111111
"1995","2471060","1060","MONTRÉAL","L'ÎLE-PERROT V",1,100,0,0,0,0,0
"2002","3502048","1265","OTTAWA","RUSSELL TP",NA,NA,NA,NA,NA,NA,NA
"2006","3521005","2270","TORONTO","TORONTO C",24,100,0,0,0,0,0
"2006","5915029","2410","VANCOUVER","NEW WESTMINSTER CY",2,0,0,50,50,0,18.5
"2009","5915051","2410","VANCOUVER","NORTH VANCOUVER CY",NA,NA,NA,NA,NA,NA,NA
"2010","4806021","0140","CALGARY","AIRDRIE CY",1,100,0,0,0,0,0
"2011","4811061","0340","EDMONTON","EDMONTON CY",7,85.714285714286,14.285714285714,0,0,0,0.571428571428571
"2016","4806016","0140","CALGARY","CALGARY CY",33,48.484848484848,45.454545454545,6.060606060606,0,0,3.81818181818182
"2017","2472025","1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",3,100,0,0,0,0,3
"2017","5915025","2410","VANCOUVER","BURNABY CY",8,0,75,0,0,25,17.875
"2020","5915001","2410","VANCOUVER","LANGLEY DM",13,0,84.615384615385,15.384615384615,0,0,6.46153846153846
"2022","2471025","1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",1,100,0,0,0,0,3
"2022","4811061","0340","EDMONTON","EDMONTON CY",33,63.636363636364,27.272727272727,3.030303030303,6.060606060606,0,4.15151515151515
"1988","2457280","1060",NA,NA,2,100,0,0,0,0,0
"1989","2457320","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1989","3520004","2270",NA,NA,11,81.818181818182,0,9.090909090909,9.090909090909,0,3.45454545454545
"1994","4806016","0140","CALGARY","CALGARY CY",5,100,0,0,0,0,0
"1994","5915029","2410","VANCOUVER","NEW WESTMINSTER CY",4,25,50,25,0,0,7.75
"1996","3506006","1265",NA,NA,2,100,0,0,0,0,3
"1999","2466025","1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",53,100,0,0,0,0,0.207547169811321
"2000","2459010","1060","MONTRÉAL","SAINTE-JULIE V",1,100,0,0,0,0,0
"2001","3521005","2270","TORONTO","TORONTO C",2,50,0,50,0,0,4
"2008","2467015","1060","MONTRÉAL","BLAINVILLE V",2,100,0,0,0,0,0
"2009","2452007","1060","MONTRÉAL","BROSSARD V",NA,NA,NA,NA,NA,NA,NA
"2010","5915046","2410","VANCOUVER","NORTH VANCOUVER DM",1,0,100,0,0,0,4
"2011","2466007","1060","MONTRÉAL","BROSSARD V",2,100,0,0,0,0,0
"2016","2472025","1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",1,100,0,0,0,0,3
"1989","3506006","1265",NA,NA,2,0,100,0,0,0,4
"1990","2456580","1060",NA,NA,1,0,100,0,0,0,4
"1992","2463130","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1993","2463190","1060",NA,NA,1,100,0,0,0,0,0
"1999","2467035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",NA,NA,NA,NA,NA,NA,NA
"2003","2467015","1060","MONTRÉAL","BLAINVILLE V",NA,NA,NA,NA,NA,NA,NA
"2004","2452007","1060","MONTRÉAL","BROSSARD V",1,100,0,0,0,0,0
"2006","2473015","1060","MONTRÉAL","BLAINVILLE V",9,100,0,0,0,0,1.55555555555556
"2007","2472020","1060","MONTRÉAL","POINTE-CALUMET MÉ",NA,NA,NA,NA,NA,NA,NA
"2008","2457020","1060","MONTRÉAL","POINTE-CALUMET MÉ",1,100,0,0,0,0,3
"2010","2458037","1060","MONTRÉAL","SAINT-BRUNO-DE-MONTARVILLE V",5,100,0,0,0,0,1.8
"2010","2472025","1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",4,100,0,0,0,0,0.5
"2015","2472005","1060","MONTRÉAL","LAVAL V",1,0,100,0,0,0,6
"2015","5915007","2410","VANCOUVER","WHITE ROCK CY",NA,NA,NA,NA,NA,NA,NA
"2016","2452007","1060","MONTRÉAL","BROSSARD V",NA,NA,NA,NA,NA,NA,NA
"2020","2464015","1060","MONTRÉAL","BLAINVILLE V",1,100,0,0,0,0,3
"2021","2467015","1060","MONTRÉAL","BLAINVILLE V",2,50,0,50,0,0,5.5
"2021","2472025","1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",3,100,0,0,0,0,3
"2022","3519038","2270","TORONTO","RICHMOND HILL T",5,80,0,20,0,0,4.2
"1989","5915046","2410","VANCOUVER","NORTH VANCOUVER DM",5,100,0,0,0,0,2.4
"1990","3520008","2270",NA,NA,2,100,0,0,0,0,0
"1991","2469480","1060",NA,NA,2,100,0,0,0,0,0
"1996","2458005","1060","MONTRÉAL","LAVAL V",4,100,0,0,0,0,0
"2000","2459005","1060","MONTRÉAL","LAVAL V",NA,NA,NA,NA,NA,NA,NA
"2000","4811062","0340","EDMONTON","ST. ALBERT CY",1,100,0,0,0,0,0
"2001","5915002","2410","VANCOUVER","LANGLEY CY",1,0,100,0,0,0,4
"2006","2458227","1060","MONTRÉAL","LONGUEUIL V",16,100,0,0,0,0,0.1875
"2009","2460013","1060","MONTRÉAL","REPENTIGNY V",6,100,0,0,0,0,0
"2010","2459015","1060","MONTRÉAL","BLAINVILLE V",3,100,0,0,0,0,2.33333333333333
"2010","2464008","1060","MONTRÉAL","TERREBONNE V",10,100,0,0,0,0,0.8
"2010","4806016","0140","CALGARY","CALGARY CY",6,100,0,0,0,0,0
"2013","2467045","1060","MONTRÉAL","SAINT-MATHIEU-DE-BELOEIL MÉ",NA,NA,NA,NA,NA,NA,NA
"2019","2457025","1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",2,100,0,0,0,0,3
"1991","2456120","1060",NA,NA,7,100,0,0,0,0,1.57142857142857
"1993","2465420","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1993","2466500","1060",NA,NA,8,100,0,0,0,0,1.875
"2004","3519036","2270","TORONTO","MARKHAM CY",2,100,0,0,0,0,0
"2004","5915043","2410","VANCOUVER","PORT MOODY CY",1,0,100,0,0,0,4
"2005","2467050","1060","MONTRÉAL","CHÂTEAUGUAY V",3,100,0,0,0,0,0
"2007","5915039","2410","VANCOUVER","PORT COQUITLAM CY",11,63.636363636364,36.363636363636,0,0,0,3.36363636363636
"2010","2464015","1060","MONTRÉAL","BLAINVILLE V",22,100,0,0,0,0,0.909090909090909
"2011","2457030","1060","MONTRÉAL","BOIS-DES-FILION V",2,100,0,0,0,0,2
"2012","2458007","1060","MONTRÉAL","BROSSARD V",20,75,25,0,0,0,2.85
"2012","2465005","1060","MONTRÉAL","LAVAL V",26,92.307692307692,7.692307692308,0,0,0,0.576923076923077
"2015","2471033","1060","MONTRÉAL","LES COTEAUX MÉ",2,100,0,0,0,0,2.5
"2016","2467015","1060","MONTRÉAL","BLAINVILLE V",13,92.307692307692,7.692307692308,0,0,0,2.46153846153846
"2017","5915007","2410","VANCOUVER","WHITE ROCK CY",NA,NA,NA,NA,NA,NA,NA
"2018","2471065","1060","MONTRÉAL","NOTRE-DAME-DE-L'ÎLE-PERROT V",2,100,0,0,0,0,2
"2019","2460028","1060","MONTRÉAL","L'ASSOMPTION V",1,100,0,0,0,0,2
"2020","2467010","1060","MONTRÉAL","SAINTE-JULIE V",2,100,0,0,0,0,2.5
"2022","2467010","1060","MONTRÉAL","SAINTE-JULIE V",1,0,100,0,0,0,6
"1991","4811049","0340","EDMONTON","SPRUCE GROVE CY",1,100,0,0,0,0,0
"2002","2472005","1060","MONTRÉAL","LAVAL V",4,100,0,0,0,0,0
"2002","4806021","0140","CALGARY","AIRDRIE CY",2,100,0,0,0,0,0
"2003","2464008","1060","MONTRÉAL","TERREBONNE V",14,100,0,0,0,0,0
"2005","2470022","1060","MONTRÉAL","BEAUHARNOIS V",NA,NA,NA,NA,NA,NA,NA
"2005","5915034","2410","VANCOUVER","COQUITLAM CY",NA,NA,NA,NA,NA,NA,NA
"2006","4806021","0140","CALGARY","AIRDRIE CY",3,100,0,0,0,0,0
"2009","2459020","1060","MONTRÉAL","POINTE-CALUMET MÉ",1,100,0,0,0,0,0
"2010","2466023","1060","MONTRÉAL","MONTRÉAL V",103,86.407766990291,8.73786407767,4.854368932039,0,0,2.09708737864078
"2011","2464015","1060","MONTRÉAL","BLAINVILLE V",28,100,0,0,0,0,0
"2017","2455065","1060","MONTRÉAL","NOTRE-DAME-DE-L'ÎLE-PERROT V",NA,NA,NA,NA,NA,NA,NA
"2021","2459010","1060","MONTRÉAL","SAINTE-JULIE V",3,100,0,0,0,0,2.33333333333333
"1988","5915015","2410","VANCOUVER","RICHMOND CY",1,100,0,0,0,0,0
"1989","2464500","1060",NA,NA,60,100,0,0,0,0,0
"1991","2465480","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1992","2463190","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1995","2458010","1060","MONTRÉAL","SAINTE-JULIE V",2,100,0,0,0,0,1.5
"1996","5915002","2410","VANCOUVER","LANGLEY CY",1,0,100,0,0,0,4
"2000","4811052","0340","EDMONTON","STRATHCONA COUNTY SM",2,100,0,0,0,0,0
"2002","2464015","1060","MONTRÉAL","BLAINVILLE V",3,100,0,0,0,0,0
"2003","3543014","2270","TORONTO","BRADFORD WEST GWILLIMBURY T",1,100,0,0,0,0,0
"2009","2464015","1060","MONTRÉAL","BLAINVILLE V",9,100,0,0,0,0,0
"2009","2471040","1060","MONTRÉAL","BELOEIL V",NA,NA,NA,NA,NA,NA,NA
"2010","2460028","1060","MONTRÉAL","L'ASSOMPTION V",1,100,0,0,0,0,3
"2010","2474005","1060","MONTRÉAL","LAVAL V",1,100,0,0,0,0,2
"2010","3521005","2270","TORONTO","TORONTO C",4,25,75,0,0,0,3
"2022","3520005","2270","TORONTO","TORONTO C",32,3.125,21.875,46.875,3.125,25,20.65625
"1988","3506012","1265",NA,NA,2,100,0,0,0,0,0
"1990","3524009","2270","TORONTO","MILTON T",1,0,0,100,0,0,16
"1992","2469600","1060",NA,NA,5,100,0,0,0,0,0
"1994","3519028","2270","TORONTO","VAUGHAN CY",1,100,0,0,0,0,0
"1997","2464020","1060","MONTRÉAL","POINTE-CALUMET MÉ",NA,NA,NA,NA,NA,NA,NA
"2004","2465005","1060","MONTRÉAL","LAVAL V",57,100,0,0,0,0,0
"2005","5915043","2410","VANCOUVER","PORT MOODY CY",3,0,66.666666666667,0,33.333333333333,0,10.3333333333333
"2010","2457035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",2,100,0,0,0,0,2.5
"2011","5915001","2410","VANCOUVER","LANGLEY DM",NA,NA,NA,NA,NA,NA,NA
"2015","2471050","1060","MONTRÉAL","CHÂTEAUGUAY V",NA,NA,NA,NA,NA,NA,NA
"2021","5915025","2410","VANCOUVER","BURNABY CY",9,0,44.444444444444,0,11.111111111111,44.444444444444,26.2222222222222
"2022","2473030","1060","MONTRÉAL","BOIS-DES-FILION V",NA,NA,NA,NA,NA,NA,NA
"1990","5915011","2410","VANCOUVER","DELTA DM",6,100,0,0,0,0,0
"1992","3502039","1265",NA,NA,2,100,0,0,0,0,0
"1996","5915001","2410","VANCOUVER","LANGLEY DM",6,100,0,0,0,0,1.16666666666667
"2002","3519036","2270","TORONTO","MARKHAM CY",1,0,0,100,0,0,10
"2009","2474005","1060","MONTRÉAL","LAVAL V",4,100,0,0,0,0,0
"2012","2471025","1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",1,100,0,0,0,0,0
"2015","2457010","1060","MONTRÉAL","SAINTE-JULIE V",3,100,0,0,0,0,2.66666666666667
"2019","2460013","1060","MONTRÉAL","REPENTIGNY V",3,66.666666666667,0,0,33.333333333333,0,12
"2022","2457025","1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",4,75,25,0,0,0,2.5
"1988","2465180","1060",NA,NA,4,100,0,0,0,0,0
"1991","5915025","2410","VANCOUVER","BURNABY CY",1,100,0,0,0,0,2
"1993","2456650","1060",NA,NA,2,100,0,0,0,0,0
"1993","3519036","2270","TORONTO","MARKHAM CY",1,100,0,0,0,0,0
"1994","5915004","2410","VANCOUVER","SURREY CY",16,56.25,43.75,0,0,0,2.5
"1996","2457035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",6,100,0,0,0,0,0
"2007","2471065","1060","MONTRÉAL","NOTRE-DAME-DE-L'ÎLE-PERROT V",1,100,0,0,0,0,0
"2008","3521005","2270","TORONTO","TORONTO C",1,100,0,0,0,0,0
"2009","2457020","1060","MONTRÉAL","POINTE-CALUMET MÉ",1,100,0,0,0,0,0
"2010","2460013","1060","MONTRÉAL","REPENTIGNY V",22,100,0,0,0,0,0.545454545454545
"2014","4811049","0340","EDMONTON","SPRUCE GROVE CY",1,100,0,0,0,0,0
"2015","4811061","0340","EDMONTON","EDMONTON CY",54,24.074074074074,68.518518518519,5.555555555556,0,1.851851851852,4.7037037037037
"2018","2457005","1060","MONTRÉAL","LAVAL V",27,100,0,0,0,0,2.18518518518519
"2019","2471040","1060","MONTRÉAL","BELOEIL V",3,100,0,0,0,0,2.66666666666667
"1988","3518029","2270","TORONTO","UXBRIDGE TP",1,100,0,0,0,0,0
"1993","2456750","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996","5915018","2410",NA,NA,1,0,0,100,0,0,16
"1999","2465005","1060","MONTRÉAL","LAVAL V",7,100,0,0,0,0,0
"2013","2473005","1060","MONTRÉAL","LAVAL V",1,100,0,0,0,0,3
"2013","5915025","2410","VANCOUVER","BURNABY CY",5,0,40,0,0,60,23.6
"2014","2464008","1060","MONTRÉAL","TERREBONNE V",4,100,0,0,0,0,0.75
"2016","2475017","1060","MONTRÉAL","SAINT-JÉRÔME V",17,100,0,0,0,0,2.23529411764706
"2017","2466087","1060","MONTRÉAL","DORVAL V",1,0,100,0,0,0,4
"2017","2472015","1060","MONTRÉAL","BLAINVILLE V",6,100,0,0,0,0,3
"2020","4811016","0340","EDMONTON","LEDUC CY",NA,NA,NA,NA,NA,NA,NA
"2022","2467005","1060","MONTRÉAL","LAVAL V",5,100,0,0,0,0,3
"2022","5915046","2410","VANCOUVER","NORTH VANCOUVER DM",NA,NA,NA,NA,NA,NA,NA
"1990","2465480","1060",NA,NA,1,100,0,0,0,0,0
"1991","2473120","1060",NA,NA,6,100,0,0,0,0,0
"1993","3519038","2270","TORONTO","RICHMOND HILL T",4,100,0,0,0,0,0
"1995","2467015","1060","MONTRÉAL","BLAINVILLE V",1,0,100,0,0,0,4
"1995","3520008","2270",NA,NA,9,88.888888888889,11.111111111111,0,0,0,0.888888888888889
"1996","2460015","1060","MONTRÉAL","BLAINVILLE V",NA,NA,NA,NA,NA,NA,NA
"1998","5915007","2410","VANCOUVER","WHITE ROCK CY",1,100,0,0,0,0,0
"2004","2464008","1060","MONTRÉAL","TERREBONNE V",24,100,0,0,0,0,0
"2012","2471033","1060","MONTRÉAL","LES COTEAUX MÉ",1,100,0,0,0,0,2
"1990","2473200","1060",NA,NA,1,100,0,0,0,0,0
"1992","5915004","2410","VANCOUVER","SURREY CY",6,100,0,0,0,0,0.333333333333333
"1993","3520008","2270",NA,NA,2,50,50,0,0,0,3
"1994","2467035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,100,0,0,0,0,3
"1996","2464005","1060","MONTRÉAL","LAVAL V",1,100,0,0,0,0,0
"2007","2471033","1060","MONTRÉAL","LES COTEAUX MÉ",1,100,0,0,0,0,0
"2008","2467050","1060","MONTRÉAL","CHÂTEAUGUAY V",2,100,0,0,0,0,0
"2009","2460028","1060","MONTRÉAL","L'ASSOMPTION V",NA,NA,NA,NA,NA,NA,NA
"2009","2471070","1060","MONTRÉAL","PINCOURT V",1,100,0,0,0,0,0
"2012","2457045","1060","MONTRÉAL","SAINT-MATHIEU-DE-BELOEIL MÉ",2,100,0,0,0,0,3
"2012","5915075","2410","VANCOUVER","MAPLE RIDGE CY",3,0,100,0,0,0,4
"2016","2474005","1060","MONTRÉAL","LAVAL V",12,83.333333333333,16.666666666667,0,0,0,2.91666666666667
"2017","3507065","1265","OTTAWA","NORTH GRENVILLE MU",1,100,0,0,0,0,2
"1994","5915022","2410","VANCOUVER","VANCOUVER CY",38,31.578947368421,47.368421052632,15.789473684211,5.263157894737,0,6.05263157894737
"1994","5915055","2410","VANCOUVER","WEST VANCOUVER DM",2,50,50,0,0,0,4
"1996","5915046","2410","VANCOUVER","NORTH VANCOUVER DM",2,50,50,0,0,0,4
"1998","5915055","2410","VANCOUVER","WEST VANCOUVER DM",1,100,0,0,0,0,3
"1999","2467015","1060","MONTRÉAL","BLAINVILLE V",4,100,0,0,0,0,0
"2000","2474005","1060","MONTRÉAL","LAVAL V",NA,NA,NA,NA,NA,NA,NA
"2000","3502048","1265","OTTAWA","RUSSELL TP",1,100,0,0,0,0,0
"2001","2473015","1060","MONTRÉAL","BLAINVILLE V",NA,NA,NA,NA,NA,NA,NA
"2004","2457005","1060","MONTRÉAL","LAVAL V",6,100,0,0,0,0,0
"2009","2473010","1060","MONTRÉAL","SAINTE-JULIE V",NA,NA,NA,NA,NA,NA,NA
"2012","5915022","2410","VANCOUVER","VANCOUVER CY",20,20,30,35,5,10,11
"2016","5915029","2410","VANCOUVER","NEW WESTMINSTER CY",6,16.666666666667,66.666666666667,0,16.666666666667,0,7.16666666666667
"2018","2471025","1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",3,100,0,0,0,0,2
"1990","2452440","1060",NA,NA,2,100,0,0,0,0,0
"2002","2460005","1060","MONTRÉAL","LAVAL V",1,100,0,0,0,0,0
"2008","2473010","1060","MONTRÉAL","SAINTE-JULIE V",1,100,0,0,0,0,0
"2008","3521010","2270","TORONTO","BRAMPTON CY",7,100,0,0,0,0,0
"2010","5915022","2410","VANCOUVER","VANCOUVER CY",14,57.142857142857,14.285714285714,28.571428571429,0,0,5.07142857142857
