"ref_yy","CSDuid","mkttycd","metcode","metro","municipality","total_structures","share_three_or_fewer_stories","share_four_to_six_stories","share_seven_to_twenty_stories","share_twentyone_to_thirty_stories","share_greater_than_thirty_stories","avg_number_of_stories"
"1999","2472025",2,"1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",NA,NA,NA,NA,NA,NA,NA
"2007","2466058",3,"1060","MONTRÉAL","CÔTE-SAINT-LUC V",1,100,0,0,0,0,0
"2007","2471033",1,"1060","MONTRÉAL","BOUCHERVILLE V",NA,NA,NA,NA,NA,NA,NA
"2008","2467010",3,"1060","MONTRÉAL","DEUX-MONTAGNES V",2,100,0,0,0,0,0
"2009","2457035",3,"1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,100,0,0,0,0,0
"2011","2467045",2,"1060","MONTRÉAL","SAINT-MATHIEU-DE-BELOEIL MÉ",1,100,0,0,0,0,0
"2014","2475005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2015","2467015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",6,83.333333333333,16.666666666667,0,0,0,2.33333333333333
"2015","3519048",2,"2270","TORONTO","NEWMARKET T",1,0,100,0,0,0,4
"2019","2463048",2,"1060","MONTRÉAL","SAINT-LIN--LAURENTIDES V",5,80,20,0,0,0,2.4
"2022","2475017",2,"1060","MONTRÉAL","SAINT-JÉRÔME V",14,71.428571428571,21.428571428571,7.142857142857,0,0,3.5
"1989","2465480",3,"1060",NA,NA,2,100,0,0,0,0,0
"1991","2452440",2,"1060",NA,NA,2,100,0,0,0,0,1
"1994","2458010",3,"1060","MONTRÉAL","DEUX-MONTAGNES V",3,100,0,0,0,0,0.666666666666667
"1994","2467035",2,"1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,100,0,0,0,0,3
"1996","5915055",3,"2410","VANCOUVER","WEST VANCOUVER DM",1,0,0,100,0,0,9
"2002","2460015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",1,100,0,0,0,0,0
"2002","2475017",1,"1060","MONTRÉAL","SAINT-JÉRÔME V",NA,NA,NA,NA,NA,NA,NA
"2006","2464008",2,"1060","MONTRÉAL","TERREBONNE V",2,100,0,0,0,0,2
"2006","2472025",1,"1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",NA,NA,NA,NA,NA,NA,NA
"2007","2475005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2008","5915039",2,"2410","VANCOUVER","PORT COQUITLAM CY",NA,NA,NA,NA,NA,NA,NA
"2016","2458227",2,"1060","MONTRÉAL","LONGUEUIL V",4,100,0,0,0,0,2.25
"2016","2474005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",9,77.777777777778,22.222222222222,0,0,0,2.88888888888889
"2020","4811059",2,"0340","EDMONTON","STURGEON COUNTY MD",NA,NA,NA,NA,NA,NA,NA
"2021","2467030",2,"1060","MONTRÉAL","BOIS-DES-FILION V",1,100,0,0,0,0,2
"2021","2472015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",1,100,0,0,0,0,3
"2022","2466023",4,"1060","MONTRÉAL","MONTRÉAL V",2,50,50,0,0,0,4.5
"1990","2456120",3,"1060",NA,NA,1,100,0,0,0,0,3
"1992","5915051",3,"2410","VANCOUVER","NORTH VANCOUVER CY",3,100,0,0,0,0,2.66666666666667
"1994","2473015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",NA,NA,NA,NA,NA,NA,NA
"1996","2467020",3,"1060","MONTRÉAL","POINTE-CALUMET MÉ",2,100,0,0,0,0,0
"2002","2457020",1,"1060","MONTRÉAL","POINTE-CALUMET MÉ",NA,NA,NA,NA,NA,NA,NA
"2006","2464015",1,"1060","MONTRÉAL","SAINT-AMABLE MÉ",NA,NA,NA,NA,NA,NA,NA
"2008","2459020",2,"1060","MONTRÉAL","POINTE-CALUMET MÉ",NA,NA,NA,NA,NA,NA,NA
"2008","2464015",1,"1060","MONTRÉAL","SAINT-AMABLE MÉ",NA,NA,NA,NA,NA,NA,NA
"2009","2467045",4,"1060","MONTRÉAL","SAINT-MATHIEU-DE-BELOEIL MÉ",1,100,0,0,0,0,0
"2011","3519036",3,"2270","TORONTO","MARKHAM CY",1,100,0,0,0,0,0
"2012","5915007",1,"2410","VANCOUVER","WHITE ROCK CY",NA,NA,NA,NA,NA,NA,NA
"2015","2464008",1,"1060","MONTRÉAL","TERREBONNE V",NA,NA,NA,NA,NA,NA,NA
"2017","3502036",3,"1265","OTTAWA","CLARENCE-ROCKLAND C",3,100,0,0,0,0,2.33333333333333
"2018","2466023",2,"1060","MONTRÉAL","MONTRÉAL V",27,70.37037037037,14.814814814815,11.111111111111,3.703703703704,0,4.37037037037037
"2019","2465005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",28,82.142857142857,7.142857142857,10.714285714286,0,0,4.17857142857143
"2019","2466058",2,"1060","MONTRÉAL","CÔTE-SAINT-LUC V",1,0,0,100,0,0,12
"2019","4811034",2,"0340","EDMONTON","PARKLAND COUNTY MD",NA,NA,NA,NA,NA,NA,NA
"2021","2466072",3,"1060","MONTRÉAL","MONT-ROYAL V",1,0,0,100,0,0,7
"2021","4811049",2,"0340","EDMONTON","SPRUCE GROVE CY",NA,NA,NA,NA,NA,NA,NA
"2022","5915022",1,"2410","VANCOUVER","VANCOUVER CY",NA,NA,NA,NA,NA,NA,NA
"1989","2457280",3,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1989","3520008",3,"2270",NA,NA,4,100,0,0,0,0,0
"1991","2466300",3,"1060",NA,NA,3,100,0,0,0,0,0
"1996","2466075",3,"1060","MONTRÉAL","TERRASSE-VAUDREUIL MÉ",2,100,0,0,0,0,0
"1998","2466035",3,"1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,100,0,0,0,0,0
"2005","5915062",2,"2410","VANCOUVER","BOWEN ISLAND IM",NA,NA,NA,NA,NA,NA,NA
"2007","2475005",1,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2009","3520005",3,"2270","TORONTO","AJAX T",26,30.769230769231,15.384615384615,19.230769230769,3.846153846154,30.769230769231,16.6153846153846
"2010","2474005",1,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2015","2459010",2,"1060","MONTRÉAL","DEUX-MONTAGNES V",3,100,0,0,0,0,3
"2015","2466047",2,"1060","MONTRÉAL","MONTRÉAL-OUEST V",NA,NA,NA,NA,NA,NA,NA
"2016","2458007",1,"1060","MONTRÉAL","LAVALTRIE V",NA,NA,NA,NA,NA,NA,NA
"2020","5915051",4,"2410","VANCOUVER","NORTH VANCOUVER CY",1,0,100,0,0,0,5
"2022","4811052",2,"0340","EDMONTON","STRATHCONA COUNTY SM",2,0,100,0,0,0,6
"1990","5915022",2,"2410","VANCOUVER","VANCOUVER CY",5,100,0,0,0,0,0.4
"1993","5915022",1,"2410","VANCOUVER","VANCOUVER CY",1,100,0,0,0,0,0
"1994","2466075",4,"1060","MONTRÉAL","TERRASSE-VAUDREUIL MÉ",1,100,0,0,0,0,0
"1995","2467015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",NA,NA,NA,NA,NA,NA,NA
"1997","2457040",2,"1060","MONTRÉAL","BELOEIL V",1,100,0,0,0,0,0
"2001","2459020",2,"1060","MONTRÉAL","POINTE-CALUMET MÉ",NA,NA,NA,NA,NA,NA,NA
"2002","2457040",3,"1060","MONTRÉAL","BELOEIL V",2,100,0,0,0,0,3
"2002","5915043",3,"2410","VANCOUVER","PORT MOODY CY",3,66.666666666667,33.333333333333,0,0,0,3.33333333333333
"2002","5915046",3,"2410","VANCOUVER","NORTH VANCOUVER DM",6,50,50,0,0,0,3.5
"2004","3519036",3,"2270","TORONTO","MARKHAM CY",2,100,0,0,0,0,0
"2004","5915039",1,"2410","VANCOUVER","PORT COQUITLAM CY",NA,NA,NA,NA,NA,NA,NA
"2006","3506008",3,"1265","OTTAWA","OTTAWA CV",9,88.888888888889,0,11.111111111111,0,0,1
"2008","2471055",2,"1060","MONTRÉAL","LÉRY V",1,100,0,0,0,0,0
"2008","2475017",1,"1060","MONTRÉAL","SAINT-JÉRÔME V",NA,NA,NA,NA,NA,NA,NA
"2008","5915001",3,"2410","VANCOUVER","LANGLEY DM",3,0,100,0,0,0,4
"2008","5915043",3,"2410","VANCOUVER","PORT MOODY CY",3,0,66.666666666667,0,33.333333333333,0,11.3333333333333
"2009","2460028",1,"1060","MONTRÉAL","L'ASSOMPTION V",NA,NA,NA,NA,NA,NA,NA
"2011","2473010",2,"1060","MONTRÉAL","DEUX-MONTAGNES V",NA,NA,NA,NA,NA,NA,NA
"2015","3524001",3,"2270","TORONTO","PICKERING CY",21,90.47619047619,9.52380952381,0,0,0,3.0952380952381
"2015","4811013",3,"0340","EDMONTON","BEAUMONT CY",1,100,0,0,0,0,2
"2019","2475017",3,"1060","MONTRÉAL","SAINT-JÉRÔME V",3,100,0,0,0,0,2.66666666666667
"2021","4806021",2,"0140","CALGARY","AIRDRIE CY",1,0,100,0,0,0,4
"2022","2458037",2,"1060","MONTRÉAL","SAINT-BRUNO-DE-MONTARVILLE V",2,50,50,0,0,0,4
"1989","2462200",3,"1060",NA,NA,3,100,0,0,0,0,0
"1990","2465440",2,"1060",NA,NA,1,100,0,0,0,0,0
"1991","2470460",2,"1060",NA,NA,1,100,0,0,0,0,2
"1991","5915007",3,"2410","VANCOUVER","WHITE ROCK CY",2,100,0,0,0,0,0
"1993","2472210",2,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1994","5915051",3,"2410","VANCOUVER","NORTH VANCOUVER CY",7,71.428571428571,28.571428571429,0,0,0,1.14285714285714
"1995","2466150",2,"1060",NA,NA,2,100,0,0,0,0,0
"1995","5915015",3,"2410","VANCOUVER","RICHMOND CY",4,50,50,0,0,0,2
"1996","2473005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",2,100,0,0,0,0,0
"1996","4811061",3,"0340","EDMONTON","EDMONTON CY",1,100,0,0,0,0,0
"2006","2472015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",3,100,0,0,0,0,0
"2007","5915022",1,"2410","VANCOUVER","VANCOUVER CY",NA,NA,NA,NA,NA,NA,NA
"2010","3521005",3,"2270","TORONTO","AJAX T",4,25,75,0,0,0,3
"2010","5915020",3,"2410","VANCOUVER","GREATER VANCOUVER A RDA",1,0,100,0,0,0,4
"2013","2466007",3,"1060","MONTRÉAL","LAVALTRIE V",1,100,0,0,0,0,2
"2014","2467015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",NA,NA,NA,NA,NA,NA,NA
"2016","4811048",3,"0340","EDMONTON","STONY PLAIN T",NA,NA,NA,NA,NA,NA,NA
"2018","3506008",2,"1265","OTTAWA","OTTAWA CV",6,33.333333333333,33.333333333333,33.333333333333,0,0,5.33333333333333
"2018","5915025",2,"2410","VANCOUVER","BURNABY CY",1,0,100,0,0,0,5
"2019","2460013",1,"1060","MONTRÉAL","REPENTIGNY V",NA,NA,NA,NA,NA,NA,NA
"2020","2472015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",NA,NA,NA,NA,NA,NA,NA
"2021","5915002",3,"2410","VANCOUVER","LANGLEY CY",2,0,50,50,0,0,6
"1990","2462260",3,"1060",NA,NA,4,100,0,0,0,0,0
"1990","3519036",3,"2270","TORONTO","MARKHAM CY",1,100,0,0,0,0,0
"1991","3506014",2,"1265",NA,NA,10,100,0,0,0,0,0
"1991","4811061",2,"0340","EDMONTON","EDMONTON CY",1,100,0,0,0,0,3
"1993","3502039",2,"1265",NA,NA,1,100,0,0,0,0,0
"1995","2460015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",3,100,0,0,0,0,1
"1996","2458030",2,"1060","MONTRÉAL","BOIS-DES-FILION V",NA,NA,NA,NA,NA,NA,NA
"1997","5915034",3,"2410","VANCOUVER","COQUITLAM CY",7,28.571428571429,57.142857142857,14.285714285714,0,0,5.57142857142857
"2002","5915022",2,"2410","VANCOUVER","VANCOUVER CY",3,66.666666666667,0,33.333333333333,0,0,6.66666666666667
"2004","2458227",2,"1060","MONTRÉAL","LONGUEUIL V",8,100,0,0,0,0,0
"2004","4806021",3,"0140","CALGARY","AIRDRIE CY",1,100,0,0,0,0,0
"2007","3519036",2,"2270","TORONTO","MARKHAM CY",NA,NA,NA,NA,NA,NA,NA
"2008","5915046",2,"2410","VANCOUVER","NORTH VANCOUVER DM",1,0,100,0,0,0,4
"2009","5915007",3,"2410","VANCOUVER","WHITE ROCK CY",1,0,100,0,0,0,4
"2010","2466142",3,"1060","MONTRÉAL","DOLLARD-DES ORMEAUX V",4,100,0,0,0,0,1.5
"2012","2452007",2,"1060","MONTRÉAL","LAVALTRIE V",2,100,0,0,0,0,1
"2013","3506008",3,"1265","OTTAWA","OTTAWA CV",24,75,4.166666666667,16.666666666667,4.166666666667,0,4.25
"2014","2473030",2,"1060","MONTRÉAL","BOIS-DES-FILION V",1,100,0,0,0,0,0
"2015","2457040",2,"1060","MONTRÉAL","BELOEIL V",NA,NA,NA,NA,NA,NA,NA
"2016","2459010",3,"1060","MONTRÉAL","DEUX-MONTAGNES V",1,100,0,0,0,0,3
"2018","2472005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",2,100,0,0,0,0,3
"2019","2458227",1,"1060","MONTRÉAL","LONGUEUIL V",NA,NA,NA,NA,NA,NA,NA
"2019","2465005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",8,37.5,62.5,0,0,0,3.75
"2019","2467020",2,"1060","MONTRÉAL","POINTE-CALUMET MÉ",3,66.666666666667,0,33.333333333333,0,0,4.33333333333333
"2020","2458007",3,"1060","MONTRÉAL","LAVALTRIE V",2,50,0,50,0,0,5.5
"2020","3518001",2,"2270","TORONTO","PICKERING CY",1,0,0,100,0,0,12
"2021","2466023",2,"1060","MONTRÉAL","MONTRÉAL V",56,53.571428571429,16.071428571429,25,1.785714285714,3.571428571429,7.53571428571429
"2022","2472010",4,"1060","MONTRÉAL","DEUX-MONTAGNES V",1,0,100,0,0,0,6
"1990","2456120",2,"1060",NA,NA,9,100,0,0,0,0,1.55555555555556
"1990","2464500",2,"1060",NA,NA,28,100,0,0,0,0,0.75
"1996","2467015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",NA,NA,NA,NA,NA,NA,NA
"2001","4811049",3,"0340","EDMONTON","SPRUCE GROVE CY",1,100,0,0,0,0,0
"2002","2465005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",46,100,0,0,0,0,0
"2002","2467015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",1,100,0,0,0,0,3
"2002","4811056",2,"0340","EDMONTON","FORT SASKATCHEWAN CY",1,100,0,0,0,0,0
"2006","2457040",3,"1060","MONTRÉAL","BELOEIL V",2,100,0,0,0,0,1.5
"2007","2466023",1,"1060","MONTRÉAL","MONTRÉAL V",NA,NA,NA,NA,NA,NA,NA
"2007","5915001",2,"2410","VANCOUVER","LANGLEY DM",NA,NA,NA,NA,NA,NA,NA
"2012","4811061",3,"0340","EDMONTON","EDMONTON CY",8,62.5,37.5,0,0,0,1.5
"2012","5915043",3,"2410","VANCOUVER","PORT MOODY CY",2,0,50,0,50,0,15
"2013","2466087",3,"1060","MONTRÉAL","DORVAL V",1,0,100,0,0,0,4
"2013","5915025",3,"2410","VANCOUVER","BURNABY CY",5,0,40,0,0,60,23.6
"2017","2458033",3,"1060","MONTRÉAL","BOUCHERVILLE V",1,0,100,0,0,0,6
"2018","2472015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",5,100,0,0,0,0,2.2
"1989","5915046",3,"2410","VANCOUVER","NORTH VANCOUVER DM",5,100,0,0,0,0,2.4
"1990","3506004",2,"1265",NA,NA,1,100,0,0,0,0,0
"1992","2457320",2,"1060",NA,NA,1,100,0,0,0,0,3
"1992","5911025",2,"2410","VANCOUVER","BURNABY CY",1,100,0,0,0,0,0
"1992","5915015",3,"2410","VANCOUVER","RICHMOND CY",2,100,0,0,0,0,0
"1998","5915034",3,"2410","VANCOUVER","COQUITLAM CY",1,100,0,0,0,0,0
"2003","2459010",2,"1060","MONTRÉAL","DEUX-MONTAGNES V",2,100,0,0,0,0,3
"2004","2457020",2,"1060","MONTRÉAL","POINTE-CALUMET MÉ",3,100,0,0,0,0,0
"2004","5915004",2,"2410","VANCOUVER","SURREY CY",1,0,100,0,0,0,6
"2005","5915039",3,"2410","VANCOUVER","PORT COQUITLAM CY",1,0,100,0,0,0,4
"2008","2464008",1,"1060","MONTRÉAL","TERREBONNE V",NA,NA,NA,NA,NA,NA,NA
"2009","5915034",1,"2410","VANCOUVER","COQUITLAM CY",NA,NA,NA,NA,NA,NA,NA
"2011","2475005",1,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2011","3502036",2,"1265","OTTAWA","CLARENCE-ROCKLAND C",1,100,0,0,0,0,2
"2011","5915020",2,"2410","VANCOUVER","GREATER VANCOUVER A RDA",3,0,100,0,0,0,4
"2013","2458033",3,"1060","MONTRÉAL","BOUCHERVILLE V",6,83.333333333333,16.666666666667,0,0,0,2.5
"2017","2466058",2,"1060","MONTRÉAL","CÔTE-SAINT-LUC V",1,0,100,0,0,0,6
"2017","2471025",2,"1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",1,100,0,0,0,0,2
"2017","3507065",1,"1265","OTTAWA","NORTH GRENVILLE MU",1,100,0,0,0,0,2
"2019","4811016",2,"0340","EDMONTON","LEDUC CY",NA,NA,NA,NA,NA,NA,NA
"2019","5915039",2,"2410","VANCOUVER","PORT COQUITLAM CY",1,100,0,0,0,0,3
"1993","3524015",2,"2270","TORONTO","HALTON HILLS T",1,100,0,0,0,0,0
"1993","4806016",3,"0140","CALGARY","CALGARY CY",6,100,0,0,0,0,0
"1994","2460015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",3,100,0,0,0,0,2.33333333333333
"1997","3519044",2,"2270","TORONTO","WHITCHURCH-STOUFFVILLE T",1,100,0,0,0,0,0
"2003","4806019",3,"0140","CALGARY","COCHRANE T",1,100,0,0,0,0,0
"2004","2470022",3,"1060","MONTRÉAL","BEAUHARNOIS V",1,100,0,0,0,0,0
"2006","5915020",3,"2410","VANCOUVER","GREATER VANCOUVER A RDA",3,0,100,0,0,0,4.33333333333333
"2008","2452007",2,"1060","MONTRÉAL","LAVALTRIE V",2,100,0,0,0,0,0
"2009","2472025",2,"1060","MONTRÉAL","SAINT-JOSEPH-DU-LAC MÉ",2,100,0,0,0,0,0
"2011","5915034",1,"2410","VANCOUVER","COQUITLAM CY",NA,NA,NA,NA,NA,NA,NA
"2012","2460013",2,"1060","MONTRÉAL","REPENTIGNY V",NA,NA,NA,NA,NA,NA,NA
"2012","4806016",2,"0140","CALGARY","CALGARY CY",5,60,40,0,0,0,1.6
"2013","2460005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",1,100,0,0,0,0,3
"2016","2458007",2,"1060","MONTRÉAL","LAVALTRIE V",1,0,100,0,0,0,6
"2016","2467015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",12,100,0,0,0,0,2.33333333333333
"2016","5915075",2,"2410","VANCOUVER","MAPLE RIDGE CY",NA,NA,NA,NA,NA,NA,NA
"2018","5915022",2,"2410","VANCOUVER","VANCOUVER CY",17,11.764705882353,47.058823529412,23.529411764706,17.647058823529,0,8.23529411764706
"2021","5915075",2,"2410","VANCOUVER","MAPLE RIDGE CY",1,0,100,0,0,0,4
"1992","2462510",2,"1060",NA,NA,3,100,0,0,0,0,0
"2004","3520005",2,"2270","TORONTO","AJAX T",3,100,0,0,0,0,0
"2004","5915020",3,"2410","VANCOUVER","GREATER VANCOUVER A RDA",2,0,100,0,0,0,4
"2006","2473030",3,"1060","MONTRÉAL","BOIS-DES-FILION V",10,100,0,0,0,0,0.4
"2007","2458227",3,"1060","MONTRÉAL","LONGUEUIL V",13,100,0,0,0,0,0.615384615384615
"2007","2473015",1,"1060","MONTRÉAL","SAINT-AMABLE MÉ",NA,NA,NA,NA,NA,NA,NA
"2008","2458007",3,"1060","MONTRÉAL","LAVALTRIE V",42,100,0,0,0,0,0.571428571428571
"2010","2465005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",16,87.5,6.25,6.25,0,0,1.5625
"2011","5915034",3,"2410","VANCOUVER","COQUITLAM CY",3,0,33.333333333333,0,33.333333333333,33.333333333333,22
"2013","2473015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",4,50,0,50,0,0,4
"2013","2474005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",2,100,0,0,0,0,0
"2017","2465005",1,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2017","2471083",2,"1060","MONTRÉAL","SAINT-JEAN-SUR-RICHELIEU V",1,100,0,0,0,0,3
"2017","5915001",3,"2410","VANCOUVER","LANGLEY DM",2,0,100,0,0,0,4.5
"2018","3521005",3,"2270","TORONTO","AJAX T",8,50,0,12.5,12.5,25,16.5
"2020","2464008",3,"1060","MONTRÉAL","TERREBONNE V",1,100,0,0,0,0,3
"1990","3520019",3,"2270",NA,NA,1,0,0,0,0,100,46
"1991","3520001",3,"2270","TORONTO","PICKERING CY",1,0,0,0,100,0,22
"1993","2456400",2,"1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1994","2458030",2,"1060","MONTRÉAL","BOIS-DES-FILION V",1,100,0,0,0,0,2
"1996","2466040",2,"1060","MONTRÉAL","BELOEIL V",1,100,0,0,0,0,0
"1998","2466075",2,"1060","MONTRÉAL","TERRASSE-VAUDREUIL MÉ",2,100,0,0,0,0,0
"1999","5915034",3,"2410","VANCOUVER","COQUITLAM CY",1,0,100,0,0,0,4
"2000","3521010",3,"2270","TORONTO","BRAMPTON CY",3,100,0,0,0,0,0
"2001","2472010",2,"1060","MONTRÉAL","DEUX-MONTAGNES V",NA,NA,NA,NA,NA,NA,NA
"2002","2459020",3,"1060","MONTRÉAL","POINTE-CALUMET MÉ",4,100,0,0,0,0,0
"2002","2467020",3,"1060","MONTRÉAL","POINTE-CALUMET MÉ",1,100,0,0,0,0,0
"2008","2464008",3,"1060","MONTRÉAL","TERREBONNE V",19,100,0,0,0,0,0
"2008","2474005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",3,100,0,0,0,0,1
"2008","5915039",1,"2410","VANCOUVER","PORT COQUITLAM CY",NA,NA,NA,NA,NA,NA,NA
"2011","2458012",3,"1060","MONTRÉAL","SAINT-LAMBERT V",1,0,100,0,0,0,5
"2012","3519036",2,"2270","TORONTO","MARKHAM CY",NA,NA,NA,NA,NA,NA,NA
"2012","4806019",3,"0140","CALGARY","COCHRANE T",1,100,0,0,0,0,0
"2014","2475017",2,"1060","MONTRÉAL","SAINT-JÉRÔME V",3,100,0,0,0,0,0.666666666666667
"2015","2472005",3,"1060","MONTRÉAL","SAINT-COLOMBAN V",1,0,100,0,0,0,6
"2016","4811061",3,"0340","EDMONTON","EDMONTON CY",10,30,70,0,0,0,3.4
"2017","2466023",3,"1060","MONTRÉAL","MONTRÉAL V",42,64.285714285714,19.047619047619,11.904761904762,2.380952380952,2.380952380952,5.78571428571429
"2018","2473015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",4,75,25,0,0,0,3.75
"2019","2458227",3,"1060","MONTRÉAL","LONGUEUIL V",6,50,50,0,0,0,3.33333333333333
"2020","2458227",3,"1060","MONTRÉAL","LONGUEUIL V",9,88.888888888889,11.111111111111,0,0,0,2.77777777777778
"2021","2457005",1,"1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2022","2457020",2,"1060","MONTRÉAL","POINTE-CALUMET MÉ",1,100,0,0,0,0,3
"2022","4806016",3,"0140","CALGARY","CALGARY CY",41,46.341463414634,48.780487804878,4.878048780488,0,0,4.04878048780488
"1989","2464500",3,"1060",NA,NA,22,100,0,0,0,0,0
"1990","2465200",2,"1060",NA,NA,6,100,0,0,0,0,0
"1990","2465260",3,"1060",NA,NA,32,100,0,0,0,0,0
"1994","4806016",3,"0140","CALGARY","CALGARY CY",5,100,0,0,0,0,0
"1996","5915022",3,"2410","VANCOUVER","VANCOUVER CY",19,42.105263157895,31.578947368421,10.526315789474,10.526315789474,5.263157894737,7.73684210526316
"2003","2460028",3,"1060","MONTRÉAL","L'ASSOMPTION V",1,100,0,0,0,0,0
"2004","5915022",2,"2410","VANCOUVER","VANCOUVER CY",5,20,80,0,0,0,3.8
"2007","2472015",2,"1060","MONTRÉAL","SAINT-AMABLE MÉ",5,100,0,0,0,0,0.8
"2008","2458007",2,"1060","MONTRÉAL","LAVALTRIE V",NA,NA,NA,NA,NA,NA,NA
"2013","2459015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",1,100,0,0,0,0,2
"2013","3506008",1,"1265","OTTAWA","OTTAWA CV",1,100,0,0,0,0,0
"2014","2459015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",3,100,0,0,0,0,2
"2017","5915007",2,"2410","VANCOUVER","WHITE ROCK CY",NA,NA,NA,NA,NA,NA,NA
"2018","2465005",2,"1060","MONTRÉAL","SAINT-COLOMBAN V",29,86.206896551724,6.896551724138,0,6.896551724138,0,4.37931034482759
"2019","2471083",3,"1060","MONTRÉAL","SAINT-JEAN-SUR-RICHELIEU V",4,75,25,0,0,0,3.25
"2019","3521005",3,"2270","TORONTO","AJAX T",2,0,0,0,0,100,61.5
"2020","2457010",2,"1060","MONTRÉAL","DEUX-MONTAGNES V",NA,NA,NA,NA,NA,NA,NA
"2020","3519044",2,"2270","TORONTO","WHITCHURCH-STOUFFVILLE T",1,0,100,0,0,0,6
"2022","4811056",2,"0340","EDMONTON","FORT SASKATCHEWAN CY",NA,NA,NA,NA,NA,NA,NA
"1991","4806016",4,"0140","CALGARY","CALGARY CY",1,100,0,0,0,0,0
"1992","5915025",2,"2410","VANCOUVER","BURNABY CY",2,50,50,0,0,0,3.5
"1993","2466300",3,"1060",NA,NA,3,100,0,0,0,0,2.66666666666667
"1997","2458030",3,"1060","MONTRÉAL","BOIS-DES-FILION V",6,100,0,0,0,0,0
"2004","5915051",3,"2410","VANCOUVER","NORTH VANCOUVER CY",2,0,50,0,50,0,13
"2005","4811062",2,"0340","EDMONTON","ST. ALBERT CY",1,100,0,0,0,0,0
"2006","2467020",3,"1060","MONTRÉAL","POINTE-CALUMET MÉ",3,100,0,0,0,0,0
"2006","4806021",3,"0140","CALGARY","AIRDRIE CY",2,100,0,0,0,0,0
"2007","2452007",2,"1060","MONTRÉAL","LAVALTRIE V",1,100,0,0,0,0,0
"2007","3524009",3,"2270","TORONTO","MILTON T",2,100,0,0,0,0,0
"2009","2460028",2,"1060","MONTRÉAL","L'ASSOMPTION V",NA,NA,NA,NA,NA,NA,NA
"2010","2458037",3,"1060","MONTRÉAL","SAINT-BRUNO-DE-MONTARVILLE V",5,100,0,0,0,0,1.8
"2013","2467050",2,"1060","MONTRÉAL","CHÂTEAUGUAY V",1,100,0,0,0,0,2
"2014","2464008",1,"1060","MONTRÉAL","TERREBONNE V",NA,NA,NA,NA,NA,NA,NA
"2014","3524009",3,"2270","TORONTO","MILTON T",1,100,0,0,0,0,0
"2015","2457020",3,"1060","MONTRÉAL","POINTE-CALUMET MÉ",2,100,0,0,0,0,2
"2017","2459015",3,"1060","MONTRÉAL","SAINT-AMABLE MÉ",2,100,0,0,0,0,3
