"ref_yy","CSDuid","metcode","metro","first_value(muni)","total_structures","share_three_to_five","share_six_to_twenty","share_twentyone_to_sixty","share_sixtyone_to_onehundred","share_greater_than_onehundred","avg_number_of_units"
"2017","5915015","2410","VANCOUVER","RICHMOND CY",5,0,0,20,0,80,116.8
"2020","2465005","1060","MONTRÉAL","SAINT-COLOMBAN V",18,27.777777777778,38.888888888889,5.555555555556,0,27.777777777778,53.7222222222222
"2021","3519028","2270","TORONTO","VAUGHAN CY",8,0,0,25,0,75,324.75
"2022","4811048","0340","EDMONTON","STONY PLAIN T",NA,NA,NA,NA,NA,NA,NA
"1989","2463150","1060",NA,NA,5,0,100,0,0,0,8
"1990","2465740","1060",NA,NA,2,100,0,0,0,0,5
"1990","2472150","1060",NA,NA,4,0,100,0,0,0,9
"1991","2473240","1060",NA,NA,1,0,100,0,0,0,6
"1993","2465340","1060",NA,NA,10,30,60,10,0,0,8.9
"1994","4811061","0340","EDMONTON","EDMONTON CY",9,0,0,44.444444444444,33.333333333333,22.222222222222,63.1111111111111
"2000","2471060","1060","MONTRÉAL","L'ÎLE-PERROT V",NA,NA,NA,NA,NA,NA,NA
"2001","2458030","1060","MONTRÉAL","BOIS-DES-FILION V",NA,NA,NA,NA,NA,NA,NA
"2002","2472015","1060","MONTRÉAL","SAINT-AMABLE MÉ",5,40,60,0,0,0,5.6
"2004","3502036","1265","OTTAWA","CLARENCE-ROCKLAND C",1,0,100,0,0,0,8
"2006","2467035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",NA,NA,NA,NA,NA,NA,NA
"2009","3521005","2270","TORONTO","AJAX T",6,16.666666666667,0,33.333333333333,16.666666666667,33.333333333333,175.333333333333
"2011","2471070","1060","MONTRÉAL","PINCOURT V",2,0,100,0,0,0,8
"2017","2458033","1060","MONTRÉAL","LES COTEAUX MÉ",2,0,0,50,0,50,157
"2017","2467030","1060","MONTRÉAL","BOIS-DES-FILION V",4,25,50,25,0,0,20
"2022","2458227","1060","MONTRÉAL","LONGUEUIL V",18,11.111111111111,61.111111111111,16.666666666667,0,11.111111111111,33.7777777777778
"1989","2462510","1060",NA,NA,1,0,100,0,0,0,6
"1990","3519028","2270","TORONTO","VAUGHAN CY",1,0,0,0,0,100,202
"1993","5915034","2410","VANCOUVER","COQUITLAM CY",9,0,22.222222222222,33.333333333333,44.444444444444,0,46.7777777777778
"1994","5915011","2410","VANCOUVER","DELTA DM",1,0,100,0,0,0,17
"1996","2459005","1060","MONTRÉAL","SAINT-COLOMBAN V",9,0,100,0,0,0,6
"1996","2474005","1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2003","3524001","2270","TORONTO","PICKERING CY",3,0,33.333333333333,33.333333333333,33.333333333333,0,44
"2007","2465005","1060","MONTRÉAL","SAINT-COLOMBAN V",45,22.222222222222,71.111111111111,2.222222222222,2.222222222222,2.222222222222,13.2
"2008","2467045","1060","MONTRÉAL","SAINT-MATHIEU-DE-BELOEIL MÉ",1,0,100,0,0,0,6
"2010","5915001","2410","VANCOUVER","LANGLEY DM",NA,NA,NA,NA,NA,NA,NA
"2012","5915004","2410","VANCOUVER","SURREY CY",1,0,0,100,0,0,52
"2014","2473010","1060","MONTRÉAL","DEUX-MONTAGNES V",2,0,50,50,0,0,29
"2016","4811048","0340","EDMONTON","STONY PLAIN T",NA,NA,NA,NA,NA,NA,NA
"2017","2472032","1060","MONTRÉAL","OKA MÉ",NA,NA,NA,NA,NA,NA,NA
"2017","5915034","2410","VANCOUVER","COQUITLAM CY",6,0,16.666666666667,16.666666666667,33.333333333333,33.333333333333,139.166666666667
"2018","2459010","1060","MONTRÉAL","DEUX-MONTAGNES V",1,0,0,100,0,0,45
"2021","4811016","0340","EDMONTON","LEDUC CY",NA,NA,NA,NA,NA,NA,NA
"1990","2465580","1060",NA,NA,2,0,0,100,0,0,43.5
"1991","2452440","1060",NA,NA,2,50,50,0,0,0,5
"1991","2456450","1060",NA,NA,2,0,100,0,0,0,15
"1998","3520005","2270","TORONTO","AJAX T",20,10,25,20,5,40,94.55
"1999","2466150","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2008","3524001","2270","TORONTO","PICKERING CY",1,0,0,0,0,100,129
"2011","2470022","1060","MONTRÉAL","BEAUHARNOIS V",3,66.666666666667,33.333333333333,0,0,0,5.33333333333333
"2015","2452007","1060","MONTRÉAL","BROSSARD V",NA,NA,NA,NA,NA,NA,NA
"2018","2467040","1060","MONTRÉAL","BELOEIL V",1,0,100,0,0,0,6
"2020","2457045","1060","MONTRÉAL","SAINT-MATHIEU-DE-BELOEIL MÉ",NA,NA,NA,NA,NA,NA,NA
"2020","4811049","0340","EDMONTON","SPRUCE GROVE CY",NA,NA,NA,NA,NA,NA,NA
"2021","5915004","2410","VANCOUVER","SURREY CY",14,0,0,14.285714285714,28.571428571429,57.142857142857,181
"1990","2456120","1060",NA,NA,10,0,90,10,0,0,9.8
"1991","2463150","1060",NA,NA,7,0,100,0,0,0,7.71428571428571
"1991","2472150","1060",NA,NA,2,0,100,0,0,0,12
"2001","2467030","1060","MONTRÉAL","BOIS-DES-FILION V",2,0,50,50,0,0,31
"2006","5915043","2410","VANCOUVER","PORT MOODY CY",4,0,0,100,0,0,47
"2015","2467030","1060","MONTRÉAL","BOIS-DES-FILION V",1,100,0,0,0,0,4
"2017","2459020","1060","MONTRÉAL","CANDIAC V",NA,NA,NA,NA,NA,NA,NA
"2018","2460035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",NA,NA,NA,NA,NA,NA,NA
"2019","2471065","1060","MONTRÉAL","SAINT-MATHIAS-SUR-RICHELIEU MÉ",NA,NA,NA,NA,NA,NA,NA
"1989","2465740","1060",NA,NA,1,0,100,0,0,0,7
"1990","2456450","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990","2473120","1060",NA,NA,8,12.5,50,37.5,0,0,14
"1990","5915004","2410","VANCOUVER","SURREY CY",11,0,36.363636363636,45.454545454545,18.181818181818,0,39.1818181818182
"1990","5915055","2410","VANCOUVER","WEST VANCOUVER DM",1,0,100,0,0,0,11
"1994","2455065","1060","MONTRÉAL","SAINT-MATHIAS-SUR-RICHELIEU MÉ",1,0,100,0,0,0,6
"2001","2458020","1060","MONTRÉAL","CANDIAC V",9,44.444444444444,55.555555555556,0,0,0,7.44444444444444
"2006","2472005","1060","MONTRÉAL","SAINT-COLOMBAN V",6,0,100,0,0,0,6
"2007","2457040","1060","MONTRÉAL","BELOEIL V",NA,NA,NA,NA,NA,NA,NA
"2007","2459015","1060","MONTRÉAL","SAINT-AMABLE MÉ",NA,NA,NA,NA,NA,NA,NA
"2008","5915025","2410","VANCOUVER","BURNABY CY",5,0,0,20,20,60,119.4
"2009","2464008","1060","MONTRÉAL","TERREBONNE V",10,30,60,10,0,0,7.5
"2011","2466072","1060","MONTRÉAL","MONT-ROYAL V",1,0,100,0,0,0,8
"2011","4806016","0140","CALGARY","CALGARY CY",13,46.153846153846,23.076923076923,23.076923076923,7.692307692308,0,21.1538461538462
"2014","2471040","1060","MONTRÉAL","BELOEIL V",1,0,100,0,0,0,6
"2021","2475017","1060","MONTRÉAL","SAINT-JÉRÔME V",5,40,40,0,0,20,34.4
"1989","2462240","1060",NA,NA,7,28.571428571429,71.428571428571,0,0,0,6.85714285714286
"1989","3521010","2270","TORONTO","BRAMPTON CY",3,0,0,0,0,100,131
"1991","3520014","2270","TORONTO","BRADFORD WEST GWILLIMBURY T",1,0,0,0,0,100,125
"1992","2462510","1060",NA,NA,3,0,100,0,0,0,6
"1999","2458020","1060","MONTRÉAL","CANDIAC V",10,40,60,0,0,0,8.2
"2001","2475035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",1,100,0,0,0,0,4
"2007","5915022","2410","VANCOUVER","VANCOUVER CY",17,0,29.411764705882,23.529411764706,29.411764705882,17.647058823529,73.2352941176471
"2009","2475017","1060","MONTRÉAL","SAINT-JÉRÔME V",15,46.666666666667,46.666666666667,0,6.666666666667,0,10.3333333333333
"2010","2466142","1060","MONTRÉAL","DOLLARD DES ORMEAUX V",4,0,75,25,0,0,22.25
"2010","5915004","2410","VANCOUVER","SURREY CY",2,0,0,0,50,50,88
"2011","2466097","1060","MONTRÉAL","POINTE-CLAIRE V",1,0,0,100,0,0,31
"2013","2460020","1060","MONTRÉAL","CANDIAC V",1,0,100,0,0,0,6
"2013","3519036","2270","TORONTO","MARKHAM T",1,0,0,0,0,100,402
"2014","5915055","2410","VANCOUVER","WEST VANCOUVER DM",1,0,100,0,0,0,12
"2015","2457045","1060","MONTRÉAL","SAINT-MATHIEU-DE-BELOEIL MÉ",1,0,100,0,0,0,12
"2016","2472010","1060","MONTRÉAL","DEUX-MONTAGNES V",2,0,0,50,0,50,113.5
"2017","2466097","1060","MONTRÉAL","POINTE-CLAIRE V",1,0,0,100,0,0,32
"2022","2466097","1060","MONTRÉAL","POINTE-CLAIRE V",1,0,0,0,100,0,80
"2022","5915004","2410","VANCOUVER","SURREY CY",6,0,0,16.666666666667,50,33.333333333333,112.166666666667
"1988","3520001","2270","TORONTO","PICKERING CY",1,0,0,0,100,0,83
"1989","2465540","1060",NA,NA,1,0,0,100,0,0,47
"1990","2465700","1060",NA,NA,17,17.647058823529,64.705882352941,17.647058823529,0,0,12.4117647058824
"1999","5915034","2410","VANCOUVER","COQUITLAM CY",1,0,0,100,0,0,46
"2002","5915007","2410","VANCOUVER","WHITE ROCK CY",NA,NA,NA,NA,NA,NA,NA
"2004","2458227","1060","MONTRÉAL","LONGUEUIL V",44,31.818181818182,59.090909090909,2.272727272727,6.818181818182,0,13.1818181818182
"2008","2473005","1060","MONTRÉAL","SAINT-COLOMBAN V",9,0,100,0,0,0,6
"2010","2467045","1060","MONTRÉAL","SAINT-MATHIEU-DE-BELOEIL MÉ",7,0,100,0,0,0,6
"2010","3520005","2270","TORONTO","AJAX T",37,0,32.432432432432,8.108108108108,5.405405405405,54.054054054054,157.405405405405
"2011","5915022","2410","VANCOUVER","VANCOUVER CY",12,8.333333333333,16.666666666667,16.666666666667,16.666666666667,41.666666666667,86
"2012","2466142","1060","MONTRÉAL","DOLLARD DES ORMEAUX V",2,0,0,100,0,0,44
"2019","5915002","2410","VANCOUVER","LANGLEY CY",3,0,0,33.333333333333,66.666666666667,0,78.6666666666667
"2021","2471070","1060","MONTRÉAL","PINCOURT V",NA,NA,NA,NA,NA,NA,NA
"1995","2467020","1060","MONTRÉAL","CANDIAC V",4,0,100,0,0,0,6
"1998","2466085","1060",NA,NA,1,0,0,100,0,0,28
"1998","2473005","1060","MONTRÉAL","SAINT-COLOMBAN V",1,0,100,0,0,0,11
"1998","3506014","1265",NA,NA,1,100,0,0,0,0,5
"2001","5915025","2410","VANCOUVER","BURNABY CY",4,0,25,0,0,75,99.75
"2002","2465005","1060","MONTRÉAL","SAINT-COLOMBAN V",57,31.578947368421,66.666666666667,1.754385964912,0,0,6.47368421052632
"2003","2473030","1060","MONTRÉAL","BOIS-DES-FILION V",1,0,100,0,0,0,6
"2005","3521010","2270","TORONTO","BRAMPTON CY",1,0,0,0,0,100,360
"2008","2466058","1060","MONTRÉAL","CÔTE SAINT-LUC V",3,0,100,0,0,0,7.33333333333333
"2009","2471060","1060","MONTRÉAL","L'ÎLE-PERROT V",NA,NA,NA,NA,NA,NA,NA
"2010","2467020","1060","MONTRÉAL","CANDIAC V",NA,NA,NA,NA,NA,NA,NA
"2011","3521010","2270","TORONTO","BRAMPTON CY",1,0,0,100,0,0,49
"2014","2465005","1060","MONTRÉAL","SAINT-COLOMBAN V",15,26.666666666667,53.333333333333,13.333333333333,6.666666666667,0,16.6
"2016","2473020","1060","MONTRÉAL","CANDIAC V",2,100,0,0,0,0,4
"2016","5915001","2410","VANCOUVER","LANGLEY DM",1,0,0,0,100,0,68
"2020","2466023","1060","MONTRÉAL","MONTRÉAL V",55,18.181818181818,23.636363636364,18.181818181818,7.272727272727,32.727272727273,87.0727272727273
"2022","2457040","1060","MONTRÉAL","BELOEIL V",NA,NA,NA,NA,NA,NA,NA
"1990","3506027","1265",NA,NA,2,0,0,100,0,0,24
"1990","3521005","2270","TORONTO","AJAX T",4,0,0,0,25,75,139.75
"1994","5915015","2410","VANCOUVER","RICHMOND CY",4,0,0,0,100,0,77.5
"1995","2458030","1060","MONTRÉAL","BOIS-DES-FILION V",NA,NA,NA,NA,NA,NA,NA
"1995","2466035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",9,55.555555555556,33.333333333333,11.111111111111,0,0,11
"1995","2471060","1060","MONTRÉAL","L'ÎLE-PERROT V",1,0,100,0,0,0,6
"2002","3502048","1265","OTTAWA","RUSSELL TP",NA,NA,NA,NA,NA,NA,NA
"2006","3521005","2270","TORONTO","AJAX T",24,0,83.333333333333,0,0,16.666666666667,69.7916666666667
"2006","5915029","2410","VANCOUVER","NEW WESTMINSTER CY",2,0,0,0,50,50,100.5
"2009","5915051","2410","VANCOUVER","NORTH VANCOUVER CY",NA,NA,NA,NA,NA,NA,NA
"2010","4806021","0140","CALGARY","AIRDRIE CY",1,0,0,100,0,0,39
"2011","4811061","0340","EDMONTON","EDMONTON CY",7,0,0,57.142857142857,28.571428571429,14.285714285714,80.1428571428571
"2016","4806016","0140","CALGARY","CALGARY CY",33,9.090909090909,42.424242424242,21.212121212121,21.212121212121,6.060606060606,42.2424242424242
"2017","2472025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",3,0,100,0,0,0,7
"2017","5915025","2410","VANCOUVER","BURNABY CY",8,0,12.5,0,37.5,50,173.875
"2020","5915001","2410","VANCOUVER","LANGLEY DM",13,0,0,38.461538461538,46.153846153846,15.384615384615,77.3076923076923
"2022","2471025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",1,0,100,0,0,0,12
"2022","4811061","0340","EDMONTON","EDMONTON CY",33,51.515151515152,6.060606060606,12.121212121212,12.121212121212,18.181818181818,51.6363636363636
"1988","2457280","1060",NA,NA,2,0,100,0,0,0,7
"1989","2457320","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1989","3520004","2270",NA,NA,11,0,45.454545454545,0,9.090909090909,45.454545454545,115.272727272727
"1994","4806016","0140","CALGARY","CALGARY CY",5,100,0,0,0,0,4
"1994","5915029","2410","VANCOUVER","NEW WESTMINSTER CY",4,0,0,75,0,25,57.5
"1996","3506006","1265",NA,NA,2,0,100,0,0,0,12
"1999","2466025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",53,13.207547169811,79.245283018868,5.660377358491,0,1.88679245283,10.5283018867925
"2000","2459010","1060","MONTRÉAL","DEUX-MONTAGNES V",1,0,100,0,0,0,16
"2001","3521005","2270","TORONTO","AJAX T",2,0,0,0,50,50,92.5
"2008","2467015","1060","MONTRÉAL","SAINT-AMABLE MÉ",2,0,100,0,0,0,8
"2009","2452007","1060","MONTRÉAL","BROSSARD V",NA,NA,NA,NA,NA,NA,NA
"2010","5915046","2410","VANCOUVER","NORTH VANCOUVER DM",1,0,0,0,0,100,129
"2011","2466007","1060","MONTRÉAL","BROSSARD V",2,0,100,0,0,0,8
"2016","2472025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",1,0,100,0,0,0,6
"1989","3506006","1265",NA,NA,2,0,100,0,0,0,12.5
"1990","2456580","1060",NA,NA,1,0,0,100,0,0,40
"1992","2463130","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1993","2463190","1060",NA,NA,1,0,100,0,0,0,8
"1999","2467035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",NA,NA,NA,NA,NA,NA,NA
"2003","2467015","1060","MONTRÉAL","SAINT-AMABLE MÉ",NA,NA,NA,NA,NA,NA,NA
"2004","2452007","1060","MONTRÉAL","BROSSARD V",1,0,100,0,0,0,6
"2006","2473015","1060","MONTRÉAL","SAINT-AMABLE MÉ",9,0,100,0,0,0,8.44444444444444
"2007","2472020","1060","MONTRÉAL","CANDIAC V",NA,NA,NA,NA,NA,NA,NA
"2008","2457020","1060","MONTRÉAL","CANDIAC V",1,0,0,100,0,0,27
"2010","2458037","1060","MONTRÉAL","SAINT-BRUNO-DE-MONTARVILLE V",5,20,60,20,0,0,14
"2010","2472025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",4,0,100,0,0,0,6
"2015","2472005","1060","MONTRÉAL","SAINT-COLOMBAN V",1,0,0,100,0,0,35
"2015","5915007","2410","VANCOUVER","WHITE ROCK CY",NA,NA,NA,NA,NA,NA,NA
"2016","2452007","1060","MONTRÉAL","BROSSARD V",NA,NA,NA,NA,NA,NA,NA
"2020","2464015","1060","MONTRÉAL","SAINT-AMABLE MÉ",1,0,100,0,0,0,18
"2021","2467015","1060","MONTRÉAL","SAINT-AMABLE MÉ",2,0,0,50,0,50,76
"2021","2472025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",3,0,100,0,0,0,6
"2022","3519038","2270","TORONTO","RICHMOND HILL T",5,0,60,0,20,20,49.2
"1989","5915046","2410","VANCOUVER","NORTH VANCOUVER DM",5,0,80,20,0,0,18.2
"1990","3520008","2270",NA,NA,2,0,0,0,0,100,135.5
"1991","2469480","1060",NA,NA,2,0,100,0,0,0,7
"1996","2458005","1060","MONTRÉAL","SAINT-COLOMBAN V",4,0,100,0,0,0,6
"2000","2459005","1060","MONTRÉAL","SAINT-COLOMBAN V",NA,NA,NA,NA,NA,NA,NA
"2000","4811062","0340","EDMONTON","ST. ALBERT CY",1,0,100,0,0,0,18
"2001","5915002","2410","VANCOUVER","LANGLEY CY",1,0,0,100,0,0,34
"2006","2458227","1060","MONTRÉAL","LONGUEUIL V",16,12.5,87.5,0,0,0,7.5625
"2009","2460013","1060","MONTRÉAL","REPENTIGNY V",6,0,100,0,0,0,7.66666666666667
"2010","2459015","1060","MONTRÉAL","SAINT-AMABLE MÉ",3,0,100,0,0,0,7.33333333333333
"2010","2464008","1060","MONTRÉAL","TERREBONNE V",10,0,100,0,0,0,9.2
"2010","4806016","0140","CALGARY","CALGARY CY",6,16.666666666667,33.333333333333,33.333333333333,0,16.666666666667,42.5
"2013","2467045","1060","MONTRÉAL","SAINT-MATHIEU-DE-BELOEIL MÉ",NA,NA,NA,NA,NA,NA,NA
"2019","2457025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",2,0,100,0,0,0,8
"1991","2456120","1060",NA,NA,7,0,100,0,0,0,7.14285714285714
"1993","2465420","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1993","2466500","1060",NA,NA,8,0,100,0,0,0,6.75
"2004","3519036","2270","TORONTO","MARKHAM T",2,0,0,0,0,100,251
"2004","5915043","2410","VANCOUVER","PORT MOODY CY",1,0,0,100,0,0,52
"2005","2467050","1060","MONTRÉAL","CHÂTEAUGUAY V",3,100,0,0,0,0,4.66666666666667
"2007","5915039","2410","VANCOUVER","PORT COQUITLAM CY",11,0,45.454545454545,27.272727272727,27.272727272727,0,36.4545454545455
"2010","2464015","1060","MONTRÉAL","SAINT-AMABLE MÉ",22,0,95.454545454545,4.545454545455,0,0,9.54545454545454
"2011","2457030","1060","MONTRÉAL","BOIS-DES-FILION V",2,100,0,0,0,0,4
"2012","2458007","1060","MONTRÉAL","BROSSARD V",20,25,65,5,0,5,26.15
"2012","2465005","1060","MONTRÉAL","SAINT-COLOMBAN V",26,26.923076923077,53.846153846154,19.230769230769,0,0,10.9230769230769
"2015","2471033","1060","MONTRÉAL","LES COTEAUX MÉ",2,0,100,0,0,0,7.5
"2016","2467015","1060","MONTRÉAL","SAINT-AMABLE MÉ",13,53.846153846154,46.153846153846,0,0,0,6.15384615384615
"2017","5915007","2410","VANCOUVER","WHITE ROCK CY",NA,NA,NA,NA,NA,NA,NA
"2018","2471065","1060","MONTRÉAL","SAINT-MATHIAS-SUR-RICHELIEU MÉ",2,100,0,0,0,0,4
"2019","2460028","1060","MONTRÉAL","L'ASSOMPTION V",1,0,100,0,0,0,6
"2020","2467010","1060","MONTRÉAL","DEUX-MONTAGNES V",2,0,100,0,0,0,11
"2022","2467010","1060","MONTRÉAL","DEUX-MONTAGNES V",1,0,0,100,0,0,24
"1991","4811049","0340","EDMONTON","SPRUCE GROVE CY",1,0,100,0,0,0,12
"2002","2472005","1060","MONTRÉAL","SAINT-COLOMBAN V",4,25,75,0,0,0,7
"2002","4806021","0140","CALGARY","AIRDRIE CY",2,0,0,100,0,0,57
"2003","2464008","1060","MONTRÉAL","TERREBONNE V",14,0,100,0,0,0,8.64285714285714
"2005","2470022","1060","MONTRÉAL","BEAUHARNOIS V",NA,NA,NA,NA,NA,NA,NA
"2005","5915034","2410","VANCOUVER","COQUITLAM CY",NA,NA,NA,NA,NA,NA,NA
"2006","4806021","0140","CALGARY","AIRDRIE CY",3,0,0,33.333333333333,33.333333333333,33.333333333333,82.3333333333333
"2009","2459020","1060","MONTRÉAL","CANDIAC V",1,0,0,100,0,0,35
"2010","2466023","1060","MONTRÉAL","MONTRÉAL V",103,10.679611650485,65.04854368932,13.592233009709,4.854368932039,5.825242718447,22.8834951456311
"2011","2464015","1060","MONTRÉAL","SAINT-AMABLE MÉ",28,21.428571428571,67.857142857143,7.142857142857,3.571428571429,0,14.2857142857143
"2017","2455065","1060","MONTRÉAL","SAINT-MATHIAS-SUR-RICHELIEU MÉ",NA,NA,NA,NA,NA,NA,NA
"2021","2459010","1060","MONTRÉAL","DEUX-MONTAGNES V",3,66.666666666667,33.333333333333,0,0,0,6.66666666666667
"1988","5915015","2410","VANCOUVER","RICHMOND CY",1,0,0,100,0,0,28
"1989","2464500","1060",NA,NA,60,18.333333333333,71.666666666667,10,0,0,9.41666666666667
"1991","2465480","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1992","2463190","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1995","2458010","1060","MONTRÉAL","DEUX-MONTAGNES V",2,0,100,0,0,0,6
"1996","5915002","2410","VANCOUVER","LANGLEY CY",1,0,0,100,0,0,28
"2000","4811052","0340","EDMONTON","STRATHCONA COUNTY SM",2,0,0,50,50,0,74
"2002","2464015","1060","MONTRÉAL","SAINT-AMABLE MÉ",3,0,100,0,0,0,11.3333333333333
"2003","3543014","2270","TORONTO","BRADFORD WEST GWILLIMBURY T",1,0,0,100,0,0,45
"2009","2464015","1060","MONTRÉAL","SAINT-AMABLE MÉ",9,0,88.888888888889,0,11.111111111111,0,19.6666666666667
"2009","2471040","1060","MONTRÉAL","BELOEIL V",NA,NA,NA,NA,NA,NA,NA
"2010","2460028","1060","MONTRÉAL","L'ASSOMPTION V",1,0,100,0,0,0,14
"2010","2474005","1060","MONTRÉAL","SAINT-COLOMBAN V",1,0,100,0,0,0,6
"2010","3521005","2270","TORONTO","AJAX T",4,0,0,100,0,0,45.25
"2022","3520005","2270","TORONTO","AJAX T",32,0,0,18.75,12.5,68.75,214.0625
"1988","3506012","1265",NA,NA,2,0,0,0,100,0,67
"1990","3524009","2270","TORONTO","MILTON T",1,0,0,0,0,100,154
"1992","2469600","1060",NA,NA,5,80,20,0,0,0,4.8
"1994","3519028","2270","TORONTO","VAUGHAN CY",1,0,0,0,0,100,137
"1997","2464020","1060","MONTRÉAL","CANDIAC V",NA,NA,NA,NA,NA,NA,NA
"2004","2465005","1060","MONTRÉAL","SAINT-COLOMBAN V",57,38.59649122807,49.122807017544,12.280701754386,0,0,10.7017543859649
"2005","5915043","2410","VANCOUVER","PORT MOODY CY",3,0,0,33.333333333333,33.333333333333,33.333333333333,90.6666666666667
"2010","2457035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",2,0,100,0,0,0,6
"2011","5915001","2410","VANCOUVER","LANGLEY DM",NA,NA,NA,NA,NA,NA,NA
"2015","2471050","1060","MONTRÉAL","CHÂTEAUGUAY V",NA,NA,NA,NA,NA,NA,NA
"2021","5915025","2410","VANCOUVER","BURNABY CY",9,0,0,22.222222222222,0,77.777777777778,265.666666666667
"2022","2473030","1060","MONTRÉAL","BOIS-DES-FILION V",NA,NA,NA,NA,NA,NA,NA
"1990","5915011","2410","VANCOUVER","DELTA DM",6,0,33.333333333333,33.333333333333,33.333333333333,0,48.1666666666667
"1992","3502039","1265",NA,NA,2,100,0,0,0,0,4
"1996","5915001","2410","VANCOUVER","LANGLEY DM",6,16.666666666667,66.666666666667,16.666666666667,0,0,9.66666666666667
"2002","3519036","2270","TORONTO","MARKHAM T",1,0,0,0,0,100,115
"2009","2474005","1060","MONTRÉAL","SAINT-COLOMBAN V",4,25,75,0,0,0,5.5
"2012","2471025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",1,0,100,0,0,0,15
"2015","2457010","1060","MONTRÉAL","DEUX-MONTAGNES V",3,0,66.666666666667,33.333333333333,0,0,19.3333333333333
"2019","2460013","1060","MONTRÉAL","REPENTIGNY V",3,0,66.666666666667,0,0,33.333333333333,119.333333333333
"2022","2457025","1060","MONTRÉAL","SAINT-ZOTIQUE VL",4,75,0,25,0,0,13.25
"1988","2465180","1060",NA,NA,4,25,0,75,0,0,33.75
"1991","5915025","2410","VANCOUVER","BURNABY CY",1,0,0,100,0,0,34
"1993","2456650","1060",NA,NA,2,0,50,50,0,0,27.5
"1993","3519036","2270","TORONTO","MARKHAM T",1,0,100,0,0,0,14
"1994","5915004","2410","VANCOUVER","SURREY CY",16,0,12.5,81.25,6.25,0,43.1875
"1996","2457035","1060","MONTRÉAL","SAINTE-ANNE-DES-PLAINES V",6,0,100,0,0,0,6.33333333333333
"2007","2471065","1060","MONTRÉAL","SAINT-MATHIAS-SUR-RICHELIEU MÉ",1,0,100,0,0,0,12
"2008","3521005","2270","TORONTO","AJAX T",1,0,0,0,0,100,279
"2009","2457020","1060","MONTRÉAL","CANDIAC V",1,0,100,0,0,0,7
"2010","2460013","1060","MONTRÉAL","REPENTIGNY V",22,4.545454545455,95.454545454545,0,0,0,6.63636363636364
"2014","4811049","0340","EDMONTON","SPRUCE GROVE CY",1,0,0,0,0,100,104
"2015","4811061","0340","EDMONTON","EDMONTON CY",54,7.407407407407,20.37037037037,14.814814814815,42.592592592593,14.814814814815,66.1481481481482
"2018","2457005","1060","MONTRÉAL","SAINT-COLOMBAN V",27,81.481481481481,18.518518518519,0,0,0,5.22222222222222
"2019","2471040","1060","MONTRÉAL","BELOEIL V",3,0,100,0,0,0,7
"1988","3518029","2270","TORONTO","UXBRIDGE TP",1,0,100,0,0,0,7
"1993","2456750","1060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996","5915018","2410",NA,NA,1,0,0,0,100,0,87
"1999","2465005","1060","MONTRÉAL","SAINT-COLOMBAN V",7,42.857142857143,57.142857142857,0,0,0,5.71428571428571
"2013","2473005","1060","MONTRÉAL","SAINT-COLOMBAN V",1,0,100,0,0,0,12
"2013","5915025","2410","VANCOUVER","BURNABY CY",5,0,0,20,20,60,195.8
"2014","2464008","1060","MONTRÉAL","TERREBONNE V",4,50,50,0,0,0,8.25
"2016","2475017","1060","MONTRÉAL","SAINT-JÉRÔME V",17,17.647058823529,76.470588235294,5.882352941176,0,0,7.76470588235294
"2017","2466087","1060","MONTRÉAL","DORVAL CÉ",1,0,0,0,100,0,71
"2017","2472015","1060","MONTRÉAL","SAINT-AMABLE MÉ",6,0,100,0,0,0,6
"2020","4811016","0340","EDMONTON","LEDUC CY",NA,NA,NA,NA,NA,NA,NA
"2022","2467005","1060","MONTRÉAL","SAINT-COLOMBAN V",5,0,100,0,0,0,6
"2022","5915046","2410","VANCOUVER","NORTH VANCOUVER DM",NA,NA,NA,NA,NA,NA,NA
"1990","2465480","1060",NA,NA,1,0,0,100,0,0,49
"1991","2473120","1060",NA,NA,6,0,83.333333333333,16.666666666667,0,0,13.3333333333333
