"ref_yy","metcode","metro","total_structures","share_three_to_five","share_six_to_twenty","share_twentyone_to_sixty","share_sixtyone_to_onehundred","share_greater_than_onehundred","avg_number_of_units"
"2003","2410","VANCOUVER",38,0,13.157894736842,55.263157894737,13.157894736842,18.421052631579,55.1315789473684
"2000","2270","TORONTO",40,2.5,12.5,27.5,15,42.5,97.45
"2019","2410","VANCOUVER",115,2.608695652174,14.782608695652,21.739130434783,24.347826086957,36.521739130435,101.452173913043
"2015","1060","MONTRÉAL",227,24.229074889868,57.26872246696,12.334801762115,2.643171806167,3.52422907489,19.8898678414097
"1992","2270","TORONTO",54,1.851851851852,27.777777777778,20.37037037037,11.111111111111,38.888888888889,82.3888888888889
"2012","0340","EDMONTON",23,0,8.695652173913,39.130434782609,47.826086956522,4.347826086957,61.3913043478261
"2022","2410","VANCOUVER",99,3.030303030303,32.323232323232,19.191919191919,18.181818181818,27.272727272727,75.1717171717172
"1997","1060","MONTRÉAL",141,21.985815602837,70.212765957447,6.382978723404,1.418439716312,0,9.06382978723404
"2011","0140","CALGARY",13,46.153846153846,23.076923076923,23.076923076923,7.692307692308,0,21.1538461538462
"2001","2270","TORONTO",52,0,19.230769230769,21.153846153846,7.692307692308,51.923076923077,138.365384615385
"2012","2410","VANCOUVER",66,1.515151515152,18.181818181818,18.181818181818,28.787878787879,33.333333333333,85.2424242424242
"2020","0140","CALGARY",25,12,32,16,32,8,46.88
"2008","0140","CALGARY",44,11.363636363636,15.909090909091,13.636363636364,13.636363636364,45.454545454545,104.886363636364
"2009","1265","OTTAWA",16,12.5,68.75,6.25,6.25,6.25,28.5
"2002","1265","OTTAWA",14,7.142857142857,28.571428571429,7.142857142857,0,57.142857142857,82.5
"2012","0140","CALGARY",40,12.5,7.5,32.5,22.5,25,71.425
"1992","0340","EDMONTON",6,0,50,33.333333333333,16.666666666667,0,30.5
"1999","1060",NA,140,15.714285714286,75,5.714285714286,2.857142857143,0.714285714286,11.0857142857143
"2018","1265","OTTAWA",24,0,75,12.5,4.166666666667,8.333333333333,30.3333333333333
"1999","0140","CALGARY",32,9.375,31.25,37.5,9.375,12.5,41.90625
"1992","2410","VANCOUVER",90,8.888888888889,37.777777777778,36.666666666667,8.888888888889,7.777777777778,36.0888888888889
"1990","0340","EDMONTON",10,10,20,40,30,0,45.3
"1998","1060","MONTRÉAL",127,16.535433070866,76.377952755906,6.299212598425,0.787401574803,0,9.25196850393701
"2010","2270","TORONTO",43,0,27.906976744186,18.604651162791,4.651162790698,48.837209302326,143.06976744186
"2001","2410","VANCOUVER",45,8.888888888889,6.666666666667,33.333333333333,28.888888888889,22.222222222222,73.1555555555556
"2009","2410","VANCOUVER",22,4.545454545455,22.727272727273,36.363636363636,9.090909090909,27.272727272727,63.2272727272727
"2002","0140","CALGARY",28,7.142857142857,21.428571428571,35.714285714286,17.857142857143,17.857142857143,55.2142857142857
"2013","0140","CALGARY",49,38.775510204082,36.734693877551,16.326530612245,6.122448979592,2.040816326531,20.4285714285714
"1989","1265",NA,17,0,58.823529411765,11.764705882353,17.647058823529,11.764705882353,44.5294117647059
"2022","1265","OTTAWA",30,0,50,23.333333333333,10,16.666666666667,51.5666666666667
"2009","1060","MONTRÉAL",280,14.642857142857,69.642857142857,7.857142857143,5,2.857142857143,17.1285714285714
"1991","1060",NA,213,26.291079812207,67.136150234742,4.225352112676,0.93896713615,1.408450704225,11.112676056338
"2003","0340","EDMONTON",28,0,17.857142857143,50,25,7.142857142857,52.5
"2007","0140","CALGARY",32,15.625,37.5,18.75,12.5,15.625,51.125
"1998","0340","EDMONTON",8,0,0,50,25,25,67.875
"1998","2270","TORONTO",23,8.695652173913,21.739130434783,21.739130434783,4.347826086957,43.478260869565,93.4782608695652
"2005","0140","CALGARY",24,33.333333333333,16.666666666667,25,8.333333333333,16.666666666667,49.5
