reference_period,metro,metcode,dweltype,mkttycd,underconstr,num_structures,unitsperstructure,avgstorycount,underconstr_per_10kpop
2001,Calgary,0140,5.0,3.0,2480.0,49,50.61,1.1,24.68
2001,Calgary,0140,2.0,1.0,182.0,91,2.0,0.0,1.81
2001,Calgary,0140,4.0,3.0,800.0,175,4.57,0.0,7.96
2002,Calgary,0140,1.0,3.0,16.0,16,1.0,0.0,0.16
2002,Calgary,0140,1.0,1.0,3962.0,3962,1.0,0.0,38.58
2002,Calgary,0140,2.0,2.0,2.0,1,2.0,0.0,0.02
2002,Calgary,0140,5.0,3.0,2751.0,58,47.43,0.05,26.79
2002,Calgary,0140,2.0,3.0,266.0,133,2.0,0.0,2.59
2002,Calgary,0140,5.0,1.0,10.0,2,5.0,0.0,0.1
2002,Calgary,0140,5.0,2.0,546.0,5,109.2,0.0,5.32
2002,Calgary,0140,2.0,1.0,262.0,131,2.0,0.0,2.55
2002,Calgary,0140,4.0,1.0,22.0,6,3.67,0.0,0.21
2002,Calgary,0140,4.0,3.0,824.0,160,5.15,0.0,8.02
2003,Calgary,0140,1.0,1.0,3526.0,3526,1.0,0.0,33.6
2003,Calgary,0140,2.0,1.0,346.0,173,2.0,0.0,3.3
2003,Calgary,0140,2.0,3.0,200.0,100,2.0,0.0,1.91
2003,Calgary,0140,5.0,3.0,2961.0,59,50.19,0.0,28.21
2003,Calgary,0140,2.0,2.0,6.0,3,2.0,0.0,0.06
2003,Calgary,0140,4.0,1.0,31.0,9,3.44,0.0,0.3
2003,Calgary,0140,1.0,3.0,1.0,1,1.0,0.0,0.01
2003,Calgary,0140,4.0,3.0,853.0,160,5.33,0.0,8.13
2003,Calgary,0140,5.0,2.0,240.0,3,80.0,0.0,2.29
2003,Calgary,0140,5.0,1.0,1.0,1,1.0,0.0,0.01
2004,Calgary,0140,2.0,1.0,474.0,237,2.0,0.0,4.37
2004,Calgary,0140,2.0,2.0,4.0,2,2.0,0.0,0.04
2004,Calgary,0140,5.0,3.0,3969.0,68,58.37,0.0,36.62
2004,Calgary,0140,4.0,3.0,619.0,119,5.2,0.0,5.71
2004,Calgary,0140,5.0,2.0,463.0,4,115.75,0.0,4.27
2004,Calgary,0140,5.0,1.0,1.0,1,1.0,0.0,0.01
2004,Calgary,0140,2.0,3.0,170.0,85,2.0,0.0,1.57
2004,Calgary,0140,4.0,1.0,20.0,6,3.33,0.0,0.18
2004,Calgary,0140,1.0,1.0,3456.0,3456,1.0,0.0,31.89
2004,Calgary,0140,1.0,3.0,6.0,6,1.0,0.0,0.06
2005,Calgary,0140,5.0,2.0,21.0,1,21.0,0.0,0.19
2005,Calgary,0140,2.0,3.0,184.0,92,2.0,0.0,1.64
2005,Calgary,0140,4.0,1.0,22.0,7,3.14,0.0,0.2
2005,Calgary,0140,4.0,3.0,935.0,163,5.74,0.0,8.34
2005,Calgary,0140,5.0,3.0,4133.0,69,59.9,0.0,36.88
2005,Calgary,0140,1.0,1.0,4203.0,4203,1.0,0.0,37.5
2005,Calgary,0140,5.0,1.0,5.0,3,1.67,0.0,0.04
2005,Calgary,0140,2.0,1.0,522.0,261,2.0,0.0,4.66
2005,Calgary,0140,1.0,3.0,2.0,2,1.0,0.0,0.02
2006,Calgary,0140,4.0,1.0,12.0,3,4.0,0.0,0.1
2006,Calgary,0140,2.0,1.0,772.0,386,2.0,0.0,6.7
2006,Calgary,0140,5.0,2.0,188.0,3,62.67,0.0,1.63
2006,Calgary,0140,1.0,3.0,7.0,7,1.0,0.0,0.06
2006,Calgary,0140,2.0,3.0,148.0,74,2.0,0.0,1.29
2006,Calgary,0140,5.0,3.0,5550.0,92,60.33,2.5,48.19
2006,Calgary,0140,4.0,3.0,1161.0,203,5.72,0.0,10.08
2006,Calgary,0140,5.0,1.0,1.0,1,1.0,0.0,0.01
2006,Calgary,0140,1.0,1.0,6485.0,6485,1.0,0.0,56.31
2007,Calgary,0140,1.0,1.0,5109.0,5109,1.0,0.0,43.17
2007,Calgary,0140,1.0,3.0,1.0,1,1.0,0.0,0.01
2007,Calgary,0140,2.0,3.0,78.0,39,2.0,0.0,0.66
2007,Calgary,0140,4.0,1.0,55.0,7,7.86,0.0,0.46
2007,Calgary,0140,5.0,2.0,121.0,4,30.25,0.0,1.02
