reference_period,metro,metcode,stcan_cmacode,censustr,underconstr,num_structures,unitsperstructure,avgstorycount,underconstr_per_10kpop
2010,Calgary,0140,825,0033.02,3.0,2,1.5,0.0,0.02
2010,Calgary,0140,825,0040.00,9.0,4,2.25,0.0,0.07
2010,Calgary,0140,825,9006.00,82.0,61,1.34,0.0,0.65
2010,Calgary,0140,825,0002.04,49.0,39,1.26,0.0,0.39
2010,Calgary,0140,825,0024.00,84.0,36,2.33,0.06,0.67
2010,Calgary,0140,825,0038.18,1.0,1,1.0,0.0,0.01
2010,Calgary,0140,825,0038.26,194.0,135,1.44,0.0,1.54
2010,Calgary,0140,825,0050.01,4.0,3,1.33,0.0,0.03
2010,Calgary,0140,825,0077.10,411.0,17,24.18,0.47,3.26
2010,Calgary,0140,825,0014.00,4.0,4,1.0,0.0,0.03
2010,Calgary,0140,825,0204.01,42.0,26,1.62,0.0,0.33
2010,Calgary,0140,825,0037.00,6.0,2,3.0,0.0,0.05
2010,Calgary,0140,825,0077.03,1.0,1,1.0,0.0,0.01
2011,Calgary,0140,825,0002.13,898.0,528,1.7,0.0,6.93
2011,Calgary,0140,825,0050.01,10.0,2,5.0,0.0,0.08
2011,Calgary,0140,825,0025.00,60.0,33,1.82,0.0,0.46
2011,Calgary,0140,825,0044.00,524.0,3,174.67,18.67,4.05
2011,Calgary,0140,825,0047.00,12.0,10,1.2,0.0,0.09
2011,Calgary,0140,825,0060.00,145.0,11,13.18,0.0,1.12
2011,Calgary,0140,825,0022.00,55.0,32,1.72,0.0,0.42
2011,Calgary,0140,825,0015.00,8.0,6,1.33,0.0,0.06
2011,Calgary,0140,825,0026.00,18.0,4,4.5,0.75,0.14
2011,Calgary,0140,825,0052.03,2.0,2,1.0,0.0,0.02
2011,Calgary,0140,825,0059.00,18.0,10,1.8,0.0,0.14
2011,Calgary,0140,825,0201.02,10.0,10,1.0,0.0,0.08
2011,Calgary,0140,825,0206.03,29.0,18,1.61,0.0,0.22
2011,Calgary,0140,825,9005.02,16.0,16,1.0,0.0,0.12
2011,Calgary,0140,825,0052.03,1.0,1,1.0,0.0,0.01
2011,Calgary,0140,825,0076.11,99.0,9,11.0,0.44,0.76
2011,Calgary,0140,825,0032.00,11.0,10,1.1,0.0,0.08
2011,Calgary,0140,825,0077.21,2.0,2,1.0,0.0,0.02
2011,Calgary,0140,825,0001.27,130.0,77,1.69,0.0,1.0
2011,Calgary,0140,825,0001.24,122.0,39,3.13,0.1,0.94
2011,Calgary,0140,825,9000.02,8.0,8,1.0,0.0,0.06
2011,Calgary,0140,825,0011.00,1.0,1,1.0,0.0,0.01
2011,Calgary,0140,825,9006.00,96.0,60,1.6,0.0,0.74
2011,Calgary,0140,825,0019.00,11.0,6,1.83,0.0,0.08
2011,Calgary,0140,825,0045.00,214.0,1,214.0,28.0,1.65
2011,Calgary,0140,825,0049.01,2.0,2,1.0,0.0,0.02
2011,Calgary,0140,825,0066.02,2.0,2,1.0,0.0,0.02
2011,Calgary,0140,825,0077.22,2.0,2,1.0,0.0,0.02
2011,Calgary,0140,825,0062.00,51.0,14,3.64,0.0,0.39
2011,Calgary,0140,825,0024.00,63.0,39,1.62,0.0,0.49
2011,Calgary,0140,825,0205.03,19.0,15,1.27,0.0,0.15
2011,Calgary,0140,825,0206.03,173.0,154,1.12,0.0,1.34
2011,Calgary,0140,825,9005.02,1.0,1,1.0,0.0,0.01
2011,Calgary,0140,825,0027.00,6.0,6,1.0,0.0,0.05
2011,Calgary,0140,825,0041.00,253.0,14,18.07,0.43,1.95
2011,Calgary,0140,825,0065.00,15.0,9,1.67,0.0,0.12
2011,Calgary,0140,825,0077.01,1.0,1,1.0,0.0,0.01
2011,Calgary,0140,825,9001.00,1.0,1,1.0,0.0,0.01
2011,Calgary,0140,825,0037.00,2.0,1,2.0,0.0,0.02
2011,Calgary,0140,825,0057.00,119.0,20,5.95,0.0,0.92
2011,Calgary,0140,825,0076.13,17.0,17,1.0,0.0,0.13
2011,Calgary,0140,825,0205.02,1.0,1,1.0,0.0,0.01
2011,Calgary,0140,825,0204.03,3.0,3,1.0,0.0,0.02
2011,Calgary,0140,825,0001.14,1.0,1,1.0,0.0,0.01
2011,Calgary,0140,825,0001.02,1.0,1,1.0,0.0,0.01
2011,Calgary,0140,825,0205.01,70.0,60,1.17,0.0,0.54
2011,Calgary,0140,825,0207.00,128.0,68,1.88,0.0,0.99
2011,Calgary,0140,825,0018.00,2.0,1,2.0,0.0,0.02
2011,Calgary,0140,825,0051.00,9.0,6,1.5,0.0,0.07
2011,Calgary,0140,825,0077.11,1.0,1,1.0,0.0,0.01
2011,Calgary,0140,825,0200.03,1.0,1,1.0,0.0,0.01
2011,Calgary,0140,825,9000.02,2.0,2,1.0,0.0,0.02
2011,Calgary,0140,825,9002.00,4.0,4,1.0,0.0,0.03
2011,Calgary,0140,825,0038.29,7.0,7,1.0,0.0,0.05
2011,Calgary,0140,825,0064.00,38.0,23,1.65,0.0,0.29
2011,Calgary,0140,825,0200.03,5.0,5,1.0,0.0,0.04
2011,Calgary,0140,825,0028.00,30.0,30,1.0,0.0,0.23
2011,Calgary,0140,825,0034.00,190.0,11,17.27,0.0,1.47
2011,Calgary,0140,825,0050.03,64.0,64,1.0,0.0,0.49
2011,Calgary,0140,825,0053.00,26.0,15,1.73,0.0,0.2
2011,Calgary,0140,825,0068.00,1.0,1,1.0,0.0,0.01
2011,Calgary,0140,825,0002.05,5.0,5,1.0,0.0,0.04
2011,Calgary,0140,825,0017.01,1.0,1,1.0,0.0,0.01
2011,Calgary,0140,825,0063.00,72.0,20,3.6,0.0,0.56
2011,Calgary,0140,825,0072.00,28.0,18,1.56,0.0,0.22
2011,Calgary,0140,825,0007.04,2.0,2,1.0,0.0,0.02
2011,Calgary,0140,825,0014.00,8.0,8,1.0,0.0,0.06
2011,Calgary,0140,825,0058.00,18.0,14,1.29,0.0,0.14
2011,Calgary,0140,825,0038.26,658.0,171,3.85,0.05,5.08
2011,Calgary,0140,825,0040.00,1.0,1,1.0,0.0,0.01
2011,Calgary,0140,825,0077.10,226.0,38,5.95,0.11,1.75
2011,Calgary,0140,825,0206.01,161.0,114,1.41,0.0,1.24
2011,Calgary,0140,825,0054.00,132.0,32,4.13,0.0,1.02
2011,Calgary,0140,825,0056.00,48.0,33,1.45,0.0,0.37
2011,Calgary,0140,825,9013.00,30.0,30,1.0,0.0,0.23
2011,Calgary,0140,825,0013.00,1.0,1,1.0,0.0,0.01
2011,Calgary,0140,825,0020.00,42.0,25,1.68,0.0,0.32
2011,Calgary,0140,825,0021.00,36.0,19,1.89,0.11,0.28
2011,Calgary,0140,825,0023.00,89.0,68,1.31,0.0,0.69
2011,Calgary,0140,825,0031.00,277.0,2,138.5,18.0,2.14
2011,Calgary,0140,825,0050.05,74.0,73,1.01,0.0,0.57
2011,Calgary,0140,825,0071.00,11.0,8,1.38,0.0,0.08
2011,Calgary,0140,825,0075.02,2.0,1,2.0,0.0,0.02
2011,Calgary,0140,825,0001.26,91.0,5,18.2,0.0,0.7
2011,Calgary,0140,825,0042.00,217.0,1,217.0,42.0,1.68
2011,Calgary,0140,825,0002.04,238.0,107,2.22,0.0,1.84
2011,Calgary,0140,825,0035.01,1.0,1,1.0,0.0,0.01
2011,Calgary,0140,825,0046.02,7.0,4,1.75,0.0,0.05
2011,Calgary,0140,825,0002.09,1.0,1,1.0,0.0,0.01
2011,Calgary,0140,825,0052.08,13.0,13,1.0,0.0,0.1
2011,Calgary,0140,825,0055.00,18.0,18,1.0,0.0,0.14
2011,Calgary,0140,825,0076.10,558.0,317,1.76,0.0,4.31
2011,Calgary,0140,825,0048.00,12.0,9,1.33,0.0,0.09
2011,Calgary,0140,825,0077.15,2.0,2,1.0,0.0,0.02
2011,Calgary,0140,825,0001.21,127.0,92,1.38,0.0,0.98
2011,Calgary,0140,825,0070.00,3.0,3,1.0,0.0,0.02
2011,Calgary,0140,825,0074.00,1.0,1,1.0,0.0,0.01
2011,Calgary,0140,825,0205.03,92.0,42,2.19,0.0,0.71
