reference_period,metro,metcode,stcan_cmacode,censustr,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time
2005,Calgary,0140,825,0052.08,689.0,,,655,1.05,0.0,4.4904761904761905,0.0
2005,Calgary,0140,825,0203.00,26.0,,,21,1.24,0.0,7.285714285714286,0.0
2005,Calgary,0140,825,0001.14,2.0,,,2,1.0,0.0,10.5,0.0
2005,Calgary,0140,825,0038.20,52.0,,,5,10.4,0.0,25.2,5.0
2005,Calgary,0140,825,0050.01,6.0,,,4,1.5,0.0,8.0,2.0
2005,Calgary,0140,825,0077.12,17.0,,,17,1.0,0.0,7.764705882352941,0.0
2005,Calgary,0140,825,0002.13,1411.0,,,1109,1.27,0.0,4.591894439208294,0.0
2005,Calgary,0140,825,0051.00,10.0,,,4,2.5,0.0,8.25,3.0
2005,Calgary,0140,825,0066.02,150.0,,,1,150.0,0.0,12.0,5.0
2005,Calgary,0140,825,0076.13,5.0,,,5,1.0,0.0,9.6,0.0
2005,Calgary,0140,825,0022.00,87.0,,,35,2.49,0.0,8.028571428571428,2.0
2005,Calgary,0140,825,0032.00,6.0,,,3,2.0,0.0,10.0,0.0
2005,Calgary,0140,825,0063.00,23.0,,,15,1.53,0.0,8.8,0.0
2005,Calgary,0140,825,0201.00,94.0,,,94,1.0,0.0,8.815217391304348,1.0
2005,Calgary,0140,825,0047.00,10.0,,,9,1.11,0.0,9.222222222222221,0.0
2005,Calgary,0140,825,0050.02,1436.0,,,1061,1.35,0.0,5.629770992366412,0.0
2005,Calgary,0140,825,0021.00,36.0,,,21,1.71,0.0,9.428571428571429,0.0
2005,Calgary,0140,825,0072.00,15.0,,,9,1.67,0.0,7.111111111111111,1.0
2005,Calgary,0140,825,0074.00,3.0,,,2,1.5,0.0,10.0,0.0
2005,Calgary,0140,825,0002.12,1.0,,,1,1.0,0.0,6.0,0.0
2005,Calgary,0140,825,0035.01,14.0,,,3,4.67,0.0,7.666666666666667,1.0
2005,Calgary,0140,825,0071.00,5.0,,,5,1.0,0.0,7.8,1.0
2005,Calgary,0140,825,0014.00,27.0,,,1,27.0,0.0,11.0,0.0
2005,Calgary,0140,825,0023.00,44.0,,,36,1.22,0.0,8.63888888888889,0.0
2005,Calgary,0140,825,0056.00,43.0,,,33,1.3,0.0,9.727272727272727,0.0
2005,Calgary,0140,825,0062.00,46.0,,,26,1.77,0.0,9.615384615384615,1.0
2005,Calgary,0140,825,0068.00,1.0,,,1,1.0,0.0,16.0,0.0
2005,Calgary,0140,825,0204.00,589.0,,,495,1.19,0.0,5.487234042553191,1.0
2005,Calgary,0140,825,0016.00,1.0,,,1,1.0,0.0,6.0,0.0
2005,Calgary,0140,825,0028.00,6.0,,,6,1.0,0.0,13.5,0.0
2005,Calgary,0140,825,0039.00,1.0,,,1,1.0,0.0,8.0,3.0
2005,Calgary,0140,825,0054.00,29.0,,,23,1.26,0.0,8.826086956521738,0.0
2005,Calgary,0140,825,0058.00,19.0,,,15,1.27,0.0,10.6,0.0
2005,Calgary,0140,825,0064.00,22.0,,,14,1.57,0.0,8.714285714285714,1.0
2005,Calgary,0140,825,0077.10,984.0,,,549,1.79,0.0,5.178502879078695,1.0
2005,Calgary,0140,825,0017.05,2.0,,,2,1.0,0.0,5.5,0.0
2005,Calgary,0140,825,0077.15,418.0,,,409,1.02,0.0,5.116915422885572,0.0
2005,Calgary,0140,825,0200.01,162.0,,,136,1.19,0.0,10.207407407407407,2.0
2005,Calgary,0140,825,0015.00,2.0,,,2,1.0,0.0,11.0,2.0
2005,Calgary,0140,825,0002.02,30.0,,,7,4.29,0.0,7.714285714285714,4.0
2005,Calgary,0140,825,0002.09,1.0,,,1,1.0,0.0,27.0,0.0
2005,Calgary,0140,825,0206.03,212.0,,,166,1.28,0.0,5.158940397350993,0.0
2005,Calgary,0140,825,0049.03,1.0,,,1,1.0,0.0,16.0,0.0
2005,Calgary,0140,825,0017.06,5.0,,,5,1.0,0.0,13.6,0.0
