reference_period,ref_qq,stcan_cmacode,metro,metcode,FSA,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time
2007-03-01,1,825,Calgary,0140,T2G,2.0,,,2,1.0,0.0,16.0,0.0
2007-03-01,1,825,Calgary,0140,T2T,15.0,,,12,1.25,0.0,12.166666666666666,1.0
2007-03-01,1,825,Calgary,0140,T2K,4.0,,,2,2.0,0.0,7.5,0.0
2007-03-01,1,825,Calgary,0140,T3B,3.0,,,3,1.0,0.0,9.333333333333334,0.0
2007-04-01,2,825,Calgary,0140,T2B,4.0,,,1,4.0,0.0,17.0,12.0
2007-04-01,2,825,Calgary,0140,T2H,4.0,,,2,2.0,0.0,17.5,6.0
2007-04-01,2,825,Calgary,0140,T2M,7.0,,,5,1.4,0.0,17.2,0.0
2007-05-01,2,825,Calgary,0140,nan,3243.0,,,2511,1.29,0.0,7.597272362615323,1.0
2007-05-01,2,825,Calgary,0140,T2C,318.0,,,132,2.41,0.0,7.083333333333333,1.0
2007-05-01,2,825,Calgary,0140,T2E,24.0,,,17,1.41,0.12,11.235294117647058,1.0
2007-05-01,2,825,Calgary,0140,T2Y,14.0,,,12,1.17,0.0,9.916666666666666,1.0
2007-05-01,2,825,Calgary,0140,T2N,34.0,,,12,2.83,0.0,12.666666666666666,1.0
2007-05-01,2,825,Calgary,0140,T2X,7.0,,,1,7.0,0.0,19.0,11.0
2007-05-01,2,825,Calgary,0140,T2K,37.0,,,1,37.0,3.0,14.0,29.0
2007-05-01,2,825,Calgary,0140,T2V,6.0,,,4,1.5,0.0,14.75,1.0
2007-05-01,2,825,Calgary,0140,T3A,2.0,,,2,1.0,0.0,10.0,1.0
2007-06-01,2,825,Calgary,0140,T2S,4.0,,,4,1.0,0.0,13.25,1.0
2007-06-01,2,825,Calgary,0140,T3C,189.0,,,5,37.8,4.4,16.6,1.0
2007-06-01,2,825,Calgary,0140,T2T,93.0,,,27,3.44,0.0,12.62962962962963,0.0
2007-06-01,2,825,Calgary,0140,T3E,68.0,,,27,2.52,0.0,10.518518518518519,1.0
2007-07-01,3,825,Calgary,0140,T2V,18.0,,,10,1.8,0.0,12.8,2.0
2007-07-01,3,825,Calgary,0140,T3C,38.0,,,4,9.5,0.0,11.75,0.0
2007-07-01,3,825,Calgary,0140,T2E,45.0,,,15,3.0,0.0,12.333333333333334,1.0
2007-07-01,3,825,Calgary,0140,T2S,3.0,,,3,1.0,0.0,17.666666666666668,2.0
2007-07-01,3,825,Calgary,0140,T2Y,14.0,,,11,1.27,0.0,10.090909090909092,1.0
