reference_period,stcan_cmacode,metro,metcode,FSA,dweltype,mkttycd,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time,bachelor_units,one_bedrooms,two_bedrooms,three_bedrooms,four_bedrooms,tot_units,total_avg_unitsize_sqm,total_avg_unitsize_sqft,total_avg_price,total_min_price,total_max_price
2003,825,Calgary,0140,nan,4.0,1.0,61.0,,,17,3.59,0.0,5.411764705882353,1.0,,,,,,,,,,,
2003,825,Calgary,0140,,1.0,1.0,1.0,,,1,1.0,0.0,8.0,25.0,,,,,,,,,,,
2003,825,Calgary,0140,nan,5.0,3.0,2616.0,,,59,44.34,2.22,11.084745762711865,3.0,,,,,,,,,,,
2003,825,Calgary,0140,nan,2.0,3.0,322.0,,,161,2.0,0.0,8.375796178343949,4.0,,,,,,,,,,,
2003,825,Calgary,0140,nan,1.0,1.0,8948.0,,,8948,1.0,0.0,5.01948281969536,0.0,,,,,,,,,,,
2003,825,Calgary,0140,nan,2.0,1.0,454.0,,,227,2.0,0.0,7.678733031674208,1.0,,,,,,,,,,,
2004,825,Calgary,0140,nan,2.0,2.0,12.0,,,6,2.0,0.0,4.333333333333333,1.0,,,,,,,,,,,
2004,825,Calgary,0140,nan,5.0,2.0,240.0,,,3,80.0,0.0,11.333333333333334,2.0,,,,,,,,,,,
2004,825,Calgary,0140,nan,5.0,1.0,1.0,,,1,1.0,0.0,13.0,4.0,,,,,,,,,,,
2004,825,Calgary,0140,nan,5.0,3.0,2461.0,,,56,43.95,0.0,12.892857142857142,4.0,,,,,,,,,,,
2004,825,Calgary,0140,nan,1.0,3.0,5.0,,,5,1.0,0.0,5.4,4.0,,,,,,,,,,,
2004,825,Calgary,0140,nan,4.0,3.0,1150.0,,,214,5.37,0.0,8.85781990521327,3.0,,,,,,,,,,,
2004,825,Calgary,0140,nan,2.0,3.0,244.0,,,122,2.0,0.0,9.264462809917354,2.0,,,,,,,,,,,
2004,825,Calgary,0140,nan,1.0,1.0,8286.0,,,8286,1.0,0.0,5.214741502799844,0.0,,,,,,,,,,,
2004,825,Calgary,0140,nan,4.0,2.0,4.0,,,1,4.0,0.0,14.0,2.0,,,,,,,,,,,
2004,825,Calgary,0140,nan,4.0,1.0,35.0,,,10,3.5,0.0,6.7,2.0,,,,,,,,,,,
2004,825,Calgary,0140,nan,2.0,1.0,576.0,,,288,2.0,0.0,7.113553113553113,1.0,,,,,,,,,,,
2005,825,Calgary,0140,nan,5.0,2.0,471.0,,,6,78.5,0.0,12.833333333333334,2.0,,,,,,,,,,,
2005,825,Calgary,0140,nan,1.0,3.0,8.0,,,8,1.0,0.0,8.625,0.0,,,,,,,,,,,
2005,825,Calgary,0140,nan,4.0,2.0,22.0,,,4,5.5,0.0,27.75,6.0,,,,,,,,,,,
2005,825,Calgary,0140,nan,4.0,3.0,797.0,,,148,5.39,0.0,7.575342465753424,4.0,,,,,,,,,,,
2005,825,Calgary,0140,nan,2.0,1.0,738.0,,,369,2.0,0.0,7.319327731092437,1.0,,,,,,,,,,,
2005,825,Calgary,0140,nan,4.0,1.0,17.0,,,5,3.4,0.0,8.2,0.0,,,,,,,,,,,
2005,825,Calgary,0140,nan,2.0,2.0,8.0,,,4,2.0,0.0,5.75,1.0,,,,,,,,,,,
2005,825,Calgary,0140,nan,1.0,1.0,7969.0,,,7969,1.0,0.0,5.145284280936455,0.0,,,,,,,,,,,
2005,825,Calgary,0140,nan,2.0,3.0,178.0,,,89,2.0,0.0,10.193181818181818,2.0,,,,,,,,,,,
2005,825,Calgary,0140,nan,5.0,3.0,2606.0,,,59,44.17,0.07,12.271186440677965,3.0,,,,,,,,,,,
2006,825,Calgary,0140,T2C,5.0,3.0,345.0,,,5,69.0,0.0,12.4,5.0,,,,,,,,,,,
2006,825,Calgary,0140,T2G,5.0,3.0,365.0,,,2,182.5,22.0,26.5,5.0,,,,,,,,,,,
2006,825,Calgary,0140,T2N,4.0,3.0,4.0,,,1,4.0,0.0,16.0,0.0,,,,,,,,,,,
2006,825,Calgary,0140,T2C,1.0,1.0,171.0,,,171,1.0,0.0,5.988165680473373,0.0,,,,,,,,,,,
2006,825,Calgary,0140,T2E,4.0,3.0,24.0,,,5,4.8,0.0,13.8,1.0,,,,,,,,,,,
2006,825,Calgary,0140,T3C,2.0,1.0,8.0,,,4,2.0,0.0,10.75,1.0,,,,,,,,,,,
2006,825,Calgary,0140,T2A,2.0,1.0,2.0,,,1,2.0,0.0,16.0,0.0,,,,,,,,,,,
2006,825,Calgary,0140,T2J,1.0,1.0,1.0,,,1,1.0,0.0,9.0,0.0,,,,,,,,,,,
2006,825,Calgary,0140,T2N,2.0,1.0,32.0,,,16,2.0,0.0,11.25,0.0,,,,,,,,,,,
2006,825,Calgary,0140,T2R,5.0,3.0,512.0,,,2,256.0,23.5,25.5,3.0,,,,,,,,,,,
2006,825,Calgary,0140,T2W,4.0,3.0,18.0,,,3,6.0,0.0,11.333333333333334,11.0,,,,,,,,,,,
2006,825,Calgary,0140,T3C,1.0,1.0,10.0,,,10,1.0,0.0,11.0,0.0,,,,,,,,,,,
2006,825,Calgary,0140,T2E,2.0,3.0,4.0,,,2,2.0,0.0,9.0,2.0,,,,,,,,,,,
2006,825,Calgary,0140,nan,2.0,3.0,184.0,,,92,2.0,0.0,10.032608695652174,2.0,,,,,,,,,,,
2006,825,Calgary,0140,T3A,1.0,1.0,2.0,,,2,1.0,0.0,12.5,0.0,,,,,,,,,,,
2006,825,Calgary,0140,T2H,5.0,3.0,55.0,,,1,55.0,0.0,12.0,3.0,,,,,,,,,,,
2006,825,Calgary,0140,nan,4.0,3.0,604.0,,,108,5.59,0.0,9.367924528301886,6.0,,,,,,,,,,,
2006,825,Calgary,0140,T2K,2.0,1.0,2.0,,,1,2.0,0.0,11.0,0.0,,,,,,,,,,,
2006,825,Calgary,0140,T2M,2.0,1.0,38.0,,,19,2.0,0.0,9.421052631578947,0.0,,,,,,,,,,,
2006,825,Calgary,0140,T1Y,1.0,1.0,1.0,,,1,1.0,0.0,,0.0,,,,,,,,,,,
2006,825,Calgary,0140,T2A,4.0,3.0,10.0,,,1,10.0,0.0,6.0,17.0,,,,,,,,,,,
2006,825,Calgary,0140,nan,2.0,1.0,454.0,,,227,2.0,0.0,6.610619469026549,1.0,,,,,,,,,,,
2006,825,Calgary,0140,T3B,2.0,1.0,10.0,,,5,2.0,0.0,14.0,5.0,,,,,,,,,,,
2006,825,Calgary,0140,T2N,1.0,1.0,69.0,,,69,1.0,0.0,11.376811594202898,0.0,,,,,,,,,,,
2006,825,Calgary,0140,T2Y,2.0,3.0,18.0,,,9,2.0,0.0,12.11111111111111,11.0,,,,,,,,,,,
2006,825,Calgary,0140,nan,5.0,3.0,743.0,,,13,57.15,0.23,11.923076923076923,7.0,,,,,,,,,,,
2006,825,Calgary,0140,T2E,2.0,1.0,48.0,,,24,2.0,0.0,9.541666666666666,1.0,,,,,,,,,,,
2006,825,Calgary,0140,T2H,1.0,1.0,7.0,,,7,1.0,0.0,12.714285714285714,0.0,,,,,,,,,,,
2006,825,Calgary,0140,T2L,1.0,1.0,3.0,,,3,1.0,0.0,11.666666666666666,1.0,,,,,,,,,,,
2006,825,Calgary,0140,T2Y,1.0,1.0,59.0,,,59,1.0,0.0,7.779661016949152,0.0,,,,,,,,,,,
2006,825,Calgary,0140,T3H,1.0,1.0,1.0,,,1,1.0,0.0,19.0,0.0,,,,,,,,,,,
2006,825,Calgary,0140,T2V,2.0,1.0,8.0,,,4,2.0,0.0,9.0,1.0,,,,,,,,,,,
2006,825,Calgary,0140,T3E,2.0,1.0,26.0,,,13,2.0,0.0,9.692307692307692,1.0,,,,,,,,,,,
2006,825,Calgary,0140,T3E,4.0,1.0,3.0,,,1,3.0,0.0,5.0,0.0,,,,,,,,,,,
