reference_period,ref_qq,metcode,metro,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time,population,comp_per_10kpop
2021-04-01,2,0140,Calgary,12196.0,84.0,12112.0,5332,2.29,0.1,5.649923896499239,1.27,1598936.31,76.28
2021-11-01,4,0140,Calgary,13104.0,128.0,12976.0,5320,2.46,0.12,6.882218844984802,1.23,1598936.31,81.95
2022-01-01,1,0140,Calgary,10668.0,172.0,10496.0,5016,2.13,0.08,7.168412570507655,1.3,1674560.42,63.71
2022-10-01,4,0140,Calgary,13384.0,556.0,12828.0,7136,1.88,0.06,8.11136235161108,1.46,1674560.42,79.93
2022-08-01,3,0140,Calgary,16288.0,524.0,15764.0,6812,2.39,0.12,7.625370480142265,1.35,1674560.42,97.27
2022-05-01,2,0140,Calgary,14224.0,284.0,13940.0,5980,2.38,0.12,7.451786918408631,1.49,1674560.42,84.94
2023-09-01,3,0140,Calgary,16084.0,792.0,15292.0,8380,1.92,0.04,8.507744433688286,1.72,1753690.0,91.72
2023-03-01,1,0140,Calgary,11412.0,604.0,10808.0,6884,1.66,0.05,8.291618160651922,1.43,1753690.0,65.07
2023-04-01,2,0140,Calgary,15156.0,616.0,14540.0,7504,2.02,0.07,8.48792270531401,1.79,1753690.0,86.42
2023-11-01,4,0140,Calgary,17792.0,1356.0,16436.0,8900,2.0,0.05,8.238636363636363,1.9,1753690.0,101.45
1988-10-01,4,0340,Edmonton,3964.0,,,3756,1.06,0.0,4.61136023916293,0.19,821466.78,48.26
1988-06-01,2,0340,Edmonton,1348.0,,,1224,1.1,0.0,4.907317073170732,0.82,821466.78,16.41
1988-09-01,3,0340,Edmonton,4372.0,,,4176,1.05,0.0,4.348017621145375,0.41,821466.78,53.22
1989-07-01,3,0340,Edmonton,5396.0,,,4104,1.31,0.02,4.547043010752688,0.17,839681.23,64.26
1989-01-01,1,0340,Edmonton,3068.0,,,2888,1.06,0.0,4.38556338028169,0.14,839681.23,36.54
1989-06-01,2,0340,Edmonton,3284.0,,,2972,1.1,0.0,4.691714836223507,0.19,839681.23,39.11
1989-12-01,4,0340,Edmonton,4920.0,,,4612,1.07,0.0,4.599369085173501,0.2,839681.23,58.59
1990-04-01,2,0340,Edmonton,5224.0,,,4328,1.21,0.0,4.4700564971751415,0.28,855178.48,61.09
1990-02-01,1,0340,Edmonton,3948.0,,,3712,1.06,0.0,4.710872162485066,0.23,855178.48,46.17
1990-09-01,3,0340,Edmonton,7944.0,,,6660,1.19,0.02,4.800916830386378,0.23,855178.48,92.89
1990-10-01,4,0340,Edmonton,6792.0,,,5804,1.17,0.01,5.056801195814649,0.34,855178.48,79.42
1991-07-01,3,0340,Edmonton,4660.0,,,3844,1.21,0.04,5.300911854103344,0.37,867285.29,53.73
1991-10-01,4,0340,Edmonton,4720.0,,,3872,1.22,0.0,4.833841463414634,0.41,867285.29,54.42
1991-01-01,1,0340,Edmonton,4440.0,,,3564,1.25,0.01,5.518028846153846,0.65,867285.29,51.19
1991-06-01,2,0340,Edmonton,3512.0,,,2380,1.48,0.03,5.632034632034632,0.62,867285.29,40.49
1992-10-01,4,0340,Edmonton,9248.0,,,6696,1.38,0.0,4.638314785373609,0.33,875231.65,105.66
1992-02-01,1,0340,Edmonton,3820.0,,,2992,1.28,0.0,4.35121107266436,0.51,875231.65,43.65
1992-05-01,2,0340,Edmonton,4640.0,,,3604,1.29,0.0,5.135906040268456,0.54,875231.65,53.01
1992-07-01,3,0340,Edmonton,5568.0,,,4744,1.17,0.01,4.664259927797834,0.29,875231.65,63.62
1993-12-01,4,0340,Edmonton,7376.0,,,5260,1.4,0.01,4.476846057571965,0.23,877513.39,84.06
1993-03-01,1,0340,Edmonton,6344.0,,,4640,1.37,0.0,4.460818713450292,0.22,877513.39,72.3
1993-08-01,3,0340,Edmonton,6444.0,,,5384,1.2,0.0,4.643665158371041,0.18,877513.39,73.43
1993-04-01,2,0340,Edmonton,6840.0,,,4760,1.44,0.0,4.82396449704142,0.27,877513.39,77.95
1994-11-01,4,0340,Edmonton,5680.0,,,4424,1.28,0.0,4.816708229426434,0.28,878697.77,64.64
1994-02-01,1,0340,Edmonton,5408.0,,,3564,1.52,0.0,4.776872964169381,0.36,878697.77,61.55
1994-09-01,3,0340,Edmonton,8080.0,,,4204,1.92,0.0,5.0778859527121005,0.27,878697.77,91.95
1994-04-01,2,0340,Edmonton,4860.0,,,3516,1.38,0.02,5.412087912087912,0.29,878697.77,55.31
1995-07-01,3,0340,Edmonton,2928.0,,,2300,1.27,0.0,5.0821529745042495,0.36,884326.84,33.11
1995-05-01,2,0340,Edmonton,2568.0,,,1952,1.32,0.0,4.955555555555556,0.66,884326.84,29.04
1995-01-01,1,0340,Edmonton,2796.0,,,2288,1.22,0.0,4.572446555819478,0.42,884326.84,31.62
1995-12-01,4,0340,Edmonton,4120.0,,,2544,1.62,0.0,5.38785046728972,0.42,884326.84,46.59
1996-06-01,2,0340,Edmonton,2620.0,,,1992,1.32,0.0,5.797250859106529,0.46,896539.38,29.22
1996-11-01,4,0340,Edmonton,4668.0,,,4284,1.09,0.0,4.5006353240152475,0.45,896539.38,52.07
1996-03-01,1,0340,Edmonton,2584.0,,,2372,1.09,0.0,5.357456140350878,0.54,896539.38,28.82
1996-07-01,3,0340,Edmonton,4604.0,,,3272,1.41,0.0,4.517560073937154,0.41,896539.38,51.35
1997-01-01,1,0340,Edmonton,3308.0,,,2908,1.14,0.0,4.3633217993079585,0.43,915045.9,36.15
1997-07-01,3,0340,Edmonton,4152.0,,,3768,1.1,0.0,4.670947030497592,0.3,915045.9,45.37
1997-04-01,2,0340,Edmonton,3604.0,,,3016,1.19,0.0,4.44789356984479,0.38,915045.9,39.39
1997-10-01,4,0340,Edmonton,5508.0,,,4612,1.19,0.0,4.629237288135593,0.27,915045.9,60.19
1998-04-01,2,0340,Edmonton,4384.0,,,3936,1.11,0.0,5.013062409288825,0.89,930636.07,47.11
1998-08-01,3,0340,Edmonton,5084.0,,,4136,1.23,0.0,4.576726342710997,0.44,930636.07,54.63
1998-02-01,1,0340,Edmonton,4712.0,,,3468,1.36,0.0,4.283044058744993,0.3,930636.07,50.63
1998-12-01,4,0340,Edmonton,7256.0,,,5512,1.32,0.01,4.857142857142857,0.5,930636.07,77.97
1999-11-01,4,0340,Edmonton,5644.0,,,5004,1.13,0.0,4.393236714975846,0.36,946094.38,59.66
