reference_period,metro,metcode,dweltype,mkttycd,total_completions,completions_accsuite,completions_no_accsuite,num_structures,unitsperstructure,avgstorycount,avglengthofconstr,avgpermit_to_start_time,bachelor_units,one_bedrooms,two_bedrooms,three_bedrooms,four_bedrooms,tot_units,total_avg_unitsize_sqm,total_avg_unitsize_sqft,total_avg_price,total_min_price,total_max_price,population,comp_per_10kpop
2006,Calgary,0140,5.0,1.0,3.0,,,2,1.5,0.0,17.0,5.0,,,,,,,,,,,,1151604.22,0.03
2006,Calgary,0140,1.0,1.0,8176.0,,,8176,1.0,0.0,5.933883264591926,0.57,,,,,,,,,,,,1151604.22,71.0
2006,Calgary,0140,1.0,3.0,5.0,,,5,1.0,0.0,7.2,1.0,,,,,,,,,,,,1151604.22,0.04
2007,Calgary,0140,4.0,3.0,989.0,,,176,5.62,0.0,11.68208092485549,5.22,,,,,,,,,,,,1183363.88,8.36
2007,Calgary,0140,1.0,1.0,9144.0,,,9144,1.0,0.0,7.690276243093923,0.77,,,,,,,,,,,,1183363.88,77.27
2007,Calgary,0140,2.0,1.0,828.0,,,414,2.0,0.0,9.265206812652067,0.64,,,,,,,,,,,,1183363.88,7.0
2007,Calgary,0140,2.0,3.0,124.0,,,62,2.0,0.0,10.806451612903226,3.1,,,,,,,,,,,,1183363.88,1.05
2007,Calgary,0140,5.0,2.0,87.0,,,1,87.0,0.0,10.0,14.0,,,,,,,,,,,,1183363.88,0.74
2007,Calgary,0140,5.0,3.0,1926.0,,,51,37.76,1.53,16.901960784313726,4.53,,,,,,,,,,,,1183363.88,16.28
2007,Calgary,0140,5.0,1.0,1.0,,,1,1.0,0.0,9.0,0.0,,,,,,,,,,,,1183363.88,0.01
2007,Calgary,0140,1.0,3.0,5.0,,,5,1.0,0.0,10.2,0.8,,,,,,,,,,,,1183363.88,0.04
2007,Calgary,0140,4.0,1.0,8.0,,,2,4.0,0.0,13.0,3.0,,,,,,,,,,,,1183363.88,0.07
2008,Calgary,0140,1.0,3.0,1.0,,,1,1.0,0.0,15.0,0.0,,,,,,,,,,,,1217803.53,0.01
2008,Calgary,0140,4.0,1.0,55.0,,,7,7.86,0.0,10.285714285714286,0.57,,,,,,,,,,,,1217803.53,0.45
2008,Calgary,0140,5.0,3.0,4619.0,,,78,59.22,2.6,17.076923076923077,3.79,,,,,,,,,,,,1217803.53,37.93
2008,Calgary,0140,2.0,1.0,962.0,,,481,2.0,0.0,10.671548117154812,0.81,,,,,,,,,,,,1217803.53,7.9
2008,Calgary,0140,4.0,3.0,1311.0,,,215,6.1,0.0,13.429906542056075,4.73,,,,,,,,,,,,1217803.53,10.77
2008,Calgary,0140,2.0,3.0,60.0,,,30,2.0,0.0,15.333333333333334,1.53,,,,,,,,,,,,1217803.53,0.49
2008,Calgary,0140,1.0,1.0,6907.0,,,6907,1.0,0.0,7.846526655896607,0.58,,,,,,,,,,,,1217803.53,56.72
2008,Calgary,0140,5.0,2.0,280.0,,,6,46.67,0.33,16.666666666666668,7.0,,,,,,,,,,,,1217803.53,2.3
