"ref_yy","metcode","metro","total_structures","share_three_to_five","share_six_to_twenty","share_twentyone_to_sixty","share_sixtyone_to_onehundred","share_greater_than_onehundred","avg_number_of_units"
"2009","0340","EDMONTON",19,5.263157894737,42.105263157895,26.315789473684,21.052631578947,5.263157894737,39.1578947368421
"2009","1060","MONTRÉAL",1000,39.3,51.9,5.5,1.6,1.7,11.362
"2009","1265","OTTAWA",45,11.111111111111,68.888888888889,8.888888888889,4.444444444444,6.666666666667,25.2222222222222
"2009","2270","TORONTO",93,4.301075268817,11.827956989247,29.032258064516,12.903225806452,41.935483870968,138.193548387097
"2009","2410","VANCOUVER",40,15,15,25,20,25,64.725
"2010","0140","CALGARY",34,38.235294117647,17.647058823529,23.529411764706,5.882352941176,14.705882352941,39.6764705882353
"2010","0340","EDMONTON",36,8.333333333333,19.444444444444,30.555555555556,38.888888888889,2.777777777778,48.5555555555556
"2010","1060","MONTRÉAL",1218,37.192118226601,54.187192118227,6.075533661741,1.231527093596,1.313628899836,10.8472906403941
"2010","1265","OTTAWA",64,1.5625,71.875,12.5,6.25,7.8125,28.875
"2010","2270","TORONTO",97,2.061855670103,25.773195876289,17.525773195876,8.247422680412,46.39175257732,136.494845360825
"2010","2410","VANCOUVER",87,3.448275862069,5.747126436782,33.333333333333,28.735632183908,28.735632183908,75.7471264367816
"2011","0140","CALGARY",47,27.659574468085,10.63829787234,29.787234042553,27.659574468085,4.255319148936,44.8085106382979
"2011","0340","EDMONTON",33,0,6.060606060606,36.363636363636,48.484848484848,9.090909090909,66.8181818181818
"2011","1060","MONTRÉAL",1085,38.15668202765,48.755760368664,8.755760368664,2.119815668203,2.21198156682,14.1907834101382
"2011","1265","OTTAWA",69,8.695652173913,75.36231884058,8.695652173913,4.347826086957,2.898550724638,21.2898550724638
"2011","2270","TORONTO",112,2.678571428571,16.071428571429,11.607142857143,4.464285714286,65.178571428571,198.616071428571
"2011","2410","VANCOUVER",123,4.878048780488,12.19512195122,38.211382113821,23.577235772358,21.138211382114,69.8373983739837
"2012","0140","CALGARY",73,17.808219178082,19.178082191781,28.767123287671,16.438356164384,17.808219178082,54.7123287671233
"2012","0340","EDMONTON",54,1.851851851852,5.555555555556,31.481481481481,44.444444444444,16.666666666667,72.7222222222222
"2012","1060","MONTRÉAL",971,38.722966014418,47.78578784758,8.959835221421,1.956745623069,2.574665293512,14.5499485066941
