"ref_yy","metcode","metro","total_structures","share_three_or_fewer_stories","share_four_to_six_stories","share_seven_to_twenty_stories","share_twentyone_to_thirty_stories","share_greater_than_thirty_stories","avg_number_of_stories"
"2016","2270","TORONTO",137,18.248175182482,35.766423357664,24.817518248175,8.759124087591,12.408759124088,13.1240875912409
"2016","2410","VANCOUVER",187,13.903743315508,50.802139037433,22.459893048128,5.882352941176,6.951871657754,10.1229946524064
"2017","0140","CALGARY",80,45,46.25,5,3.75,0,4.6125
"2017","0340","EDMONTON",41,29.268292682927,56.09756097561,7.317073170732,2.439024390244,4.878048780488,6.78048780487805
"2017","1060","MONTRÉAL",971,81.668383110196,11.225540679712,6.179196704428,0.617919670443,0.308959835221,3.45005149330587
"2017","1265","OTTAWA",74,77.027027027027,6.756756756757,13.513513513514,1.351351351351,1.351351351351,5.18918918918919
"2017","2270","TORONTO",181,45.303867403315,24.861878453039,14.364640883978,5.524861878453,9.944751381215,9.60773480662983
"2017","2410","VANCOUVER",161,17.391304347826,53.416149068323,13.04347826087,9.316770186335,6.832298136646,9.91304347826087
"2018","0140","CALGARY",76,47.368421052632,46.052631578947,6.578947368421,0,0,4.36842105263158
"2018","0340","EDMONTON",40,37.5,57.5,2.5,2.5,0,4.375
"2018","1060","MONTRÉAL",1009,82.656095143707,11.100099108028,5.450941526264,0.396432111001,0.396432111001,3.39048562933598
"2018","1265","OTTAWA",78,75.641025641026,12.820512820513,10.25641025641,0,1.282051282051,4.28205128205128
"2018","2270","TORONTO",209,27.751196172249,22.966507177033,26.794258373206,10.526315789474,11.961722488038,12.2200956937799
"2018","2410","VANCOUVER",213,19.24882629108,57.746478873239,15.492957746479,3.755868544601,3.755868544601,7.49765258215962
"2019","0140","CALGARY",91,54.945054945055,34.065934065934,8.791208791209,1.098901098901,1.098901098901,5.30769230769231
"2019","0340","EDMONTON",53,37.735849056604,56.603773584906,3.77358490566,1.88679245283,0,4.11320754716981
"2019","1060","MONTRÉAL",910,81.208791208791,11.428571428571,6.263736263736,0.879120879121,0.21978021978,3.44175824175824
"2019","1265","OTTAWA",57,64.912280701754,17.543859649123,15.789473684211,1.754385964912,0,4.92982456140351
"2019","2270","TORONTO",126,31.746031746032,17.460317460317,25.396825396825,9.52380952381,15.873015873016,15.0396825396825
"2019","2410","VANCOUVER",213,12.676056338028,49.295774647887,21.596244131455,8.920187793427,7.511737089202,10.6854460093897
"2020","0140","CALGARY",72,43.055555555556,55.555555555556,1.388888888889,0,0,3.73611111111111
"2020","0340","EDMONTON",80,56.25,36.25,2.5,5,0,4.2375
"2020","1060","MONTRÉAL",841,78.596908442331,13.198573127229,6.896551724138,0.594530321046,0.713436385256,3.7217598097503
"2020","1265","OTTAWA",102,77.450980392157,8.823529411765,11.764705882353,1.960784313725,0,4.50980392156863
"2020","2270","TORONTO",137,8.759124087591,30.656934306569,29.92700729927,12.408759124088,18.248175182482,15.6131386861314
"2020","2410","VANCOUVER",183,17.486338797814,51.912568306011,12.568306010929,9.289617486339,8.743169398907,10.6666666666667
