"","reference_period_qq","metcode","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount","ref_yy","ref_qq","population","underconstr_per_10kpop"
"118","1998-1","0140","March 31, 1998","CALGARY",5821,3727,1.56184598873088,0,1998,1,"906905.259",64.1853153042528
"119","1998-1","0610","March 31, 1998","HAMILTON",1362,693,1.96536796536797,0.0202020202020202,1998,1,"659888.018",20.6398655961048
"120","1998-1","1265","March 31, 1998",NA,709,454,1.56167400881057,0.0154185022026432,1998,1,"794318.761693615",8.92588761831961
"121","1998-2","0140","June 30, 1998","CALGARY",6249,4282,1.45936478281177,0,1998,2,"913664.816",68.3948849793511
"122","1998-2","0610","June 30, 1998","HAMILTON",1829,832,2.19831730769231,0.0480769230769231,1998,2,"661753.199",27.6387028089002
"123","1998-2","1265","June 30, 1998",NA,1229,881,1.3950056753689,0,1998,2,"796688.2277306559",15.4263607421535
"124","1998-3","0140","September 30, 1998","CALGARY",5920,3825,1.54771241830065,0,1998,3,"919169.858",64.4059413880389
"125","1998-3","0610","September 30, 1998","HAMILTON",1782,811,2.19728729963009,0.0480887792848335,1998,3,"663354.557",26.8634620987461
"126","1998-3","1265","September 30, 1998",NA,1304,889,1.46681664791901,0,1998,3,"799239.7746836",16.3155043242965
"127","1998-4","0140","December 31, 1998","CALGARY",5589,3175,1.76031496062992,0.0270866141732283,1998,4,"925463.0889999999",60.391387473261
"128","1998-4","0610","December 31, 1998","HAMILTON",1988,823,2.41555285540705,0.0801944106925881,1998,4,"665324.8119999999",29.8801422124026
"129","1998-4","1265","December 31, 1998",NA,1201,787,1.52604828462516,0,1998,4,"801983.019057478",14.9753794215177
"130","1999-1","0140","March 31, 1999","CALGARY",5791,2635,2.1977229601518,0.0455407969639469,1999,1,"931693.3840000001",62.1556415388263
"131","1999-1","0610","March 31, 1999","HAMILTON",1946,742,2.62264150943396,0.0862533692722372,1999,1,"667400.331",29.1579118200947
"132","1999-1","1265","March 31, 1999",NA,1022,564,1.81205673758865,0,1999,1,"804931.8324065229",12.6967273358354
"133","1999-2","0140","June 30, 1999","CALGARY",6308,2870,2.19790940766551,0.0452961672473868,1999,2,"937860.74",67.2594526134019
"134","1999-2","0610","June 30, 1999","HAMILTON",2248,1009,2.22794846382557,0.043607532210109,1999,2,"669581.112",33.5732289891714
"135","1999-2","1265","June 30, 1999",NA,1528,979,1.56077630234934,0,1999,2,"808117.106481773",18.9081506596527
"136","1999-3","0140","September 30, 1999","CALGARY",6629,2870,2.30975609756098,0.0477351916376307,1999,3,"943691.69",70.2453997449103
"137","1999-3","0610","September 30, 1999","HAMILTON",2559,998,2.56412825651303,0.00801603206412826,1999,3,"671463.1630000001",38.1108025132274
"138","1999-3","1265","September 30, 1999",NA,1873,1274,1.4701726844584,0,1999,3,"811573.988083469",23.0786105457013
"139","1999-4","0140","December 31, 1999","CALGARY",6543,2713,2.41172134168817,0.0387025433099889,1999,4,"949842.56",68.8851002844092
"140","1999-4","0610","December 31, 1999","HAMILTON",2461,869,2.83199079401611,0.0046029919447641,1999,4,"674016.069",36.5124826126363
"141","1999-4","1265","December 31, 1999",NA,1504,1058,1.42155009451796,0,1999,4,"815337.624011852",18.4463460989277
