"","reference_period_qq","metcode","gcd_ct_centroid_fsa","date_pbi","metro","inventory","num_structures","unitsperstructure","avgstorycount"
"1","2006-1","0140","T2C","March 31, 2006","CALGARY",0,13,0,0
"2","2006-1","0140","T2E","March 31, 2006","CALGARY",6,6,1,0
"3","2006-1","0140","T2K","March 31, 2006","CALGARY",2,1,2,0
"4","2006-1","0140","T2M","March 31, 2006","CALGARY",4,7,0.571428571428571,0
"5","2006-1","0140","T2N","March 31, 2006","CALGARY",2,8,0.25,0
"6","2006-1","0140","T2S","March 31, 2006","CALGARY",0,1,0,0
"7","2006-1","0140","T2T","March 31, 2006","CALGARY",5,15,0.333333333333333,0
"8","2006-1","0140","T2V","March 31, 2006","CALGARY",1,3,0.333333333333333,0
"9","2006-1","0140","T2Y","March 31, 2006","CALGARY",2,15,0.133333333333333,0
"10","2006-1","0140","T3C","March 31, 2006","CALGARY",0,1,0,0
"11","2006-1","0140","T3E","March 31, 2006","CALGARY",0,7,0,0
"12","2006-1","0140","nan","March 31, 2006","CALGARY",650,1230,0.528455284552846,0
"13","2006-1","0340","T0C","March 31, 2006","EDMONTON",0,4,0,0
"14","2006-1","0340","T5A","March 31, 2006","EDMONTON",5,4,1.25,0
"15","2006-1","0340","T5E","March 31, 2006","EDMONTON",2,3,0.666666666666667,0
"16","2006-1","0340","T5H","March 31, 2006","EDMONTON",1,1,1,0
"17","2006-1","0340","T5M","March 31, 2006","EDMONTON",4,2,2,0
"18","2006-1","0340","T5N","March 31, 2006","EDMONTON",0,2,0,0
"19","2006-1","0340","T5P","March 31, 2006","EDMONTON",2,1,2,0
"20","2006-1","0340","T5T","March 31, 2006","EDMONTON",25,1,25,5
"21","2006-1","0340","T5Y","March 31, 2006","EDMONTON",33,10,3.3,0.4
"22","2006-1","0340","T6C","March 31, 2006","EDMONTON",4,2,2,1.5
"23","2006-1","0340","T6E","March 31, 2006","EDMONTON",0,3,0,0
"24","2006-1","0340","T6G","March 31, 2006","EDMONTON",0,2,0,0
"25","2006-1","0340","T6H","March 31, 2006","EDMONTON",8,2,4,2
"26","2006-1","0340","T6M","March 31, 2006","EDMONTON",0,1,0,0
"27","2006-1","0340","T6R","March 31, 2006","EDMONTON",5,13,0.384615384615385,0
"28","2006-1","0340","T7Y","March 31, 2006","EDMONTON",0,3,0,0
"29","2006-1","0340","T7Z","March 31, 2006","EDMONTON",4,2,2,0
"30","2006-1","0340","T8A","March 31, 2006","EDMONTON",0,1,0,0
"31","2006-1","0340","T8B","March 31, 2006","EDMONTON",0,1,0,0
"32","2006-1","0340","T8N","March 31, 2006","EDMONTON",0,3,0,0
"33","2006-1","0340","T8R","March 31, 2006","EDMONTON",4,10,0.4,0
"34","2006-1","0340","T8T","March 31, 2006","EDMONTON",0,6,0,0
"35","2006-1","0340","T9E","March 31, 2006","EDMONTON",3,6,0.5,0
"36","2006-1","0340","T9G","March 31, 2006","EDMONTON",0,6,0,0
"37","2006-1","0340","nan","March 31, 2006","EDMONTON",949,1282,0.740249609984399,0.093603744149766
"38","2006-1","0580","B0J","March 31, 2006","HALIFAX",3,11,0.272727272727273,0
"39","2006-1","0580","B2R","March 31, 2006","HALIFAX",2,4,0.5,0
"40","2006-1","0580","B2T","March 31, 2006","HALIFAX",1,2,0.5,0
"41","2006-1","0580","B2Z","March 31, 2006","HALIFAX",0,8,0,0
"42","2006-1","0580","B3J","March 31, 2006","HALIFAX",52,1,52,0
"43","2006-1","0580","B3K","March 31, 2006","HALIFAX",4,2,2,0
"44","2006-1","0580","B3M","March 31, 2006","HALIFAX",3,3,1,0
"45","2006-1","0580","B3N","March 31, 2006","HALIFAX",1,6,0.166666666666667,0
"46","2006-1","0580","B3P","March 31, 2006","HALIFAX",4,3,1.33333333333333,0
"47","2006-1","0580","B3Z","March 31, 2006","HALIFAX",0,3,0,0
"48","2006-1","0580","B4A","March 31, 2006","HALIFAX",8,11,0.727272727272727,0
"49","2006-1","0580","B4C","March 31, 2006","HALIFAX",0,2,0,0
"50","2006-1","0580","B4E","March 31, 2006","HALIFAX",2,2,1,0
"51","2006-1","0580","nan","March 31, 2006","HALIFAX",38,48,0.791666666666667,0
"52","2006-1","0610","L0R","March 31, 2006","HAMILTON",1,2,0.5,0
"53","2006-1","0610","L3M","March 31, 2006","HAMILTON",4,7,0.571428571428571,0
"54","2006-1","0610","L7N","March 31, 2006","HAMILTON",0,2,0,0
"55","2006-1","0610","L7R","March 31, 2006","HAMILTON",0,1,0,0
"56","2006-1","0610","L8E","March 31, 2006","HAMILTON",20,16,1.25,0
"57","2006-1","0610","L8G","March 31, 2006","HAMILTON",0,4,0,0
"58","2006-1","0610","L8H","March 31, 2006","HAMILTON",1,1,1,0
"59","2006-1","0610","L8J","March 31, 2006","HAMILTON",2,4,0.5,0
"60","2006-1","0610","L8R","March 31, 2006","HAMILTON",0,4,0,0
"61","2006-1","0610","L8T","March 31, 2006","HAMILTON",0,6,0,0
"62","2006-1","0610","L9A","March 31, 2006","HAMILTON",0,3,0,0
"63","2006-1","0610","L9B","March 31, 2006","HAMILTON",0,3,0,0
"64","2006-1","0610","L9C","March 31, 2006","HAMILTON",0,3,0,0
"65","2006-1","0610","L9G","March 31, 2006","HAMILTON",0,3,0,0
"66","2006-1","0610","N1R","March 31, 2006","HAMILTON",0,1,0,0
"67","2006-1","0610","nan","March 31, 2006","HAMILTON",80,136,0.588235294117647,0
"68","2006-1","1060","H1A","March 31, 2006","MONTRÉAL",0,1,0,0
"69","2006-1","1060","H1C","March 31, 2006","MONTRÉAL",3,3,1,0
"70","2006-1","1060","H1E","March 31, 2006","MONTRÉAL",1,2,0.5,1
"71","2006-1","1060","H1J","March 31, 2006","MONTRÉAL",0,1,0,0
"72","2006-1","1060","H1L","March 31, 2006","MONTRÉAL",1,1,1,0
"73","2006-1","1060","H1N","March 31, 2006","MONTRÉAL",2,1,2,0
"74","2006-1","1060","H1R","March 31, 2006","MONTRÉAL",0,2,0,0
"75","2006-1","1060","H1S","March 31, 2006","MONTRÉAL",14,1,14,6
"76","2006-1","1060","H1T","March 31, 2006","MONTRÉAL",7,1,7,3
"77","2006-1","1060","H1V","March 31, 2006","MONTRÉAL",1,1,1,3
"78","2006-1","1060","H1W","March 31, 2006","MONTRÉAL",11,4,2.75,3
"79","2006-1","1060","H2G","March 31, 2006","MONTRÉAL",3,1,3,3
"80","2006-1","1060","H2P","March 31, 2006","MONTRÉAL",2,1,2,3
"81","2006-1","1060","H2R","March 31, 2006","MONTRÉAL",19,2,9.5,2
"82","2006-1","1060","H2V","March 31, 2006","MONTRÉAL",14,1,14,0
"83","2006-1","1060","H2X","March 31, 2006","MONTRÉAL",21,1,21,4
"84","2006-1","1060","H3P","March 31, 2006","MONTRÉAL",1,1,1,0
"85","2006-1","1060","H4B","March 31, 2006","MONTRÉAL",4,2,2,3
"86","2006-1","1060","H4C","March 31, 2006","MONTRÉAL",3,1,3,0
"87","2006-1","1060","H4G","March 31, 2006","MONTRÉAL",6,2,3,1.5
"88","2006-1","1060","H4V","March 31, 2006","MONTRÉAL",0,1,0,0
"89","2006-1","1060","H7A","March 31, 2006","MONTRÉAL",8,9,0.888888888888889,0.333333333333333
"90","2006-1","1060","H7E","March 31, 2006","MONTRÉAL",1,6,0.166666666666667,0
"91","2006-1","1060","H7H","March 31, 2006","MONTRÉAL",0,1,0,0
"92","2006-1","1060","H7K","March 31, 2006","MONTRÉAL",0,1,0,0
"93","2006-1","1060","H7L","March 31, 2006","MONTRÉAL",7,10,0.7,0.2
"94","2006-1","1060","H7M","March 31, 2006","MONTRÉAL",5,9,0.555555555555556,0.222222222222222
"95","2006-1","1060","H7P","March 31, 2006","MONTRÉAL",7,6,1.16666666666667,0
"96","2006-1","1060","H7R","March 31, 2006","MONTRÉAL",7,5,1.4,0.8
"97","2006-1","1060","H7T","March 31, 2006","MONTRÉAL",17,8,2.125,0.25
"98","2006-1","1060","H7V","March 31, 2006","MONTRÉAL",96,3,32,6.66666666666667
"99","2006-1","1060","H7W","March 31, 2006","MONTRÉAL",1,1,1,0
"100","2006-1","1060","H7X","March 31, 2006","MONTRÉAL",6,5,1.2,0.6
"101","2006-1","1060","H8P","March 31, 2006","MONTRÉAL",4,2,2,1.5
"102","2006-1","1060","H8R","March 31, 2006","MONTRÉAL",8,1,8,3
"103","2006-1","1060","H8S","March 31, 2006","MONTRÉAL",3,2,1.5,0
"104","2006-1","1060","H8T","March 31, 2006","MONTRÉAL",6,3,2,1.66666666666667
"105","2006-1","1060","H9A","March 31, 2006","MONTRÉAL",1,1,1,0
"106","2006-1","1060","H9C","March 31, 2006","MONTRÉAL",0,1,0,0
"107","2006-1","1060","H9E","March 31, 2006","MONTRÉAL",0,1,0,0
"108","2006-1","1060","H9J","March 31, 2006","MONTRÉAL",0,2,0,0
"109","2006-1","1060","H9K","March 31, 2006","MONTRÉAL",3,3,1,0
"110","2006-1","1060","H9R","March 31, 2006","MONTRÉAL",48,3,16,3.33333333333333
