"ref_yy","metcode","metro","avglengthofconstr_sfd","avglengthofconstr_semi","avglengthofconstr_row","avglengthofconstr_apt"
"1999","2270","TORONTO",6.54974218986958,3.11946680080483,1.20722635494155,0.131719896845864
"1999","2410","VANCOUVER",5.24330735343951,3.31854838709677,1.5859375,0.192797689825038
"2000","0140","CALGARY",4.47062245491565,4.74113475177305,2.59875583203732,0.417504655493482
"2000","0340","EDMONTON",4.5016077170418,3.04310344827586,1.97422680412371,0.148369926813041
"2000","1060","MONTRÃAL",4.70043640897756,2.89210526315789,1.43803056027165,0.631714377613381
"2000","1265",NA,4.61024590163934,2.30697674418605,0.960985626283368,0.671428571428571
"2000","2270","TORONTO",6.58237713790864,3.24947101142615,1.25422823571301,0.139692648484009
"2000","2410","VANCOUVER",5.67725631768953,3.22772277227723,1.65638766519824,0.19468610392664
"2001","0140","CALGARY",4.40976491862568,3.99703264094955,1.76004464285714,0.252423564504101
"2001","0340","EDMONTON",4.25960763235689,2.67412935323383,1.16766467065868,0.254314259763851
"2001","1060",NA,4.82954255047278,3.05043859649123,1.32594936708861,0.539974348011971
"2001","1265","OTTAWA",5.07771563143951,2.7450495049505,1.04612005856515,0.126081582200247
"2001","2270","TORONTO",6.50055977111581,3.25399332982271,1.22617680826636,0.182823813354787
"2001","2410","VANCOUVER",5.83675937122128,3.2972972972973,1.49789029535865,0.224345364472753
"2002","0140","CALGARY",4.64999345292654,3.97674418604651,1.73626373626374,0.295238095238095
"2002","0340","EDMONTON",4.7203118752499,2.97391304347826,1.45031055900621,0.21090387374462
"2002","1060","MONTRÃAL",4.48060812907229,2.56313993174061,1.25633383010432,0.635206321334504
"2002","1265","OTTAWA",5.04736490993996,2.725,1.09569377990431,0.280415430267062
"2002","2270","TORONTO",5.77754062241807,3.03491271820449,1.01086345757633,0.159955588452998
"2002","2410","VANCOUVER",5.22315484804631,3.12111801242236,1.56911196911197,0.154231433506045
"2003","0140","CALGARY",5.02661328308997,3.98421052631579,1.60329929300864,0.228027043638599
"2003","0340","EDMONTON",5.26672613737734,3.46084337349398,1.73740053050398,0.228772829221403
"2003","1060","MONTRÃAL",4.83415112855741,2.64454277286136,1.29294478527607,0.660626232741617
"2003","1265","OTTAWA",5.48989898989899,2.93690851735016,1.25698005698006,0.309090909090909
"2003","2270","TORONTO",6.27592592592593,3.41222570532915,1.07164060953889,0.125251417078076
"2003","2410","VANCOUVER",5.62441695396471,3.01515151515152,1.38099950519545,0.202679091438556
"2004","0140","CALGARY",5.2148620510151,3.86125,1.65816326530612,0.279896334690855
"2004","0340","EDMONTON",5.35818689439974,3.42543021032505,1.78682170542636,0.214195183776933
"2004","1060","MONTRÃAL",5.09222050489438,2.84599156118143,1.5,0.638552216503404
"2004","1265","OTTAWA",5.60368349249659,2.74203821656051,1.29991243432574,0.200806451612903
"2004","2270","TORONTO",6.81045246118999,3.53271245634459,1.21416982152515,0.123759036144578
"2004","2410","VANCOUVER",6.19520547945205,3.41576086956522,1.48383084577114,0.231295030482173
"2005","0140","CALGARY",5.14900440999599,3.93429844097996,1.52484848484848,0.260318492037699
"2005","0340","EDMONTON",5.22357540219516,3.52664298401421,1.90604026845638,0.220784023668639
"2005","1060","MONTRÃAL",5.34026050051222,2.87676056338028,1.39602803738318,0.536898316398428
"2005","1265","OTTAWA",5.85623257666268,3.27536231884058,1.28332462101411,0.208188153310105
"2005","2270","TORONTO",6.98392322269087,3.45701492537313,1.19519466853736,0.143054808209701
"2005","2410","VANCOUVER",6.49712007089056,3.74619289340102,1.42998405103668,0.191780821917808
"2006","0140","CALGARY",5.93467399450412,4.25109170305677,1.89033942558747,0.251695822920386
"2006","0340","EDMONTON",6.07370546660897,3.90431034482759,1.83653846153846,0.289312039312039
"2006","1060","MONTRÃAL",5.20755667506297,2.77570093457944,1.57387247278383,0.614464299409464
"2006","1265","OTTAWA",5.97583219334245,3.04787234042553,1.32401902497027,0.373522458628842
"2006","2270","TORONTO",7.44820220719117,3.49722494286647,1.27666725632408,0.136121673003802
"2006","2410","VANCOUVER",7.34280039721946,4.64376590330789,1.67222033321999,0.226792409953414
"2007","0140","CALGARY",7.69166206515737,4.73361522198732,2.07817258883249,0.433184302036761
"2007","0340","EDMONTON",8.23224080267559,4.83164983164983,2.26008968609865,0.289004780530204
"2007","1060","MONTRÃAL",4.90701559020045,2.64937106918239,1.32599724896836,0.555762220072911
"2007","1265","OTTAWA",6.13747412008282,3.07023411371237,1.36175548589342,0.467831612390786
"2007","2270","TORONTO",7.26513693560326,3.42743161094225,1.45475328634026,0.2177734375
"2007","2410","VANCOUVER",7.85904550499445,3.97376543209877,1.71452991452991,0.23610364476938
"2008","0140","CALGARY",7.84757709251101,5.47342519685039,2.16299559471366,0.292304551949377
"2008","0340","EDMONTON",10.2046269143043,5.63384188626907,2.70039292730845,0.307194826192401
"2008","1060","MONTRÃAL",5.35816513761468,2.67737789203085,1.46871992300289,0.526072457177505
"2008","1265","OTTAWA",7.09775753328662,3.97540983606557,1.5865671641791,0.448192771084337
"2008","2270","TORONTO",8.01370878103001,3.88812785388128,1.64762320104666,0.143229166666667
"2008","2410","VANCOUVER",8.89784211963944,4.72909090909091,2.05600722673893,0.221095167408873
"2009","0140","CALGARY",6.9987721021611,5.22439024390244,2.40705563093623,0.356396866840731
"2009","0340","EDMONTON",9.23558813728757,5.58446601941748,2.86123680241327,0.344123048668503
"2009","1060","MONTRÃAL",5.11497890295359,2.65068493150685,1.48770053475936,0.568183811277734
"2009","1265","OTTAWA",7.14544084400904,3.79918032786885,1.58721934369603,0.619491525423729
"2009","2270","TORONTO",8.81111775254035,4.14954051796157,1.66790648246546,0.136529680365297
"2009","2410","VANCOUVER",11.6279142057818,5.35305719921105,1.90774907749077,0.218200100553042
"2010","0140","CALGARY",5.96447602131439,3.92908653846154,1.66713091922006,0.253240279162512
"2010","0340","EDMONTON",6.8670921719542,3.97008547008547,2.63396226415094,0.314804310833806
"2010","1060","MONTRÃAL",5.01371624517788,2.6537610619469,1.3820564516129,0.707197180485995
"2010","1265","OTTAWA",6.27547592385218,3.42857142857143,1.60248138957816,0.389413988657845
"2010","2270","TORONTO",7.82246804854473,4.17725173210162,1.844,0.134710743801653
"2010","2410","VANCOUVER",8.59313215400624,6.00574712643678,1.80885576501534,0.224342564579939
"2011","0140","CALGARY",6.02405498281787,3.84096385542169,1.54078826764436,0.570796460176991
"2011","0340","EDMONTON",7.39613988152112,4.21,3.34800550206327,0.466626213592233
"2011","1060","MONTRÃAL",5.39621650026274,2.98247232472325,1.47740667976424,0.681814328105129
"2011","1265","OTTAWA",5.78784810126582,2.8377581120944,1.67829255596044,0.445830085736555
"2011","2270","TORONTO",8.54577910860302,4.07471264367816,1.52278114300764,0.144651037456211
"2011","2410","VANCOUVER",9.50100951831555,4.58115183246073,1.53832521045636,0.198584202682563
"2012","0140","CALGARY",6.14150943396226,4.22090517241379,1.77879481311976,0.309119010819165
"2012","0340","EDMONTON",7.5568770381738,3.69178082191781,2.36515513126492,0.323617659665667
"2012","1060","MONTRÃAL",5.62601120099564,3.17099056603774,1.66020671834625,0.621765476580413
"2012","1265","OTTAWA",6.75790684301323,3.65350877192982,1.76128188358404,0.400105429625725
"2012","2270","TORONTO",8.92810396409873,5.36447084233261,1.57701894317049,0.149044672604882
"2012","2410","VANCOUVER",10.3361774744027,4.87068965517241,1.75334742776603,0.228054061146831
"2013","0140","CALGARY",6.32790189820259,4.15371329879102,1.52046783625731,0.295291039895356
"2013","0340","EDMONTON",7.48976711362032,3.8767840152236,2.12169735788631,0.239342265529842
"2013","1060","MONTRÃAL",6.61143062544932,3.3982683982684,1.83183568677792,0.643837938633667
"2013","1265","OTTAWA",7.40625,3.72988505747126,1.83176396735719,0.677325581395349
"2013","2270","TORONTO",9.18102384868421,5.25422953818016,1.64225411566062,0.117851785178518
"2013","2410","VANCOUVER",11.5850475558505,5.31990521327014,1.65491990846682,0.240434957712445
"2014","0140","CALGARY",6.52529244388239,4.43982169390788,1.47814776274714,0.287039640146191
"2014","0340","EDMONTON",7.43302752293578,3.84780775716695,2.78606001936108,0.253890489913545
"2014","1060","MONTRÃAL",5.76766743648961,3.62368815592204,1.92642642642643,0.563197824219868
"2014","1265","OTTAWA",6.38925081433225,3.56666666666667,1.63317274604267,0.364018087855297
"2014","2270","TORONTO",9.67511545483836,5.11716341212744,1.66535626535627,0.152244536326048
"2014","2410","VANCOUVER",10.5657311669129,5.95470383275261,1.8216896831844,0.235369637316786
"2015","0140","CALGARY",7.1078706300243,4.56913407821229,1.67883495145631,0.336511972875609
"2015","0340","EDMONTON",7.29212507237985,3.73965387509406,2.29993928354584,0.281573498964803
"2015","1060","MONTRÃAL",5.82827167310878,3.1988188976378,1.67625899280576,0.6458710066305
"2015","1265","OTTAWA",6.31325301204819,3.34090909090909,1.67039473684211,0.350362027353178
"2015","2270","TORONTO",9.00259235255995,4.41782006920415,1.61163734776725,0.130378783443592
"2015","2410","VANCOUVER",10.3119178409362,4.80978260869565,1.75188637372392,0.224548158316175
"2016","0140","CALGARY",7.6046640755136,4.54616895874263,1.6872131147541,0.265477439664218
"2016","0340","EDMONTON",7.66153196876978,3.8202846975089,2.19358669833729,0.251459979388526
"2016","1060","MONTRÃAL",5.408125,3.1254295532646,1.42549203373946,0.450646461837898
"2016","1265","OTTAWA",6.54241516966068,3.95108695652174,1.64957264957265,0.540584415584416
"2016","2270","TORONTO",10.5921024546425,5.63645418326693,1.84412121212121,0.159697732997481
"2016","2410","VANCOUVER",11.0234907211651,5.23697916666667,1.80925062746504,0.236912751677852
"2017","0140","CALGARY",6.66910836069715,3.47913043478261,1.56640625,0.274720149253731
"2017","0340","EDMONTON",6.66592228673515,3.47079918032787,2.22222222222222,0.272506925207756
"2017","1060","MONTRÃAL",4.93471502590674,2.89595375722543,1.59493670886076,0.424210105319291
"2017","1265","OTTAWA",6.53629856850716,3.87407407407407,1.61748633879781,0.610142630744849
"2017","2270","TORONTO",10.299601527478,5.57750472589792,2.10581109218247,0.183016587938042
"2017","2410","VANCOUVER",12.9881219184222,6.10891089108911,2.05083022704168,0.21343398816162
"2018","0140","CALGARY",6.37856463878327,3.50990099009901,1.64150943396226,0.306293197526373
"2018","0340","EDMONTON",7.02207505518764,3.59395973154362,2.11214953271028,0.420899007589025
"2018","1060","MONTRÃAL",5.09896907216495,2.9574780058651,1.496,0.428317062688033
