"ref_yy","metcode","metro","three_or_fewer_stories","four_to_six_stories","seven_to_twenty_stories","twentyone_to_thirty_stories","greater_than_thirty_stories","avglengthofconstr"
"1992","0340","EDMONTON",4.67872470876763,25,NA,NA,NA,6.76388888888889
"1992","2410","VANCOUVER",5.57752097950199,10.6444444444444,14.96,21.75,NA,7.65809379727685
"1993","0340","EDMONTON",4.59072517896047,NA,7,NA,NA,6.22164948453608
"1993","2410","VANCOUVER",5.7596180459452,8.85294117647059,15.75,20.25,26,7.54987212276215
"1994","0340","EDMONTON",4.99850746268657,NA,6,NA,NA,7.34108527131783
"1994","2410","VANCOUVER",5.75273363464062,9.00869565217391,14,19,NA,7.16767922235723
"1995","0340","EDMONTON",5.00203804347826,NA,NA,NA,NA,6.89795918367347
"1995","2410","VANCOUVER",5.98513986013986,9.1304347826087,12.9166666666667,14.9166666666667,22,7.77344877344877
"1996","0340","EDMONTON",4.87518072289157,NA,NA,NA,NA,13.62
"1996","2410","VANCOUVER",6.09707039790118,9.37313432835821,13.4666666666667,15.4285714285714,11.5,7.61089494163424
"1997","0340","EDMONTON",4.54853620955316,NA,NA,NA,NA,11.4666666666667
"1997","2410","VANCOUVER",5.82942603071948,8.63291139240506,14.3913043478261,17.1428571428571,18,7.59280303030303
"1998","0340","EDMONTON",4.69153776160146,9,NA,NA,NA,9.29333333333333
"1998","2410","VANCOUVER",6.01029664133366,9.23529411764706,11.6842105263158,19,19,7.76569037656904
"1999","0340","EDMONTON",4.37008628954938,13,NA,NA,NA,8.91428571428571
"1999","2410","VANCOUVER",5.51694428489374,10.7073170731707,13.5882352941176,18.2,18.6,8.73101265822785
"2000","0340","EDMONTON",4.66384257993987,NA,NA,NA,NA,9.46875
"2000","2410",NA,5.86613201727329,10.3,16.0714285714286,15.75,17.75,8.73408239700374
"2001","0340","EDMONTON",4.4075,9,23,NA,NA,9.20731707317073
"2001","2410","VANCOUVER",6.0497528830313,9.73333333333333,13.875,11.6666666666667,NA,8.03
"2002","0340","EDMONTON",4.87275394206087,NA,NA,NA,NA,8.56603773584906
"2002","2410","VANCOUVER",5.45063050202237,10.2258064516129,13.75,20.0769230769231,20,7.94836956521739
"2003","0340","EDMONTON",5.45431127982646,9,NA,NA,NA,8.94771241830065
"2003","2410","VANCOUVER",5.77683956574186,11.8723404255319,11.5,20.5555555555556,15.5,7.98958333333333
"2004","0340","EDMONTON",5.58138847858198,14.5,NA,NA,16,10.3333333333333
"2004","2410","VANCOUVER",6.37218609304652,13.3571428571429,15.8181818181818,16.9090909090909,18,8.31497418244406
"2005","0340","EDMONTON",5.43668122270742,17.1333333333333,18,29,NA,10.9772727272727
"2005","2410","VANCOUVER",6.73798892659403,12.265306122449,15.3333333333333,18,18.5,8.65824665676077
"2006","0340","EDMONTON",6.29087824611771,16.8888888888889,28,35,NA,11.6648044692737
"2006","2410","VANCOUVER",7.66792144026187,13.1044776119403,17.25,19.3571428571429,22.8333333333333,10.3708708708709
"2007","0340","EDMONTON",8.40990990990991,19.3333333333333,26,NA,NA,13.2743902439024
"2007","2410","VANCOUVER",8.07137745974955,14.9166666666667,18.3928571428571,22.4666666666667,22.8,11.2146189735614
"2008","0340","EDMONTON",10.4553041018388,17.7777777777778,30,NA,NA,15.2565217391304
"2008","2410","VANCOUVER",9.11175090637663,15.8985507246377,19.4473684210526,19.1428571428571,24,12.4344827586207
"2009","0340","EDMONTON",9.82140921409214,26.375,27.1666666666667,38,NA,17.238578680203
"2009","2410","VANCOUVER",11.305026394308,15.6285714285714,21.0454545454545,23.3333333333333,24.25,12.7206477732794
"2010","0340","EDMONTON",7.19036105738233,22.2,29.3333333333333,NA,NA,14.5549450549451
"2010","2410","VANCOUVER",8.87732413264328,16.0208333333333,20.7857142857143,21.875,24.3333333333333,11.294776119403
"2011","0340","EDMONTON",7.77777777777778,29.3333333333333,54,39,NA,17.9943820224719
"2011","2410","VANCOUVER",9.38925047239135,12.9142857142857,21,19,39.5,9.24236252545825
"2012","0340","EDMONTON",7.67737768448248,20.7083333333333,17,NA,NA,13.549504950495
"2012","2410","VANCOUVER",10.2630715977409,15.3283582089552,19.7222222222222,18.1428571428571,31.5,10.5400313971743
"2013","0340","EDMONTON",7.64267315397825,14.6590909090909,NA,NA,NA,11.0838709677419
"2013","2410","VANCOUVER",11.1601012498022,16.075,18.3076923076923,17.4,26.5,11.3878326996198
"2014","0340","EDMONTON",7.6144448919318,15.7021276595745,13,NA,NA,12.1258064516129
"2014","2410","VANCOUVER",10.3845386533666,15.5606060606061,21.3333333333333,20.3333333333333,25.3333333333333,11.3931623931624
"2015","0340","EDMONTON",7.4502254595907,16.6271186440678,31,30,NA,11.1187904967603
"2015","2410","VANCOUVER",10.1119088496956,15.8507462686567,19.1,19,27.8333333333333,11.17202268431
"2016","0340","EDMONTON",7.85254047122936,15.1525423728814,19.75,38,13,11.6696832579186
"2016","2410","VANCOUVER",10.9187594553707,17.3103448275862,22.3636363636364,23.5,33,12.005033557047
"2017","0340","EDMONTON",6.84810791871058,15.7241379310345,29,39,NA,10.5839160839161
"2017","2410","VANCOUVER",12.621935483871,18.9,21.88,19,23.9090909090909,12.5923190546529
"2018","0340","EDMONTON",7.14189729643257,19.6842105263158,29.5,NA,50,10.1167192429022
"2018","2410","VANCOUVER",12.0861064353231,19.5679012345679,24.1086956521739,26.1428571428571,33.1428571428571,13.9362670713202
