"ref_yy","metcode","metro","three_to_five_units","six_to_twenty_units","twentyone_to_sixty_units","sixtyone_to_onehundred_units","greater_than_onehundred_units","avglengthofconstr"
"2010","1060","MONTRÉAL",6.87671232876712,7.07357357357357,9.26785714285714,12.6,11.8,7.1731843575419
"2010","2410","VANCOUVER",9.51807228915663,10.1649484536082,17.0882352941176,16.8928571428571,21.2258064516129,11.294776119403
"2011","1060","MONTRÉAL",7.12798634812287,7.23115577889447,10,12.6153846153846,18,7.50471698113208
"2011","2410","VANCOUVER",8.51209677419355,8.19473684210526,13,12.5714285714286,23.3888888888889,9.24236252545825
"2012","1060","MONTRÉAL",7.14867617107943,8.12734864300626,10.8854166666667,14.1875,14.5,8.10036496350365
"2012","2410","VANCOUVER",9.22801302931596,9.88135593220339,15.3809523809524,16.1481481481481,18.68,10.5400313971743
"2013","1060","MONTRÉAL",8.33106575963719,8.99277108433735,12.5540540540541,15.2941176470588,20.3809523809524,9.32128099173554
"2013","2410","VANCOUVER",10.6230366492147,9.23981900452489,15.6818181818182,15.5757575757576,19.3243243243243,11.3878326996198
"2014","1060","MONTRÉAL",7.73784355179704,9.13243243243243,13.2873563218391,17.76,18.3214285714286,9.31027466937945
"2014","2410","VANCOUVER",10.3706563706564,10.0043859649123,15.0731707317073,16.5555555555556,21.1,11.3931623931624
"2015","1060","MONTRÉAL",7.32191780821918,9.35474860335196,12.2142857142857,15.2941176470588,18.7647058823529,8.82505643340858
"2015","2410","VANCOUVER",10.8230088495575,9.09952606635071,15.5714285714286,15.1034482758621,20.0357142857143,11.17202268431
"2016","1060","MONTRÉAL",7.30102040816327,8.65555555555556,14.0120481927711,17.2,15.7272727272727,9.01351351351351
"2016","2410","VANCOUVER",11.1832669322709,10.2873563218391,18.4137931034483,16.3636363636364,23.3030303030303,12.005033557047
"2017","1060","MONTRÉAL",6.41090909090909,8.55434782608696,11.6833333333333,14.1111111111111,17.8285714285714,8.05769230769231
"2017","2410","VANCOUVER",11.2827380952381,11.0294117647059,19.7297297297297,19.5862068965517,21.9189189189189,12.5923190546529
"2018","1060","MONTRÉAL",6.37331081081081,7.61451247165533,10.9450549450549,13,16.6578947368421,7.63567202028741
"2018","2410","VANCOUVER",11.9254901960784,11.9819494584838,20.6216216216216,22.075,23.56,13.9362670713202
"2019","1060","MONTRÉAL",6.64492753623188,7.68973214285714,11.3563218390805,14.16,17.0869565217391,7.98013816925734
"2019","2410","VANCOUVER",12.9178082191781,13.6635071090047,20.8,19.6578947368421,25.3421052631579,14.9054487179487
"2020","1060","MONTRÉAL",6.70097087378641,8.0831234256927,13.4086021505376,15.21875,19.0535714285714,8.65599268069533
"2020","2410","VANCOUVER",13.1540880503145,13.6506550218341,22.4901960784314,21.9090909090909,27.0816326530612,15.45
