reference_period,ref_qq,metcode,metro,FSA,inventory,num_structures,unitsperstructure,avgstorycnt
2006-12-01,4,0140,Calgary,T2H,0.0,1,0.0,0.0
2006-12-01,4,0140,Calgary,nan,525.0,1054,0.5,0.0
2006-12-01,4,0140,Calgary,T2G,0.0,1,0.0,0.0
2007-03-01,1,0140,Calgary,T2C,0.0,16,0.0,0.0
2007-03-01,1,0140,Calgary,T2M,3.0,9,0.33,0.0
2007-03-01,1,0140,Calgary,T2S,0.0,1,0.0,0.0
2007-03-01,1,0140,Calgary,T2T,0.0,5,0.0,0.0
2007-03-01,1,0140,Calgary,T2N,2.0,9,0.22,0.0
2007-03-01,1,0140,Calgary,T3E,2.0,4,0.5,0.0
2007-03-01,1,0140,Calgary,T2K,1.0,2,0.5,0.0
2007-03-01,1,0140,Calgary,T2V,0.0,2,0.0,0.0
2007-03-01,1,0140,Calgary,T2Y,4.0,4,1.0,0.0
2007-03-01,1,0140,Calgary,T3B,0.0,3,0.0,0.0
2007-03-01,1,0140,Calgary,T2E,2.0,7,0.29,0.0
2007-03-01,1,0140,Calgary,T2H,1.0,1,1.0,0.0
2007-03-01,1,0140,Calgary,T2G,0.0,2,0.0,0.0
2007-03-01,1,0140,Calgary,nan,491.0,999,0.49,0.0
2007-06-01,2,0140,Calgary,nan,488.0,1285,0.38,0.0
2007-06-01,2,0140,Calgary,T2M,1.0,2,0.5,0.0
2007-06-01,2,0140,Calgary,T2Y,2.0,4,0.5,0.0
2007-06-01,2,0140,Calgary,T2H,4.0,2,2.0,0.0
2007-06-01,2,0140,Calgary,T2T,0.0,12,0.0,0.0
2007-06-01,2,0140,Calgary,T2C,0.0,63,0.0,0.0
2007-06-01,2,0140,Calgary,T2E,1.0,3,0.33,0.0
2007-06-01,2,0140,Calgary,T2V,1.0,2,0.5,0.0
2007-06-01,2,0140,Calgary,T2N,1.0,6,0.17,0.0
2007-06-01,2,0140,Calgary,T2S,0.0,3,0.0,0.0
2007-06-01,2,0140,Calgary,T3E,4.0,10,0.4,0.0
2007-06-01,2,0140,Calgary,T3C,1.0,2,0.5,0.0
2007-09-01,3,0140,Calgary,T3G,0.0,1,0.0,0.0
2007-09-01,3,0140,Calgary,T2T,2.0,13,0.15,0.0
2007-09-01,3,0140,Calgary,T2G,0.0,1,0.0,0.0
2007-09-01,3,0140,Calgary,nan,486.0,1049,0.46,0.0
2007-09-01,3,0140,Calgary,T3H,0.0,3,0.0,0.0
2007-09-01,3,0140,Calgary,T2H,3.0,1,3.0,0.0
2007-09-01,3,0140,Calgary,T2E,2.0,6,0.33,0.0
2007-09-01,3,0140,Calgary,T2V,2.0,5,0.4,0.0
2007-09-01,3,0140,Calgary,T2S,0.0,1,0.0,0.0
2007-09-01,3,0140,Calgary,T2Y,2.0,2,1.0,0.0
2007-09-01,3,0140,Calgary,T4C,1.0,20,0.05,0.0
2007-09-01,3,0140,Calgary,T2N,3.0,7,0.43,0.0
2007-09-01,3,0140,Calgary,T2M,3.0,4,0.75,0.0
2007-09-01,3,0140,Calgary,T3E,6.0,21,0.29,0.0
2007-09-01,3,0140,Calgary,T2C,5.0,20,0.25,0.0
2007-09-01,3,0140,Calgary,T3C,0.0,1,0.0,0.0
2007-12-01,4,0140,Calgary,T2C,11.0,47,0.23,0.0
2007-12-01,4,0140,Calgary,T3B,1.0,1,1.0,0.0
2007-12-01,4,0140,Calgary,T2Y,2.0,9,0.22,0.0
2007-12-01,4,0140,Calgary,T2S,0.0,3,0.0,0.0
2007-12-01,4,0140,Calgary,nan,507.0,1272,0.4,0.0
2007-12-01,4,0140,Calgary,T2M,1.0,5,0.2,0.0
2007-12-01,4,0140,Calgary,T2N,8.0,14,0.57,0.0
2007-12-01,4,0140,Calgary,T2E,13.0,13,1.0,0.23
2007-12-01,4,0140,Calgary,T2K,0.0,2,0.0,0.0
2007-12-01,4,0140,Calgary,T2T,2.0,10,0.2,0.0
2007-12-01,4,0140,Calgary,T2V,4.0,7,0.57,0.0
2007-12-01,4,0140,Calgary,T2H,3.0,1,3.0,0.0
2007-12-01,4,0140,Calgary,T0M,0.0,1,0.0,0.0
2007-12-01,4,0140,Calgary,T3E,6.0,6,1.0,0.0
2007-12-01,4,0140,Calgary,T4C,2.0,19,0.11,0.0
2008-03-01,1,0140,Calgary,T2C,20.0,42,0.48,0.0
2008-03-01,1,0140,Calgary,T2E,6.0,7,0.86,0.43
2008-03-01,1,0140,Calgary,T2G,6.0,1,6.0,0.0
2008-03-01,1,0140,Calgary,T2P,13.0,1,13.0,28.0
2008-03-01,1,0140,Calgary,T2B,2.0,2,1.0,0.0
2008-03-01,1,0140,Calgary,T3C,8.0,7,1.14,0.0
2008-03-01,1,0140,Calgary,T2N,28.0,29,0.97,0.0
2008-03-01,1,0140,Calgary,T3E,44.0,36,1.22,0.0
2008-03-01,1,0140,Calgary,T2T,39.0,31,1.26,0.1
2008-03-01,1,0140,Calgary,T2H,7.0,3,2.33,0.0
2008-03-01,1,0140,Calgary,T3B,3.0,4,0.75,0.0
2008-03-01,1,0140,Calgary,T2Y,2.0,8,0.25,0.0
2008-03-01,1,0140,Calgary,T2M,9.0,7,1.29,0.0
2008-03-01,1,0140,Calgary,T4C,3.0,24,0.13,0.0
2008-03-01,1,0140,Calgary,T2S,1.0,3,0.33,0.0
2008-03-01,1,0140,Calgary,T2A,0.0,1,0.0,0.0
