reference_period,metcode,metro,dweltype,mkttycd,inventory,num_structures,unitsperstructure,avgstorycnt,inventory_per_10kpop
1998,0340,Edmonton,1.0,1.0,451.0,984,0.46,0.0,4.85
1998,0340,Edmonton,5.0,3.0,128.0,13,9.85,0.0,1.38
1999,0340,Edmonton,5.0,3.0,131.0,10,13.1,0.4,1.38
1999,0340,Edmonton,4.0,1.0,26.0,13,2.0,0.0,0.27
1999,0340,Edmonton,2.0,1.0,28.0,24,1.17,0.0,0.3
1999,0340,Edmonton,1.0,1.0,464.0,841,0.55,0.0,4.9
1999,0340,Edmonton,4.0,3.0,33.0,23,1.43,0.0,0.35
1999,0340,Edmonton,1.0,3.0,2.0,3,0.67,0.0,0.02
1999,0340,Edmonton,2.0,3.0,58.0,56,1.04,0.0,0.61
2000,0340,Edmonton,4.0,3.0,36.0,28,1.29,0.0,0.38
2000,0340,Edmonton,5.0,3.0,194.0,16,12.13,0.0,2.02
2000,0340,Edmonton,2.0,1.0,30.0,33,0.91,0.0,0.31
2000,0340,Edmonton,2.0,3.0,64.0,63,1.02,0.0,0.67
2000,0340,Edmonton,1.0,1.0,549.0,999,0.55,0.0,5.72
2000,0340,Edmonton,1.0,3.0,4.0,4,1.0,0.0,0.04
2001,0340,Edmonton,2.0,1.0,20.0,26,0.77,0.0,0.2
2001,0340,Edmonton,4.0,1.0,1.0,1,1.0,0.0,0.01
2001,0340,Edmonton,4.0,3.0,19.0,13,1.46,0.0,0.19
2001,0340,Edmonton,5.0,3.0,205.0,21,9.76,0.19,2.09
2001,0340,Edmonton,1.0,1.0,370.0,904,0.41,0.0,3.77
2001,0340,Edmonton,2.0,3.0,59.0,62,0.95,0.0,0.6
2001,0340,Edmonton,1.0,3.0,0.0,3,0.0,0.0,0.0
2002,0340,Edmonton,4.0,3.0,13.0,8,1.63,0.0,0.13
2002,0340,Edmonton,1.0,3.0,0.0,1,0.0,0.0,0.0
2002,0340,Edmonton,5.0,3.0,82.0,11,7.45,0.0,0.82
2002,0340,Edmonton,1.0,1.0,318.0,863,0.37,0.0,3.18
2002,0340,Edmonton,2.0,3.0,47.0,53,0.89,0.0,0.47
2002,0340,Edmonton,2.0,1.0,21.0,22,0.95,0.0,0.21
2003,0340,Edmonton,1.0,1.0,734.0,1405,0.52,0.0,7.24
2003,0340,Edmonton,4.0,3.0,23.0,14,1.64,0.0,0.23
2003,0340,Edmonton,5.0,1.0,4.0,1,4.0,0.0,0.04
2003,0340,Edmonton,5.0,3.0,147.0,20,7.35,0.0,1.45
2003,0340,Edmonton,1.0,3.0,2.0,6,0.33,0.0,0.02
2003,0340,Edmonton,2.0,3.0,49.0,76,0.64,0.0,0.48
2003,0340,Edmonton,2.0,1.0,61.0,52,1.17,0.0,0.6
2003,0340,Edmonton,4.0,1.0,6.0,3,2.0,0.0,0.06
2004,0340,Edmonton,1.0,3.0,7.0,12,0.58,0.0,0.07
2004,0340,Edmonton,2.0,1.0,88.0,81,1.09,0.0,0.85
2004,0340,Edmonton,1.0,1.0,647.0,1155,0.56,0.0,6.23
2004,0340,Edmonton,4.0,1.0,3.0,3,1.0,0.0,0.03
