"ref_yy","CSDuid","date_pbi","metcode","metro","municipality","underconstr","num_structures","unitsperstructure","avgstorycount","X_c0","ref_qq","met_name","population","stcan_cmacode","underconstr_per_10kpop"
"1988","3506006","December 31, 1988","1265",NA,NA,453,199,2.27638190954774,0,883,4,"Ottawa",934282.964,505,4.84863812629682
"1988","3506009","December 31, 1988","1265",NA,NA,11,3,3.66666666666667,0,883,4,"Ottawa",934282.964,505,0.117737349645177
"1988","3506011","December 31, 1988","1265",NA,NA,4,4,1,0,883,4,"Ottawa",934282.964,505,0.0428135816891551
"1988","3506012","December 31, 1988","1265",NA,NA,945,366,2.58196721311475,0.114754098360656,883,4,"Ottawa",934282.964,505,10.1147086740629
"1988","3506014","December 31, 1988","1265",NA,NA,1697,169,10.0414201183432,0,883,4,"Ottawa",934282.964,505,18.1636620316241
"1988","3506018","December 31, 1988","1265",NA,NA,45,45,1,0,883,4,"Ottawa",934282.964,505,0.481652794002995
"1988","3506027","December 31, 1988","1265",NA,NA,109,67,1.62686567164179,0,883,4,"Ottawa",934282.964,505,1.16667010102948
"1988","3506030","December 31, 1988","1265","OTTAWA","MISSISSIPPI MILLS T",288,237,1.21518987341772,0,883,4,"Ottawa",934282.964,505,3.08257788161917
"1988","3506042","December 31, 1988","1265",NA,NA,81,81,1,0,883,4,"Ottawa",934282.964,505,0.866975029205392
"1988","3518001","December 31, 1988","2270","TORONTO","PICKERING CY",1779,940,1.89255319148936,0,1405,4,"Toronto",3917164.25,535,4.54155068937944
"1988","3518005","December 31, 1988","2270","TORONTO","AJAX T",567,351,1.61538461538462,0,1405,4,"Toronto",3917164.25,535,1.44747568346158
"1988","3518029","December 31, 1988","2270","TORONTO","UXBRIDGE TP",161,81,1.98765432098765,0,1405,4,"Toronto",3917164.25,535,0.411011613822423
"1988","3519028","December 31, 1988","2270","TORONTO","VAUGHAN CY",1460,1158,1.26079447322971,0,1405,4,"Toronto",3917164.25,535,3.72718606323439
"1988","3519036","December 31, 1988","2270","TORONTO","MARKHAM CY",1343,1243,1.0804505229284,0,1405,4,"Toronto",3917164.25,535,3.42850060474232
"1988","3519038","December 31, 1988","2270","TORONTO","RICHMOND HILL T",2542,988,2.57287449392713,0,1405,4,"Toronto",3917164.25,535,6.4893883374944
"1988","3519044","December 31, 1988","2270","TORONTO","WHITCHURCH-STOUFFVILLE T",54,54,1,0,1405,4,"Toronto",3917164.25,535,0.137854826996341
"1988","3519046","December 31, 1988","2270","TORONTO","AURORA T",400,153,2.61437908496732,0,1405,4,"Toronto",3917164.25,535,1.02114686663956
"1988","3519048","December 31, 1988","2270","TORONTO","NEWMARKET T",333,208,1.60096153846154,0,1405,4,"Toronto",3917164.25,535,0.850104766477433
"1988","3519049","December 31, 1988","2270","TORONTO","KING TP",132,132,1,0,1405,4,"Toronto",3917164.25,535,0.336978465991055
"1988","3519054","December 31, 1988","2270","TORONTO","EAST GWILLIMBURY T",106,106,1,0,1405,4,"Toronto",3917164.25,535,0.270603919659483
"1988","3519070","December 31, 1988","2270","TORONTO","GEORGINA T",496,339,1.46312684365782,0,1405,4,"Toronto",3917164.25,535,1.26622211463305
"1988","3520001","December 31, 1988","2270","TORONTO","PICKERING CY",4276,757,5.64861294583884,0,1405,4,"Toronto",3917164.25,535,10.9160600043769
"1988","3520004","December 31, 1988","2270",NA,NA,6374,153,41.6601307189542,0,1405,4,"Toronto",3917164.25,535,16.2719753199014
"1988","3520006","December 31, 1988","2270",NA,NA,60,25,2.4,0,1405,4,"Toronto",3917164.25,535,0.153172029995934
"1988","3520008","December 31, 1988","2270",NA,NA,3846,401,9.59102244389027,0.0349127182044888,1405,4,"Toronto",3917164.25,535,9.81832712273936
"1988","3520014","December 31, 1988","2270","TORONTO","BRADFORD WEST GWILLIMBURY T",368,27,13.6296296296296,0,1405,4,"Toronto",3917164.25,535,0.939455117308395
"1988","3520019","December 31, 1988","2270",NA,NA,2462,245,10.0489795918367,0,1405,4,"Toronto",3917164.25,535,6.28515896416649
