id,Address,BuildingAddress,Community,CompletionDate,InspectionDate,PermitNumber,StickerNumber,Ward,longitude,latitude,location
347,122 13 ST NE,122 13 ST NE,RENFREW,2017/05/24,2017/05/24,BP2016-00090,760,4,-114.03017180688224,51.053028973495564,"(51.053028973495564, -114.03017180688224)"
272,116R 43 AV NE,116 43 AV NE,HIGHLAND PARK,2019/05/09,2019/05/09,BP2018-14703,1498,4,-114.06147968751124,51.091601578663635,"(51.091601578663635, -114.06147968751124)"
2073,4111R 14 AV SE,4111 14 AV SE,FOREST LAWN,2019/02/22,2019/01/18,BP2018-12266,1267,9,-113.9749820199934,51.04074542767245,"(51.04074542767245, -113.9749820199934)"
2573,59 EVANSBOROUGH CR NW,59 EVANSBOROUGH CR NW,EVANSTON,2015/05/05,2015/04/10,BP2015-01016,429,2,-114.11898952686626,51.1806602082238,"(51.1806602082238, -114.11898952686626)"
869,176 HENDON DR NW,176 HENDON DR NW,HIGHWOOD,2018/09/28,2018/09/28,BP2018-11068,1128,4,-114.07271793547721,51.09041527192856,"(51.09041527192856, -114.07271793547721)"
2502,547R LAKE NEWELL CR SE,547 LAKE NEWELL CR SE,LAKE BONAVISTA,2019/06/11,2019/06/11,BP2019-03001,1589,14,-114.06354075914047,50.94818663405991,"(50.94818663405991, -114.06354075914047)"
2736,647R ARLINGTON DR SE,647 ARLINGTON DR SE,ACADIA,2020/05/11,2020/05/07,BP2020-02154,2885,9,-114.05001755420108,50.97570600623846,"(50.97570600623846, -114.05001755420108)"
200,1122R 35 ST SE,1122 35 ST SE,ALBERT PARK/RADISSON HEIGHTS,2020/02/27,2020/02/25,BP2020-01487,2528,9,-113.98276032120272,51.04321404928159,"(51.04321404928159, -113.98276032120272)"
2683,624 34 AV NE,624 34 AV NE,WINSTON HEIGHTS/MOUNTVIEW,2018/12/18,2018/12/18,BP2018-07293,1222,4,-114.04946463232724,51.08341315215066,"(51.08341315215066, -114.04946463232724)"
2852,71 SETON GD SE,71 SETON GD SE,SETON,2019/12/18,2019/10/30,BP2019-06639,2094,12,-113.95679175157208,50.86682555192113,"(50.86682555192113, -113.95679175157208)"
2434,52 COVEPARK PL NE,52 COVEPARK PL NE,COVENTRY HILLS,2015/05/25,2015/05/22,BP2014-18901,392,3,-114.05500529419575,51.1670543718319,"(51.1670543718319, -114.05500529419575)"
957,18B SPRINGBLUFF BV SW,18 SPRINGBLUFF BV SW,SPRINGBANK HILL,2020/02/19,2020/02/19,BP2019-04075,2468,6,-114.18943236093433,51.0226964191674,"(51.0226964191674, -114.18943236093433)"
2447,5224 40 AV NW,5224 40 AV NW,VARSITY,2019/07/10,2019/07/10,BP2018-16134,1678,1,-114.16116051379103,51.08852576991188,"(51.08852576991188, -114.16116051379103)"
782,163B RED SKY GR NE,163 RED SKY GR NE,REDSTONE,2020/05/05,2020/05/04,BP2018-13091,2862,3,-113.95680241888374,51.171793228819816,"(51.171793228819816, -113.95680241888374)"
713,154 SKYVIEW SHORES CR NE,154 SKYVIEW SHORES CR NE,SKYVIEW RANCH,2014/04/03,2014/02/12,BP2013-02421,253,3,-113.96796446807451,51.159269192390646,"(51.159269192390646, -113.96796446807451)"
1081,2039B 30 ST SW,2039 30 ST SW,KILLARNEY/GLENGARRY,2020/07/06,2020/06/29,BP2020-08175,3215,6,-114.13160197810818,51.034830811502076,"(51.034830811502076, -114.13160197810818)"
1158,211R 11 AV NE,211 11 AV NE,CRESCENT HEIGHTS,2019/05/07,2019/05/03,BP2019-00432,1487,7,-114.05913962976123,51.06220923297659,"(51.06220923297659, -114.05913962976123)"
222,11303 11 ST SW,11303 11 ST SW,SOUTHWOOD,2016/12/27,2016/12/27,BP2016-00977,654,11,-114.08842532205675,50.95124822995363,"(50.95124822995363, -114.08842532205675)"
1504,260R WHITEWOOD PL NE,260 WHITEWOOD PL NE,WHITEHORN,2019/10/28,2019/10/18,BP2019-12222,2045,5,-113.96363751342749,51.09398519617251,"(51.09398519617251, -113.96363751342749)"
896,18 REDSTONE MR NE,18 REDSTONE MR NE,REDSTONE,2019/11/13,2019/11/12,BP2019-14331,2141,3,-113.96064528179399,51.17235154933231,"(51.17235154933231, -113.96064528179399)"
1263,2239 41 ST SE,2239 41 ST SE,FOREST LAWN,2017/04/20,2017/04/20,BP2016-14827,735,9,-113.97464292035951,51.0333463898253,"(51.0333463898253, -113.97464292035951)"
3123,8613B 34 AV NW,8613 34 AV NW,BOWNESS,2020/07/10,2020/06/25,BP2020-06010,3253,1,-114.21282954556246,51.09151028356055,"(51.09151028356055, -114.21282954556246)"
1975,381 SKYVIEW SHORES MR NE,379 SKYVIEW SHORES MR NE,SKYVIEW RANCH,2017/06/21,2017/06/21,BP2016-12549,780,3,-113.96843236380978,51.15687389901304,"(51.15687389901304, -113.96843236380978)"
2292,47 LUCAS BV NW,47 LUCAS BV NW,LIVINGSTON,2019/12/02,2019/11/26,BP2019-08270,2218,3,-114.07592246505564,51.18433340316544,"(51.18433340316544, -114.07592246505564)"
2283,469 30 AV NW,469 30 AV NW,MOUNT PLEASANT,2017/07/04,2017/07/04,BP2017-01130,785,7,-114.07117027642086,51.07944041866087,"(51.07944041866087, -114.07117027642086)"
886,179B SHERWOOD SQ NW,179 SHERWOOD SQ NW,SHERWOOD,2020/07/10,2020/07/03,BP2020-06236,3245,2,-114.15091592777308,51.16552012696621,"(51.16552012696621, -114.15091592777308)"
2436,52 LUCAS ST NW,52 LUCAS ST NW,LIVINGSTON,2019/12/06,2019/11/29,BP2019-06745,2232,3,-114.07453899089143,51.18769742354752,"(51.18769742354752, -114.07453899089143)"
1796,32B WHITAKER CL NE,32 WHITAKER CL NE,WHITEHORN,2019/09/16,2019/09/16,BP2019-08072,1908,5,-113.97903204230843,51.08755773920296,"(51.08755773920296, -113.97903204230843)"
1607,28 ROYAL OAK TC NW,28 ROYAL OAK TC NW,ROYAL OAK,2013/05/03,2013/05/01,BP2012-16661,227,1,-114.22317793657663,51.151968479589634,"(51.151968479589634, -114.22317793657663)"
2399,508R MALVERN DR NE,508 MALVERN DR NE,MARLBOROUGH PARK,2019/08/23,2019/08/22,BP2019-05140,1805,10,-113.9364567750833,51.05606774001198,"(51.05606774001198, -113.9364567750833)"
252,11521R TUSCANY BV NW,11521 TUSCANY BV NW,TUSCANY,2020/03/18,2020/03/18,BP2020-00955,2636,1,-114.25161851251843,51.12186714539266,"(51.12186714539266, -114.25161851251843)"
2545,56R HAZELWOOD CR SW,56 HAZELWOOD CR SW,HAYSBORO,2016/11/15,2016/11/15,BP2016-02302,627,11,-114.08004515668367,50.96526328502675,"(50.96526328502675, -114.08004515668367)"
802,167B SHERVIEW GV NW,167 SHERVIEW GV NW,SHERWOOD,2020/02/25,2020/02/25,BP2019-16346,2510,2,-114.15844666081811,51.16362042147817,"(51.16362042147817, -114.15844666081811)"
