Business Licence Number,Business ID,Address,Business Licence Type,Type of Residence,Licenced Date,Licenced Expiry Date,Status Description,longitude,latitude,Point,Ward Boundaries,City Quadrants,Calgary Communities,Ward Boundaries 2013-2017
BL234446,15909245,36 RIVERVIEW ME SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/06/02,2021/06/02,Licensed,-114.02200257692729,50.97201299735694,POINT (-114.022002576927 50.972012997357),10,3,19,8
BL234442,15909211,#1810 615 6 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/06/02,2021/06/02,Licensed,-114.05012463321987,51.04672079359241,POINT (-114.05012463322 51.046720793592),7,3,65,7
BL234492,15909674,25 JOHNSON PL SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/06/03,2021/06/03,Licensed,-114.12597986367102,51.00375720171594,POINT (-114.125979863671 51.003757201716),8,1,210,2
BL234518,15910011,3705B 55 ST NE,SHORT TERM RENTAL - TIER ONE,Duplex/triplex/fourplex,2020/06/04,2021/06/04,Licensed,-113.95449010507113,51.08700164471349,POINT (-113.954490105071 51.087001644713),9,4,22,3
BL234500,15909856,514 CRANSTON DR SE,SHORT TERM RENTAL - TIER ONE,Townhouse,2020/06/04,2021/06/04,Licensed,-113.98028139838175,50.88185522551975,POINT (-113.980281398382 50.88185522552),4,3,294,8
BL234274,15905029,521 DISCOVERY RIDGE BV SW,SHORT TERM RENTAL - TIER TWO,Single/detached house,2020/06/04,2021/06/04,Licensed,-114.23192109672462,51.01890014537133,POINT (-114.231921096725 51.018900145371),1,1,165,14
BL234557,15910466,#2004 615 6 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/06/07,2021/06/07,Licensed,-114.05012463321987,51.04672079359241,POINT (-114.05012463322 51.046720793592),7,3,65,7
BL234598,15910995,#1 316 22 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/06/08,2021/06/08,Licensed,-114.06987944786391,51.03364336478173,POINT (-114.069879447864 51.033643364782),14,1,297,5
BL234593,15910938,#316 1811 34 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/06/08,2021/06/08,Licensed,-114.10411487067823,51.02295608278008,POINT (-114.104114870678 51.02295608278),8,1,200,2
BL234642,15911712,228R ROCKY RIDGE BA NW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2020/06/09,2021/06/09,Licensed,-114.23681278371909,51.14008945353186,POINT (-114.236812783719 51.140089453532),13,2,193,9
BL232160,15880032,#2312 4641 128 AV NE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/12,2021/02/11,Licensed,-113.95699523640559,51.16494160491507,POINT (-113.956995236406 51.164941604915),11,4,12,1
