reference_period,ref_qq,metro,metcode,total_starts,starts_accsuite,starts_no_accsuite,num_structures,unitsperstructure,avgstorycount,avgpermit_to_start_time,population,starts_per_10kpop
2007-10-01,4,Regina,1490,1284.0,,,1040,1.23,0.0,0.28,205574.06,62.46
2008-03-01,1,Regina,1490,1140.0,,,864,1.32,0.0,0.49,209950.41,54.3
2008-04-01,2,Regina,1490,1612.0,,,1156,1.39,0.0,0.19,209950.41,76.78
2008-09-01,3,Regina,1490,1624.0,,,1104,1.47,0.0,0.26,209950.41,77.35
2008-10-01,4,Regina,1490,1124.0,,,960,1.17,0.0,0.21,209950.41,53.54
2009-03-01,1,Regina,1490,496.0,,,476,1.04,0.0,0.95,213962.91,23.18
2009-05-01,2,Regina,1490,972.0,,,704,1.38,0.0,0.19,213962.91,45.43
2009-09-01,3,Regina,1490,1184.0,,,560,2.11,0.0,0.74,213962.91,55.34
2009-10-01,4,Regina,1490,1068.0,,,676,1.58,0.0,0.19,213962.91,49.92
2010-03-01,1,Regina,1490,952.0,,952.0,624,1.53,0.03,0.32,217910.06,43.69
2010-06-01,2,Regina,1490,1112.0,,1112.0,876,1.27,0.02,0.42,217910.06,51.03
2010-07-01,3,Regina,1490,1620.0,,1620.0,924,1.75,0.04,0.27,217910.06,74.34
2010-11-01,4,Regina,1490,1704.0,,1704.0,804,2.12,0.06,0.18,217910.06,78.2
2011-01-01,1,Regina,1490,1320.0,,1320.0,744,1.77,0.13,0.55,224481.66,58.8
2011-04-01,2,Regina,1490,1480.0,,1480.0,1140,1.3,0.01,0.39,224481.66,65.93
2011-07-01,3,Regina,1490,1760.0,,1760.0,1160,1.52,0.01,0.58,224481.66,78.4
2011-11-01,4,Regina,1490,2216.0,,2216.0,1192,1.86,0.01,0.09,224481.66,98.72
2012-02-01,1,Regina,1490,2960.0,,2960.0,1128,2.62,0.09,0.27,230409.38,128.47
2012-05-01,2,Regina,1490,2740.0,,2740.0,1732,1.58,0.04,0.53,230409.38,118.92
2012-07-01,3,Regina,1490,3180.0,,3180.0,2016,1.58,0.05,0.54,230409.38,138.02
2012-11-01,4,Regina,1490,3492.0,,3492.0,1492,2.34,0.14,0.2,230409.38,151.56
2013-01-01,1,Regina,1490,2380.0,,2380.0,1164,2.04,0.08,0.59,235394.34,101.11
2013-04-01,2,Regina,1490,3520.0,,3520.0,1684,2.09,0.06,0.23,235394.34,149.54
2013-07-01,3,Regina,1490,3632.0,,3632.0,1836,1.98,0.05,0.49,235394.34,154.29
2013-11-01,4,Regina,1490,2956.0,,2956.0,1468,2.01,0.08,0.13,235394.34,125.58
2014-01-01,1,Regina,1490,1484.0,,1484.0,904,1.64,0.11,0.46,238746.69,62.16
2014-06-01,2,Regina,1490,2332.0,,2332.0,1084,2.15,0.11,0.32,238746.69,97.68
2014-09-01,3,Regina,1490,2980.0,,2980.0,1008,2.96,0.15,0.28,238746.69,124.82
2014-10-01,4,Regina,1490,2096.0,,2096.0,768,2.73,0.14,0.04,238746.69,87.79
2015-03-01,1,Regina,1490,1056.0,,1056.0,424,2.49,0.23,0.56,244489.19,43.19
2015-04-01,2,Regina,1490,2204.0,,2204.0,844,2.61,0.16,0.38,244489.19,90.15
2015-08-01,3,Regina,1490,1660.0,,1660.0,652,2.55,0.13,0.23,244489.19,67.9
2015-11-01,4,Regina,1490,1468.0,,1468.0,776,1.89,0.06,0.23,244489.19,60.04
2016-02-01,1,Regina,1490,940.0,,940.0,632,1.49,0.1,0.22,250498.59,37.53
2016-06-01,2,Regina,1490,1408.0,,1408.0,992,1.42,0.03,0.37,250498.59,56.21
2016-08-01,3,Regina,1490,2308.0,,2308.0,920,2.51,0.09,0.59,250498.59,92.14
2016-10-01,4,Regina,1490,1596.0,,1596.0,1016,1.57,0.04,2.68,250498.59,63.71
2017-02-01,1,Regina,1490,1588.0,,1588.0,880,1.8,0.03,1.28,255725.09,62.1
2017-06-01,2,Regina,1490,2300.0,,2300.0,1032,2.23,0.07,0.48,255725.09,89.94
2017-07-01,3,Regina,1490,2400.0,,2400.0,1116,2.15,0.24,0.57,255725.09,93.85
2017-10-01,4,Regina,1490,1404.0,,1404.0,596,2.36,0.3,0.32,255725.09,54.9
2018-01-01,1,Regina,1490,1944.0,44.0,1900.0,580,3.35,0.17,0.76,260552.66,74.61
2018-06-01,2,Regina,1490,956.0,24.0,932.0,636,1.5,0.21,0.47,260552.66,36.69
2018-08-01,3,Regina,1490,784.0,52.0,732.0,556,1.41,0.04,0.52,260552.66,30.09
2018-10-01,4,Regina,1490,872.0,32.0,840.0,396,2.2,0.1,0.21,260552.66,33.47
2019-02-01,1,Regina,1490,548.0,8.0,540.0,328,1.67,0.12,0.93,263056.66,20.83
2019-04-01,2,Regina,1490,512.0,12.0,500.0,288,1.78,0.11,0.9,263056.66,19.46
2019-09-01,3,Regina,1490,520.0,8.0,512.0,340,1.53,0.06,0.85,263056.66,19.77
2019-11-01,4,Regina,1490,568.0,,568.0,376,1.51,0.15,0.13,263056.66,21.59
2020-01-01,1,Regina,1490,616.0,8.0,608.0,364,1.69,0.22,0.77,263924.19,23.34
2020-06-01,2,Regina,1490,588.0,4.0,584.0,360,1.63,0.32,0.17,263924.19,22.28
2020-07-01,3,Regina,1490,836.0,,836.0,432,1.94,0.06,0.48,263924.19,31.68
2020-12-01,4,Regina,1490,1024.0,,1024.0,544,1.88,0.16,0.48,263924.19,38.8
2021-01-01,1,Regina,1490,1012.0,16.0,996.0,400,2.53,0.27,0.47,267819.44,37.79
2021-04-01,2,Regina,1490,800.0,16.0,784.0,612,1.31,0.18,0.63,267819.44,29.87
2021-08-01,3,Regina,1490,772.0,8.0,764.0,532,1.45,0.13,0.42,267819.44,28.83
2021-10-01,4,Regina,1490,1348.0,20.0,1328.0,612,2.2,0.09,0.17,267819.44,50.33
2022-01-01,1,Regina,1490,656.0,4.0,652.0,424,1.55,0.13,0.71,276267.47,23.75
2022-04-01,2,Regina,1490,1180.0,4.0,1176.0,548,2.15,0.2,0.71,276267.47,42.71
2022-07-01,3,Regina,1490,904.0,4.0,900.0,508,1.78,0.19,0.61,276267.47,32.72
2022-12-01,4,Regina,1490,1008.0,,1008.0,344,2.93,0.5,0.51,276267.47,36.49
2023-03-01,1,Regina,1490,1164.0,,1164.0,268,4.34,0.73,1.5,283848.5,41.01
2023-06-01,2,Regina,1490,1048.0,,1048.0,336,3.12,0.2,2.11,283848.5,36.92
2023-08-01,3,Regina,1490,764.0,,764.0,444,1.72,0.14,0.68,283848.5,26.92
2023-12-01,4,Regina,1490,1732.0,,1732.0,392,4.42,0.41,0.91,283848.5,61.02
1988-06-01,2,Saskatoon,1700,444.0,,,420,1.06,0.0,0.0,216113.54,20.54
1988-09-01,3,Saskatoon,1700,1512.0,,,856,1.77,0.06,0.26,216113.54,69.96
1988-12-01,4,Saskatoon,1700,816.0,,,588,1.39,0.0,0.2,216113.54,37.76
1989-03-01,1,Saskatoon,1700,428.0,,,328,1.3,0.0,0.23,216194.65,19.83
1989-05-01,2,Saskatoon,1700,712.0,,,596,1.19,0.0,0.2,216194.65,32.99
1989-09-01,3,Saskatoon,1700,404.0,,,404,1.0,0.0,0.21,216194.65,18.72
1989-11-01,4,Saskatoon,1700,408.0,,,336,1.21,0.0,0.23,216194.65,18.9
1990-03-01,1,Saskatoon,1700,268.0,,,268,1.0,0.0,0.15,217086.47,12.35
1990-04-01,2,Saskatoon,1700,728.0,,,400,1.82,0.0,0.24,217086.47,33.54
1990-07-01,3,Saskatoon,1700,380.0,,,208,1.83,0.0,0.58,217086.47,17.5
1990-10-01,4,Saskatoon,1700,264.0,,,224,1.18,0.0,0.54,217086.47,12.16
1991-02-01,1,Saskatoon,1700,164.0,,,160,1.03,0.0,0.53,219336.14,7.48
1991-04-01,2,Saskatoon,1700,328.0,,,300,1.09,0.0,0.48,219336.14,14.95
1991-08-01,3,Saskatoon,1700,512.0,,,268,1.91,0.0,0.03,219336.14,23.34
1991-12-01,4,Saskatoon,1700,216.0,,,212,1.02,0.0,0.42,219336.14,9.85
1992-01-01,1,Saskatoon,1700,224.0,,,176,1.27,0.0,0.2,221094.42,10.13
1992-04-01,2,Saskatoon,1700,464.0,,,440,1.05,0.0,0.15,221094.42,20.99
1992-07-01,3,Saskatoon,1700,804.0,,,456,1.76,0.0,0.14,221094.42,36.36
1992-10-01,4,Saskatoon,1700,364.0,,,332,1.1,0.0,0.27,221094.42,16.46
1993-02-01,1,Saskatoon,1700,508.0,,,188,2.7,0.0,0.09,222880.12,22.79
1993-04-01,2,Saskatoon,1700,1096.0,,,564,1.94,0.02,0.37,222880.12,49.17
1993-07-01,3,Saskatoon,1700,416.0,,,320,1.3,0.0,0.16,222880.12,18.66
